elapsed.ps,repeats.n,param.array.array
25982,100000,array<integer>[1]
25251,100000,array<integer>[1]
25432,100000,array<integer>[1]
25043,100000,array<integer>[1]
25432,100000,array<integer>[1]
25431,100000,array<integer>[1]
26705,100000,array<integer>[1]
27833,100000,array<integer>[1]
27258,100000,array<integer>[1]
25166,100000,array<integer>[1]
24809,100000,array<integer>[1]
29817,100000,array<integer>[1]
31907,100000,array<integer>[1]
32318,100000,array<integer>[1]
24930,100000,array<integer>[1]
25052,100000,array<integer>[1]
24755,100000,array<integer>[1]
24958,100000,array<integer>[1]
25170,100000,array<integer>[1]
25579,100000,array<integer>[1]
25089,100000,array<integer>[1]
25331,100000,array<integer>[1]
25643,100000,array<integer>[1]
25489,100000,array<integer>[1]
25611,100000,array<integer>[1]
25243,100000,array<integer>[1]
29003,100000,array<integer>[1]
31392,100000,array<integer>[1]
33959,100000,array<integer>[1]
27689,100000,array<integer>[1]
24894,100000,array<integer>[1]
25781,100000,array<integer>[1]
27656,100000,array<integer>[1]
25115,100000,array<integer>[1]
29552,100000,array<integer>[1]
28252,100000,array<integer>[1]
25509,100000,array<integer>[1]
25510,100000,array<integer>[1]
25046,100000,array<integer>[1]
28640,100000,array<integer>[1]
27956,100000,array<integer>[1]
25301,100000,array<integer>[1]
25347,100000,array<integer>[1]
25115,100000,array<integer>[1]
25342,100000,array<integer>[1]
25312,100000,array<integer>[1]
25354,100000,array<integer>[1]
24930,100000,array<integer>[1]
25152,100000,array<integer>[1]
24982,100000,array<integer>[1]
25223,100000,array<integer>[1]
25132,100000,array<integer>[1]
25547,100000,array<integer>[1]
25051,100000,array<integer>[1]
25505,100000,array<integer>[1]
25527,100000,array<integer>[1]
25711,100000,array<integer>[1]
25167,100000,array<integer>[1]
25327,100000,array<integer>[1]
25310,100000,array<integer>[1]
25210,100000,array<integer>[1]
25421,100000,array<integer>[1]
25183,100000,array<integer>[1]
25287,100000,array<integer>[1]
25133,100000,array<integer>[1]
33384,100000,array<integer>[1]
25108,100000,array<integer>[1]
25432,100000,array<integer>[1]
25291,100000,array<integer>[1]
25040,100000,array<integer>[1]
27932,100000,array<integer>[1]
25246,100000,array<integer>[1]
25259,100000,array<integer>[1]
25281,100000,array<integer>[1]
25383,100000,array<integer>[1]
25272,100000,array<integer>[1]
25497,100000,array<integer>[1]
25207,100000,array<integer>[1]
25328,100000,array<integer>[1]
25321,100000,array<integer>[1]
25616,100000,array<integer>[1]
25489,100000,array<integer>[1]
25503,100000,array<integer>[1]
25018,100000,array<integer>[1]
25746,100000,array<integer>[1]
27364,100000,array<integer>[1]
25106,100000,array<integer>[1]
