elapsed.ps,repeats.n,param.a.integer,param.b.integer
19040,100000,-7675767067048237,2847199789255303
18921,100000,1432454050456964,-4132423852139507
19197,100000,7418502398531584,-3187561070105182
19083,100000,-6732133656962426,-8464334176368278
19082,100000,2630108805743507,-6681285670774956
19035,100000,-5614320808597963,4031152075441012
22106,100000,7991566386817749,-3393713120956157
19146,100000,-7883620222276668,7732776253926475
19129,100000,-7484239750087043,-2862035113110059
20249,100000,-6894309459016276,-6795149693044935
18937,100000,8676979041571862,-8970549358632838
19076,100000,-7961951973276190,6247248624534094
19192,100000,-6866800536185682,2866050360973659
18881,100000,-143321852951361,-4893849525243908
19103,100000,-1568151097502588,-6686070105145855
20382,100000,7530306925275845,1664905026410392
21034,100000,8969590135108663,2384913790990737
18972,100000,-5926557482067702,678836920595685
18912,100000,-5468413241231451,5121831303331876
18763,100000,-328358437697538,367955360806548
19251,100000,-857521801498697,-2849911184224809
18958,100000,-6101820650652001,2158690145698349
19086,100000,-8571564168355486,766060401682808
18845,100000,6762612977084497,382961680485651
18843,100000,3176515224309580,3031201941569206
18891,100000,-5854586254301464,-4916255972421267
22642,100000,-1663821934842548,-3145756104842791
19916,100000,-6564174744947561,-7253711552302321
18916,100000,4482784983482110,-1689543799096326
18830,100000,1704855867755698,7946526729753726
18783,100000,-4539576462588240,-3313520551294900
18894,100000,6652930067664346,-8258192699181526
18972,100000,364175264372757,-1386514005142549
19991,100000,7115233727978363,2159948995141831
20906,100000,5302181546751166,572601907046834
19316,100000,1546143941220729,-4665936116655636
21509,100000,-3867896734520549,1125269544976285
18734,100000,-5283813555647976,-3926673001887089
19243,100000,-6422341987756170,-8108856007067535
18896,100000,-1016828477282455,751090004121355
18843,100000,2620646063254888,4793726431304172
18810,100000,-2455458309683568,-513064905476324
18679,100000,-3941336026256754,-6897772504216579
18878,100000,7713352619390696,6562640540596362
19253,100000,-4629749721359525,8232443427496679
18833,100000,-336724286816228,-8356230706279830
23662,100000,-6664324224876033,-41519615673485
19996,100000,-1984479572337851,-919669935802518
18949,100000,4756562843817179,95707756516649
19003,100000,-6645953286241549,6829852480977007
18946,100000,8210412818722808,1623479689314725
19073,100000,-1770258454098227,3070719820049079
20487,100000,-6715812357354327,4961448508037292
19008,100000,517395256728417,4922662798821061
18959,100000,-3899948850526965,3067147850043495
18775,100000,1281587490272455,4779289480757595
26318,100000,3737282452290159,513772348038666
20570,100000,-6820814412619875,8939847282143253
18848,100000,-211962671715186,-1072704783422235
19027,100000,4537043700543581,-8797826535080615
18832,100000,-7987826735405081,8549401136295405
19526,100000,224199760482544,-122354432596025
19035,100000,3924181384870389,3095469557647700
18882,100000,3245449547868773,6976028316401787
18966,100000,6287928069224845,4018137308345473
19097,100000,3300887839575225,-3244920017109768
22030,100000,-5173916498671583,2380939046386543
18927,100000,-5541680403294010,-8661531219574989
20293,100000,3286313289006855,5186545379010351
18959,100000,295921869987215,-134297097947887
18916,100000,-5022920520956958,7215677154677460
18919,100000,-3210107757251073,-7485836870095785
19053,100000,-7192505850878685,-4118513855287244
18832,100000,2458343530298629,-6577833642865147
19648,100000,-8781596854039357,-4750259361580255
18925,100000,2223240178556611,-5993214744443955
23101,100000,-6135466554456105,7026880482209855
18862,100000,6261192901309054,7313145108574884
18804,100000,-923803237568245,-4421910760710593
18791,100000,-987274874966266,-4459181637865294
18923,100000,-4531141927016276,4952136573638844
19118,100000,-1386082161346457,-5907730381942048
18966,100000,1334400972339704,871901430809577
19324,100000,5939336763507207,4346517109847656
18877,100000,3834231437868818,6933278846620461
19039,100000,-7632008486437290,4911032361590332
23170,100000,2605127360318047,-1986370068827815
19063,100000,3431734785103236,-1960535965391908
19054,100000,3480421146662623,-3092896481195002
19247,100000,6997769898186629,1311647636082132
19096,100000,5047970390628021,-530447973048217
18998,100000,7271632963553167,1164850938648614
19555,100000,3701277894909003,1514197660508667
19225,100000,5953747553050267,3301205455628815
19096,100000,-6890026351756234,2192189894813625
18831,100000,-7999294553255029,2530848856309640
20850,100000,-1164253533618423,7943502754043174
18863,100000,-3231113496118433,-6382625250226133
18951,100000,-864484101354835,-5826562486967192
19214,100000,-3599812052878577,3098860178386648
19408,100000,4356371431466033,-8385957854316374
18816,100000,-2488732882886160,-7729913372111177
18845,100000,-7711003069307382,-3785008556734427
19143,100000,4505930488530810,6989418846193501
19111,100000,6666110797922819,-8879566647149725
18873,100000,395935072491622,3206896634105600
21133,100000,5113167487582953,-1342883150005061
18882,100000,-8509903573799720,2201773927082486
19122,100000,7364530945872032,1535983119305983
18843,100000,2969683308207540,-7078654794030904
18944,100000,-2505882407776752,-6733575726298014
20074,100000,2384969610541970,-8300140073164227
19001,100000,4130800249665554,-1832066968505408
18914,100000,-3203633054964164,6927714234580625
19125,100000,-4611553824331808,3747000179460348
19032,100000,2322576395766192,-8846604602783406
20828,100000,-853687579468695,-3016612097313968
18831,100000,1873672023492613,-8820378827334900
18890,100000,1964339053901393,5975486270922186
18711,100000,-1720306486154244,-8913527378478732
18784,100000,4789166879549964,-4624113005317214
18801,100000,-6932821049899890,3403790261367308
18744,100000,5989297396128330,1389482416576894
18999,100000,-1257106349066158,844254153484765
18898,100000,4446660348876516,-7761383078743894
18833,100000,-5120637168013412,-3087944000514361
21648,100000,3006849289592642,-8753492028465913
18921,100000,-8038181034143032,-7960667238030876
18839,100000,8720259970174357,4587105305175714
20986,100000,-3063908169258894,6527027353130179
19074,100000,5913802561215837,-2301222180134612
20016,100000,1842171933768851,5700791447221407
19188,100000,-4372932444671035,3477101250750397
18964,100000,-4472663650203637,-3710298650987867
19088,100000,-2950686528122696,-3379534200266333
20896,100000,635159532256653,5509557546067271
21914,100000,-1814748116063315,-669742301101853
18730,100000,1569997577761735,-3694363296240013
18722,100000,1102033855015118,-4385112618198998
18807,100000,7465151902106125,8817040070862078
18757,100000,-5384437412110003,-442140884396037
18831,100000,561960586346099,405127968064541
19022,100000,-3036209904514679,-4126444404112000
18832,100000,6176960468034232,-885346927347800
18890,100000,-3718819367231038,6324844525896405
18891,100000,-5382131821507055,-1740918693690420
21837,100000,-6210646832644470,1635437784704270
19763,100000,137108109457629,-6082381857368267
18675,100000,-5330921189882490,-3515649913863765
18988,100000,-4808791986193196,1817036969221073
18974,100000,2062187308411218,-4274369333872280
18964,100000,-1022154548591861,3833298697698379
19158,100000,-1280209148255828,-8952089071353147
19970,100000,-4209613715698038,-1741800053151223
19234,100000,-4889441118320623,-5015911284082773
18740,100000,-5284384662049534,-3578904638120368
20942,100000,2912575055831668,7574423639128671
19064,100000,-4973052640636452,-469148387697097
19042,100000,-7544297218236513,8188311911888851
18713,100000,-6176376099581072,-6836287433974467
18896,100000,-5127183664173163,-5100037237797836
18952,100000,-7412415048318116,-9002642085411396
18938,100000,-5665514761041429,-7662133060133371
18880,100000,474446420562989,5955110059173073
18822,100000,2314925011598661,-8053487321286886
18824,100000,-4257373845942665,-6645383906939295
22861,100000,-5089566788711242,-8289126575752916
18987,100000,545019884871585,1287218102372991
18856,100000,2835235783642863,3361251547413412
19155,100000,6732921341533313,-7281548403987984
18831,100000,1096666138954504,-5059459816835904
19102,100000,8468356797405764,-7104828125249066
20034,100000,-6899612755224665,1579354544754366
19210,100000,-2671356546695973,8082979280022397
19011,100000,-3454740708673406,8047457329564392
18987,100000,7412153722551603,-4619779423977773
21813,100000,-1308344773705529,7730383673145190
19028,100000,2510041833376184,2813761389353354
18720,100000,6653336342248184,1348937830119961
19051,100000,366563249483880,-8270944004260308
19001,100000,96770471514185,-8531897786490717
18897,100000,-5281312995277144,5439508422844237
18982,100000,-5234203087829026,685481049997554
19014,100000,3798741461778929,-4375468567178220
18755,100000,-3704013713307144,-2952170530207862
18796,100000,-1475041379290328,-7362858332401947
22189,100000,-5798560089641118,1731818484414219
19121,100000,197743717985031,-1618454998230002
19116,100000,5296886088292786,1141125686774152
18890,100000,-2710419777565793,-6576933125001264
20416,100000,-8918125967372695,-703528904426631
19152,100000,-3145058712129848,6182381422689182
18993,100000,1317032126856589,850581009241993
18780,100000,7942660210197642,-8969994416022835
18825,100000,-2150733010517155,4561404207210686
18954,100000,2562223762249411,5387740465839083
20155,100000,8424881495799925,3244564075067442
18766,100000,8862903706169917,-3539182955111608
19003,100000,6902555982610871,-4111825422398988
18856,100000,-966227770504518,-3336791277581818
18756,100000,6081050592677842,-1486163922388692
18844,100000,-3361844160126560,-439228276723205
18810,100000,-5932343119244263,320450206826826
18912,100000,3265918961907862,6157487775685922
18794,100000,-6490470307216703,431243987580187
19081,100000,2247462952822012,-4963500070702676
21255,100000,-5132258064617364,7999983770773555
19021,100000,-7217034580777240,5844170246049775
20718,100000,7016123703866751,-4721686743301286
18874,100000,710157538928695,-6719347255134299
18791,100000,-807430884256745,-8907018096335933
18980,100000,-7803823691742328,1083707396904031
18800,100000,-1652077799069424,2128813485982592
18899,100000,5540528933273810,7435564821404249
18738,100000,1599489198593278,809087666506581
22156,100000,5555365122802095,-728788267776185
23218,100000,6940718857463235,1310448899766957
18849,100000,-78695417855997,119165580542946
18901,100000,4945531579789239,-541320241148323
19013,100000,-2022217333944568,14511267509157
18886,100000,-4727275902898747,8483352138930262
19185,100000,8009952013660721,4013812002698304
19224,100000,-8248359973027146,6675515539629282
18998,100000,-2586719253244132,6857150337909737
18921,100000,-6237995658105977,1053813719067288
18941,100000,4184405438217405,-343106087535231
21997,100000,7803811277050370,5616596522336240
19125,100000,-4108266486520403,-6096860602364655
19292,100000,-4337728455257348,-1061987136885363
