runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.integer,param.disp.integer
2,3709,21557,250000,1219830415,4
2,3714,22043,250000,3237027808,28
2,3724,21871,250000,3336644311,17
2,3698,21887,250000,1644127990,8
2,3717,22080,250000,4121801073,24
2,3817,21820,250000,3698714221,24
2,3680,26968,250000,2886376157,11
2,3796,22428,250000,2827331303,21
2,3664,21884,250000,2995058561,8
2,3657,27154,250000,2473889325,12
2,3753,22640,250000,3334902854,9
2,3766,21294,250000,2563345633,6
2,3747,20769,250000,1166521676,12
2,3802,24342,250000,4249934803,11
2,3672,21488,250000,495238366,26
2,3731,20313,250000,950609556,14
2,3706,24786,250000,1694677873,14
2,3672,20000,250000,1123577374,16
2,3789,26955,250000,2807705254,4
2,3789,24182,250000,633199040,1
2,3753,21221,250000,1618744630,3
2,3665,20844,250000,3564582097,14
2,3729,23554,250000,1649393455,5
2,3689,19803,250000,1972428647,4
2,3699,20736,250000,2465438434,22
2,3829,21491,250000,1252462292,9
2,3808,21594,250000,730450074,12
2,3660,21735,250000,1953145406,1
2,3527,29645,250000,2400456002,14
2,3678,25669,250000,4159284305,13
2,3784,20883,250000,3579373478,3
2,3706,22852,250000,423349456,16
2,3842,22804,250000,290745852,22
2,3744,21886,250000,3411718165,15
2,3804,21641,250000,770345378,27
2,3623,23211,250000,3401173177,21
2,3673,21868,250000,1014423952,9
2,3781,22885,250000,3717132510,15
2,3733,21314,250000,4145892591,24
2,3836,29821,250000,2212535817,14
2,3906,29993,250000,2100537571,11
2,3716,20888,250000,259804658,29
2,3687,23016,250000,2335785323,12
2,3785,22074,250000,178219101,31
2,3715,21316,250000,1489892724,11
2,3653,22669,250000,1094069321,25
3,3770,25469,250000,1711233889,31
3,3959,25091,250000,994101602,5
3,3481,24706,250000,2038178162,15
3,3653,25220,250000,3583261711,13
3,3722,26143,250000,4105069327,22
3,3666,26510,250000,331064451,1
3,3709,25343,250000,2337938371,31
3,3769,25583,250000,2248807887,21
3,3723,25933,250000,3781230631,15
3,3760,25775,250000,3660357071,30
3,3751,26567,250000,2569822223,24
3,3592,26239,250000,3527702242,24
3,3706,24947,250000,1965677252,7
3,3813,25603,250000,3454936916,2
3,3692,24843,250000,1378174124,22
3,3511,25801,250000,402498241,26
3,3813,25326,250000,3298179900,25
3,3610,26401,250000,2224612847,8
3,3555,27452,250000,1211418946,17
3,3734,26797,250000,262317822,7
3,3567,25699,250000,3274180916,0
3,3815,26213,250000,1081976130,6
3,3597,27397,250000,2890175889,10
3,3561,25276,250000,2019217828,19
3,3744,25826,250000,433579508,0
3,3644,27047,250000,2691880935,24
3,3717,26622,250000,2473356130,21
3,3719,26336,250000,1071323523,19
3,3783,26016,250000,1372958446,26
3,3737,25594,250000,2419915329,17
3,3781,25794,250000,1096999932,18
3,3810,25987,250000,3531168380,24
3,3633,27990,250000,37654864,3
3,3614,25237,250000,4289986288,10
3,3623,25426,250000,3252718420,29
3,3619,25623,250000,971846316,17
3,3596,27155,250000,3490971648,18
3,3646,25095,250000,3488537537,30
3,3860,30230,250000,3246602472,9
3,4077,29179,250000,3142744234,31
3,3600,27245,250000,944572452,1
3,3603,27266,250000,3169433727,30
3,3788,27085,250000,1673041492,26
3,3795,26919,250000,1843231570,13
3,3674,25668,250000,894658879,11
3,3701,26547,250000,4021687706,15
3,3736,25538,250000,1566323543,28
3,3638,27053,250000,952121624,23
3,3694,26172,250000,7746333,25
3,3871,25255,250000,4078182675,4
3,3590,25453,250000,398151524,5
3,3825,25405,250000,1599219594,4
3,3772,24875,250000,3463222181,30
3,3610,26810,250000,3138922133,18
3,3628,25784,250000,1476098514,9
3,3865,26079,250000,3514471637,4
3,3491,25989,250000,332282602,12
3,3662,25007,250000,2826556546,0
3,3738,29345,250000,1579260826,24
3,3785,23960,250000,4232406999,14
3,3629,25830,250000,565138210,14
3,3575,25418,250000,1003754908,12
3,3516,25229,250000,2816096325,26
3,3457,26061,250000,542803313,20
3,3521,25539,250000,171301205,16
3,3645,25329,250000,3924977741,4
3,3709,25953,250000,2367126247,12
3,3470,25987,250000,2731852225,14
3,3456,24090,250000,3298265378,16
3,3487,26837,250000,459600098,27
3,3500,24246,250000,2629940735,23
3,3696,24007,250000,4169805512,8
3,3642,25282,250000,97704685,3
3,3714,26241,250000,3255374866,29
3,3784,31148,250000,699536892,4
3,3730,24814,250000,1437477248,25
3,3530,26097,250000,3565771878,0
3,3544,24653,250000,386453255,31
3,3731,25205,250000,400193397,14
3,3542,24896,250000,1245009755,23
3,3577,30007,250000,2418412363,20
3,3615,30003,250000,546777695,10
3,3698,25095,250000,229420396,13
3,3463,24817,250000,4250263819,24
3,3580,24775,250000,995227916,28
3,3692,24765,250000,4255658593,19
3,3466,24367,250000,4050794125,30
3,3563,24106,250000,2399583672,21
3,3603,24248,250000,2223690130,9
3,3728,24936,250000,3679494579,27
3,3791,24655,250000,3153577428,9
3,3804,24739,250000,2781930173,11
3,3474,24531,250000,3080368869,9
3,3644,24890,250000,2647265975,16
3,3748,26610,250000,1632925290,12
3,3806,26726,250000,936198915,13
3,3538,26534,250000,3640918931,9
3,3542,25391,250000,970734957,10
3,3489,26319,250000,844062659,13
3,3499,25186,250000,3841268201,17
4,3744,27332,250000,2230470058,0
4,3798,29060,250000,377795732,31
4,3830,28093,250000,1009622944,26
4,3956,31318,250000,2649954317,15
4,3729,26585,250000,823411796,0
4,3999,32405,250000,2020463690,11
4,4098,30977,250000,833990395,31
4,4045,28527,250000,2594067680,25
4,4070,28677,250000,3432021594,10
4,4050,26889,250000,2725454121,29
4,3835,29083,250000,3604822248,8
4,3790,26893,250000,4189214022,18
4,4055,28445,250000,2569136006,15
4,3789,27639,250000,2170833321,9
4,3778,34145,250000,3893623164,24
4,3847,27463,250000,3993986085,11
4,3879,27119,250000,681240458,27
4,3861,28177,250000,3203237957,16
4,3753,28571,250000,1495412808,21
4,3958,34175,250000,2323863039,14
4,3824,29716,250000,3212500605,16
4,4022,28159,250000,989037388,16
4,4088,28575,250000,3790013755,22
4,3764,28417,250000,2143251122,16
4,4080,27114,250000,1323045211,5
4,3792,30287,250000,530007186,21
4,3805,28031,250000,111611518,22
4,3984,26913,250000,1163621970,15
4,3889,27809,250000,558759131,26
4,3869,28510,250000,2379472778,29
4,3795,29439,250000,3149212464,2
4,3791,27245,250000,1046115374,30
4,3733,28043,250000,3743530688,26
4,3881,27659,250000,1507198753,14
4,4038,30476,250000,790018527,7
4,3811,28930,250000,1365251902,10
4,3843,27977,250000,3308714306,12
4,3766,27937,250000,3207761355,9
4,3831,27428,250000,366024159,28
4,3796,27889,250000,648828985,0
4,3843,32097,250000,702705583,2
4,3969,37552,250000,4172447694,22
4,3789,37344,250000,22817229,0
4,3949,29785,250000,2782221346,27
4,3837,29812,250000,3819202235,20
4,3938,34201,250000,255951644,11
4,3966,28713,250000,927445548,25
4,3702,26806,250000,1352925087,5
4,3938,28604,250000,2750416383,6
4,3838,29171,250000,400817409,10
4,4035,29417,250000,1236714486,1
4,3779,29086,250000,3658170550,7
4,3813,28645,250000,2397744300,12
4,3699,27612,250000,2965855083,13
4,4051,29765,250000,1979436615,3
4,4010,27742,250000,2094296843,29
4,3827,28135,250000,51410770,7
