runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer
2,3984,31955,250000,2619447822
2,4338,30947,250000,1756774850
2,3935,33743,250000,3415180870
2,4084,32604,250000,3746740962
2,4392,34050,250000,3073304044
2,4984,29377,250000,4114852089
2,4352,29433,250000,527922215
2,4101,27862,250000,473050688
2,3951,27382,250000,2144048964
2,4146,29586,250000,138454785
2,4317,29052,250000,2547009499
2,4156,29058,250000,1158910832
2,3942,30156,250000,3934293275
2,4586,30603,250000,4202415283
2,4597,30445,250000,1424791352
2,4761,28699,250000,2385994884
2,4414,29939,250000,2156494596
2,4348,33174,250000,2669637370
2,4368,28288,250000,1654168460
2,4021,29860,250000,3918648199
2,4124,28934,250000,1063140949
2,4020,28568,250000,455383321
2,4740,33560,250000,2066663134
2,4684,28974,250000,1632093757
2,5059,29145,250000,2378805079
3,3314,21452,250000,817349967
3,3245,21501,250000,2035503701
3,3278,21464,250000,1760802898
3,3274,21665,250000,341346871
3,3274,21882,250000,3016652892
3,3430,21324,250000,2601132631
3,3275,21662,250000,1369623554
3,3244,21385,250000,572864503
3,3274,21520,250000,3235662706
3,3307,21299,250000,2711971668
3,3310,21616,250000,575430830
3,3360,21500,250000,694697249
3,3295,21673,250000,3495048041
3,3278,21816,250000,3616058489
3,3274,21469,250000,2642420154
3,3305,21665,250000,2716382541
3,3271,21776,250000,1400437035
3,3442,21418,250000,1402561676
3,3331,21341,250000,1353571756
3,3338,21258,250000,675747071
3,3283,21741,250000,3434958859
3,3283,21479,250000,1089040022
3,3297,21661,250000,1129446849
3,3359,21384,250000,3615953879
3,3306,22274,250000,3264293288
3,3261,21475,250000,4286781048
3,3316,22149,250000,1950861829
3,3322,21349,250000,3255206964
3,3280,21746,250000,511396663
3,3378,22144,250000,3006560720
3,3315,21467,250000,1456894262
3,3249,21478,250000,150237865
3,3368,24632,250000,850080533
3,3392,22071,250000,120993840
3,3249,21804,250000,676599720
3,3398,21624,250000,2886158679
3,3330,22098,250000,1003887050
3,3359,21499,250000,2659909070
3,3316,22294,250000,1226210318
3,3349,21480,250000,843253694
3,3334,21698,250000,3927466899
3,3379,21885,250000,287849146
3,3395,23199,250000,4189229835
3,3281,21695,250000,954282290
3,3258,21197,250000,247167613
3,3283,21642,250000,913048352
3,3400,24228,250000,4021481518
3,3501,22703,250000,3463413893
3,3410,21460,250000,1396430585
3,3370,21770,250000,1615832637
3,3379,24297,250000,4116510239
3,3366,21975,250000,2284694189
3,3386,24660,250000,3375153110
3,3389,21658,250000,3803282869
3,3284,21402,250000,3660183651
3,3295,21631,250000,4071502654
3,3294,21578,250000,3233008805
3,3269,22248,250000,526152957
3,3327,22431,250000,277057165
3,3385,22349,250000,309281241
3,3292,22078,250000,977095395
3,3298,22429,250000,570595477
3,3336,21691,250000,3865218390
3,3288,22519,250000,3635797743
3,3276,22147,250000,1854025856
3,3408,21213,250000,966058650
3,3385,21236,250000,2442028770
3,3288,21647,250000,2884994792
3,3274,21616,250000,442012002
3,3276,21546,250000,3598579534
3,3319,21977,250000,2288624800
3,3405,21308,250000,3841029578
3,3299,22175,250000,2078639009
3,3282,21603,250000,3178698223
3,3276,22009,250000,4162124356
3,3321,21819,250000,1743297291
