runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer
2,4148,30616,250000,555038201
2,4175,29997,250000,2478454496
2,4086,30840,250000,477595017
2,4051,28860,250000,3576652205
2,4051,29039,250000,1809560392
2,4082,29366,250000,950694328
2,4100,28727,250000,2386308391
2,4186,29191,250000,2483316428
2,4216,28811,250000,1986127398
2,4155,32032,250000,1128452403
2,4130,28296,250000,1237040151
2,4085,30100,250000,1994193788
2,4123,28964,250000,3461668714
2,4000,32898,250000,254994290
2,4112,29176,250000,2615942909
2,4147,29167,250000,3392611424
2,3945,32429,250000,3032082827
2,4108,30013,250000,827895064
2,4061,28813,250000,2646972400
2,4196,28052,250000,3778332618
2,4221,28312,250000,2789900004
2,4957,30433,250000,963473123
2,4212,33926,250000,4098653143
2,4164,29293,250000,3023501899
2,4722,30756,250000,4050656146
3,3373,22381,250000,1436875903
3,3455,27068,250000,2970562742
3,3273,22709,250000,2076859851
3,3355,22002,250000,2275042717
3,3524,22107,250000,4267082390
3,3347,21898,250000,2183395720
3,3648,23438,250000,2580822101
3,3471,27578,250000,3565154019
3,3360,22845,250000,236024901
3,3278,27753,250000,3273883971
3,3302,22590,250000,660513498
3,3272,22330,250000,398153439
3,3350,22820,250000,1328475990
3,3421,21891,250000,1899686245
3,3305,22695,250000,2331068120
3,3484,22475,250000,3358575903
3,3288,22441,250000,3350992860
3,3286,22094,250000,1492969151
3,3296,21925,250000,2931674852
3,3360,21984,250000,2628644860
3,3285,22475,250000,3797690084
3,3285,21968,250000,2189752347
3,3292,22718,250000,889137300
3,3271,22613,250000,1159985524
3,3317,22035,250000,3323455448
3,3392,21971,250000,1336703492
3,3425,21909,250000,2520770789
3,3277,21630,250000,1392804032
3,3303,21756,250000,2909014395
3,3275,21868,250000,3428944170
3,3321,22364,250000,1611345879
3,3368,21524,250000,2705929508
3,3347,23229,250000,3454723485
3,3336,22953,250000,2992770745
3,3300,22814,250000,3261584530
3,3372,21885,250000,1659594355
3,3361,22207,250000,3913799662
3,3411,21736,250000,2139357689
3,3297,22181,250000,2839394840
3,3284,21828,250000,193814343
3,3383,21948,250000,3207291654
3,3426,25616,250000,123269716
3,3344,22784,250000,3362744381
3,3444,21385,250000,3290558577
3,3292,21359,250000,1392829604
3,3348,21547,250000,3743196172
3,3339,21718,250000,2148638111
3,3314,21782,250000,932986811
3,3288,22603,250000,360805821
3,3419,21800,250000,3369285748
3,3344,22902,250000,2626598521
3,3321,21478,250000,4102980858
3,3351,21327,250000,1044681475
3,3283,21423,250000,2759721058
3,3287,22924,250000,3353611379
3,3360,22673,250000,2530864460
3,3270,22589,250000,3897701343
3,3283,21940,250000,3664697871
3,3378,22290,250000,1478998751
3,3374,22392,250000,3565461241
3,3275,21660,250000,2562720070
3,3365,22460,250000,3176213346
3,3303,21926,250000,40915753
3,3288,22142,250000,3458604319
3,3286,23048,250000,4035806509
3,3275,21813,250000,1400932934
3,3378,22902,250000,2433920530
3,3379,22550,250000,3186174681
3,3306,22807,250000,4040528336
3,3296,23096,250000,979832778
3,3281,21843,250000,4219531111
3,3301,21880,250000,2872015813
3,3323,21749,250000,805799060
3,3366,21645,250000,805857978
3,3319,21706,250000,3679635724
3,3265,21896,250000,24173687
3,3283,22530,250000,3724580112
3,3286,21741,250000,2099523852
3,3302,21768,250000,3661277401
3,3381,21729,250000,3815622041
3,3298,22549,250000,3944900343
3,3426,22598,250000,3867797927
3,3286,21899,250000,1625283817
3,3279,22501,250000,539059
3,3283,22746,250000,3066238485
3,3354,22597,250000,2632644043
3,3280,21585,250000,4265941805
3,3269,21565,250000,4058346330
3,3288,21677,250000,1767724184
3,3298,21833,250000,3319939725
3,3290,21595,250000,1368326931
3,3371,21581,250000,1079261787
3,3284,21761,250000,2446485477
3,3315,21738,250000,699890310
3,3535,21717,250000,4039360414
3,3342,21629,250000,1417172155
3,3377,21523,250000,1920423444
3,3373,21645,250000,990704883
3,3283,21363,250000,2724047487
3,3289,21523,250000,2185338263
4,4054,27579,250000,2932759855
4,4038,32145,250000,2622481161
4,4216,28975,250000,2608396789
4,3870,28345,250000,1014613653
4,4111,29667,250000,699287960
4,3973,27800,250000,4173341648
4,4225,28282,250000,2569888379
4,4236,27848,250000,4227994257
4,4496,28716,250000,391015487
4,4016,27291,250000,2238778273
4,3846,29496,250000,2036302102
4,4022,26870,250000,3848595772
4,4021,27116,250000,415574202
4,4138,34097,250000,163984393
4,4200,36728,250000,1692645817
4,4117,36466,250000,764493283
4,3842,28186,250000,2411428888
4,4145,34742,250000,928377136
4,3896,27498,250000,3020528659
4,3989,26944,250000,2755717419
4,4294,28199,250000,3865787170
4,3825,27834,250000,2124658488
4,3843,27539,250000,1387242576
4,3995,27642,250000,2819915433
4,3971,26700,250000,3320048641
4,3827,28099,250000,4262029937
4,4267,27122,250000,1732507518
4,3999,27288,250000,1368790580
