runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer,param.value.integer
1,3519,30774,10000,Buffer[755],382,131
1,3501,27200,10000,Buffer[825],253,112
1,3499,30965,10000,Buffer[925],317,116
1,3434,27167,10000,Buffer[672],152,195
1,3464,28759,10000,Buffer[606],57,22
1,3553,29559,10000,Buffer[532],410,88
1,3844,26177,10000,Buffer[841],397,189
1,3484,29193,10000,Buffer[832],414,236
1,3511,27757,10000,Buffer[672],412,146
1,3504,25847,10000,Buffer[837],32,19
1,3535,26384,10000,Buffer[751],395,68
1,3523,35034,10000,Buffer[918],431,157
1,3611,39417,10000,Buffer[589],417,206
1,3459,26270,10000,Buffer[990],36,255
1,3584,31924,10000,Buffer[625],187,195
1,3492,30815,10000,Buffer[1000],133,42
1,3569,28828,10000,Buffer[867],169,224
1,3467,32816,10000,Buffer[614],233,174
1,3589,33116,10000,Buffer[794],337,121
1,3509,26940,10000,Buffer[616],488,116
1,3458,109015,10000,Buffer[603],361,178
1,4674,25774,10000,Buffer[659],250,70
1,3551,27343,10000,Buffer[773],92,39
1,3543,30316,10000,Buffer[783],348,124
1,3470,25753,10000,Buffer[517],227,39
1,3474,31791,10000,Buffer[945],150,126
1,3549,34114,10000,Buffer[588],419,164
1,3462,27678,10000,Buffer[666],458,229
1,3486,32817,10000,Buffer[914],22,189
1,3410,33032,10000,Buffer[590],21,191
1,3484,28883,10000,Buffer[927],210,51
1,3484,25844,10000,Buffer[948],11,239
1,3459,26886,10000,Buffer[688],489,60
1,3847,33432,10000,Buffer[693],477,213
1,3469,25862,10000,Buffer[540],417,216
1,3492,30237,10000,Buffer[817],248,112
1,3508,31666,10000,Buffer[779],84,184
1,3485,28096,10000,Buffer[920],243,233
1,3528,34632,10000,Buffer[737],65,171
1,3471,27280,10000,Buffer[929],181,194
1,3511,30564,10000,Buffer[755],11,207
1,3547,33154,10000,Buffer[599],219,165
1,3552,26311,10000,Buffer[861],174,86
1,3511,25953,10000,Buffer[891],206,133
1,3489,29268,10000,Buffer[995],247,159
1,3564,30462,10000,Buffer[619],358,20
1,3585,27111,10000,Buffer[826],67,42
1,3539,30232,10000,Buffer[989],273,175
1,3961,26970,10000,Buffer[521],23,153
1,3486,25581,10000,Buffer[969],80,199
1,3819,44029,10000,Buffer[846],305,109
1,3536,26353,10000,Buffer[623],295,135
1,3536,30153,10000,Buffer[820],68,142
1,3608,35184,10000,Buffer[814],26,22
1,3484,25982,10000,Buffer[652],322,133
1,3564,26040,10000,Buffer[826],101,129
1,3634,34306,10000,Buffer[756],199,216
1,3536,26023,10000,Buffer[673],471,16
1,3507,27557,10000,Buffer[623],135,20
1,3571,39245,10000,Buffer[924],421,131
1,3462,28517,10000,Buffer[606],336,36
1,3539,26707,10000,Buffer[1020],320,4
1,3589,33016,10000,Buffer[1013],432,161
1,3523,32175,10000,Buffer[533],419,36
1,3506,29415,10000,Buffer[867],241,65
1,3530,35745,10000,Buffer[622],291,159
1,3576,31696,10000,Buffer[885],279,173
1,3464,25433,10000,Buffer[877],351,67
1,3486,27253,10000,Buffer[815],166,181
1,3610,34599,10000,Buffer[798],86,5
1,4019,34619,10000,Buffer[924],410,27
1,3565,31287,10000,Buffer[580],381,4
1,3591,28097,10000,Buffer[780],380,156
1,3526,29150,10000,Buffer[945],107,28
1,3502,28292,10000,Buffer[654],486,229
1,3518,29964,10000,Buffer[765],438,215
1,3565,27137,10000,Buffer[603],167,20
1,3516,31838,10000,Buffer[624],448,19
1,3613,35366,10000,Buffer[710],500,165
1,3615,28616,10000,Buffer[574],487,122
1,3596,28732,10000,Buffer[749],357,250
1,3544,26676,10000,Buffer[861],259,96
1,3603,32690,10000,Buffer[629],506,190
1,3613,31350,10000,Buffer[528],263,80
1,3615,26518,10000,Buffer[950],59,202
1,3616,27706,10000,Buffer[901],195,218
1,3549,28819,10000,Buffer[786],301,131
1,3610,30815,10000,Buffer[608],339,146
1,3643,37127,10000,Buffer[740],75,41
1,3631,38179,10000,Buffer[1014],422,203
1,3565,26605,10000,Buffer[545],131,217
1,3562,28428,10000,Buffer[749],55,55
1,3598,27804,10000,Buffer[633],166,238
1,3555,28728,10000,Buffer[782],78,223
1,3746,31550,10000,Buffer[599],309,240
1,3586,26324,10000,Buffer[929],346,33
1,3689,34118,10000,Buffer[849],86,222
1,3535,26178,10000,Buffer[1023],410,115
1,4038,28267,10000,Buffer[833],279,148
1,3486,28246,10000,Buffer[699],422,159
2,3446,34976,10000,Buffer[1013],490,193
2,3456,29251,10000,Buffer[933],431,3
2,3508,35427,10000,Buffer[935],267,195
2,3563,38332,10000,Buffer[821],84,165
2,3484,26549,10000,Buffer[862],410,190
2,3456,26012,10000,Buffer[1007],455,87
2,3504,29848,10000,Buffer[726],36,120
2,3425,28893,10000,Buffer[551],315,165
2,3651,34850,10000,Buffer[802],107,107
2,3501,27022,10000,Buffer[640],215,230
2,3515,30167,10000,Buffer[719],262,108
2,3446,25644,10000,Buffer[889],71,115
2,3481,28733,10000,Buffer[964],183,85
2,3466,25892,10000,Buffer[1017],415,153
2,3523,29289,10000,Buffer[999],7,91
2,3552,27818,10000,Buffer[831],313,61
2,3526,26833,10000,Buffer[930],218,154
2,3752,25574,10000,Buffer[687],445,137
2,3505,29255,10000,Buffer[689],412,34
2,3441,26159,10000,Buffer[989],128,113
2,3486,25805,10000,Buffer[901],264,59
2,3641,32239,10000,Buffer[626],265,2
2,3511,25460,10000,Buffer[907],77,6
2,3499,28045,10000,Buffer[860],219,71
2,3557,36081,10000,Buffer[840],119,46
2,3572,27144,10000,Buffer[559],285,235
2,3651,31182,10000,Buffer[909],502,247
2,3514,30746,10000,Buffer[704],277,11
2,3503,26143,10000,Buffer[931],166,74
2,3477,25838,10000,Buffer[972],96,122
2,3558,33903,10000,Buffer[770],470,22
2,3589,32301,10000,Buffer[1024],73,213
2,3702,36139,10000,Buffer[921],190,101
2,3488,27243,10000,Buffer[669],286,157
2,3496,25560,10000,Buffer[768],226,69
2,3517,25873,10000,Buffer[824],473,125
2,3566,33390,10000,Buffer[529],325,71
