runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer,param.value.integer
1,3417,30120,10000,Buffer[996],256,-18
1,3410,25190,10000,Buffer[728],476,4
1,3471,33714,10000,Buffer[969],501,91
1,3437,28201,10000,Buffer[866],157,-11
1,3444,34500,10000,Buffer[700],385,-47
1,3389,24954,10000,Buffer[614],250,-39
1,3438,25686,10000,Buffer[577],311,-79
1,3434,28120,10000,Buffer[882],15,59
1,3504,29425,10000,Buffer[541],66,-74
1,3469,25833,10000,Buffer[861],376,-41
1,3411,25192,10000,Buffer[710],5,49
1,3392,25349,10000,Buffer[832],311,-68
1,3490,25974,10000,Buffer[987],42,0
1,3460,27208,10000,Buffer[717],228,-128
1,3465,26043,10000,Buffer[691],273,116
1,3513,27073,10000,Buffer[917],50,-31
1,3525,32524,10000,Buffer[831],193,72
1,3473,27287,10000,Buffer[738],343,74
1,3459,25496,10000,Buffer[774],210,-69
1,3454,25590,10000,Buffer[864],388,-61
1,3449,25968,10000,Buffer[903],420,55
1,3466,26325,10000,Buffer[638],97,93
1,3469,25634,10000,Buffer[743],35,26
1,3441,25407,10000,Buffer[960],497,118
1,3539,32361,10000,Buffer[771],64,65
1,3462,26296,10000,Buffer[624],67,46
1,3562,26513,10000,Buffer[929],16,33
1,3469,26846,10000,Buffer[961],482,8
1,3462,25599,10000,Buffer[990],30,-19
1,3436,26129,10000,Buffer[865],389,118
1,3471,25967,10000,Buffer[615],401,70
1,3460,26477,10000,Buffer[704],51,-1
1,3459,28334,10000,Buffer[652],331,-88
1,3414,25437,10000,Buffer[598],55,-91
1,3394,25359,10000,Buffer[564],499,119
1,3409,26730,10000,Buffer[718],250,63
1,3417,25303,10000,Buffer[833],247,46
1,3412,25181,10000,Buffer[659],480,82
1,3439,27279,10000,Buffer[600],70,-36
1,3710,27883,10000,Buffer[751],303,-102
1,3435,25410,10000,Buffer[716],390,-7
1,3486,25754,10000,Buffer[967],87,94
1,6547,25898,10000,Buffer[644],241,33
1,3430,26125,10000,Buffer[1017],460,-118
1,3442,25468,10000,Buffer[689],293,97
1,3416,28222,10000,Buffer[584],353,-100
1,3479,25791,10000,Buffer[545],157,67
1,3434,28265,10000,Buffer[514],356,65
1,4087,25352,10000,Buffer[959],425,113
1,3410,25734,10000,Buffer[528],206,-123
1,3396,26485,10000,Buffer[869],246,-12
1,3425,24987,10000,Buffer[578],149,73
1,3407,25153,10000,Buffer[816],74,-49
1,3386,25013,10000,Buffer[856],275,-16
1,3456,34213,10000,Buffer[565],381,17
1,3468,27069,10000,Buffer[565],128,-6
1,3457,26186,10000,Buffer[529],15,123
1,3392,25807,10000,Buffer[945],142,-98
1,3439,25374,10000,Buffer[927],387,74
1,3389,25138,10000,Buffer[549],443,-40
1,3468,25934,10000,Buffer[722],10,-19
1,3438,28205,10000,Buffer[600],212,-29
1,3485,26204,10000,Buffer[789],129,-6
1,4120,25500,10000,Buffer[676],262,66
1,3447,25880,10000,Buffer[1020],248,-47
1,3464,29825,10000,Buffer[946],35,16
1,4136,26155,10000,Buffer[941],408,-15
1,3437,26578,10000,Buffer[794],178,49
1,3459,26446,10000,Buffer[611],136,-52
1,5449,30057,10000,Buffer[990],201,91
1,3394,28852,10000,Buffer[1010],286,-6
1,3421,28059,10000,Buffer[636],32,1
1,4128,29244,10000,Buffer[699],70,-94
