runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer,param.value.float
1,3677,26427,10000,Buffer[849],20,-3515738934539666000
1,3434,29186,10000,Buffer[971],14,-2960511086368737300
1,3418,29790,10000,Buffer[920],4,1727608516858140700
1,3388,25073,10000,Buffer[845],15,-7401097311342322000
1,5685,25617,10000,Buffer[711],44,-2314605458395734000
1,4196,26513,10000,Buffer[912],55,1190343997244295200
1,3424,27904,10000,Buffer[712],24,6532214424724773000
1,3456,29342,10000,Buffer[953],30,-6214151916688673000
1,3385,27757,10000,Buffer[614],15,-3001593851555372500
1,3409,26559,10000,Buffer[920],54,2073319533300891600
1,3438,25350,10000,Buffer[542],40,7232542741828944000
1,3364,28095,10000,Buffer[614],11,2118824702973866000
1,3363,28276,10000,Buffer[897],10,-6645813385300255000
1,3366,24829,10000,Buffer[984],45,4832850685566261000
1,3452,33229,10000,Buffer[906],0,4995781832028893000
1,3428,25146,10000,Buffer[983],6,550839790133825540
1,3498,32505,10000,Buffer[905],21,-8956358516556632000
1,3449,26543,10000,Buffer[901],56,-3459768195928318000
1,3472,26161,10000,Buffer[806],54,-193759252256158200
1,3410,25806,10000,Buffer[1018],45,-2069519562142249500
1,3432,28416,10000,Buffer[669],4,2746242588978063400
1,3389,25239,10000,Buffer[691],52,-8533955047226827000
1,3451,25479,10000,Buffer[685],17,7622473234840517000
1,3758,26443,10000,Buffer[919],46,1000135782947825700
1,3415,25632,10000,Buffer[824],49,4726106164486701000
1,3384,25418,10000,Buffer[819],17,6343798790731362000
1,3435,29585,10000,Buffer[895],33,-4374516584156205600
1,3433,25385,10000,Buffer[581],19,-5193706351945646000
1,3441,26168,10000,Buffer[876],20,-8104066153453404000
1,3427,30915,10000,Buffer[991],44,4674802149663572000
1,3423,25583,10000,Buffer[922],52,6458737975933755000
1,3495,36818,10000,Buffer[612],17,-6855667928247607000
1,3412,29707,10000,Buffer[845],19,5003627803057560000
1,3410,25735,10000,Buffer[760],16,2187291729276618800
1,3495,36580,10000,Buffer[898],16,5892859258107105000
1,4262,34536,10000,Buffer[887],24,6811941718758756000
1,3723,25731,10000,Buffer[598],5,-1065256790568044500
1,3382,25048,10000,Buffer[712],56,-1640398583518761500
1,3410,28099,10000,Buffer[625],46,-3317867878001869300
1,3479,26545,10000,Buffer[666],0,3672215117743855600
1,3466,31055,10000,Buffer[713],37,-840579657081628700
1,3431,28982,10000,Buffer[801],5,-8394826547915497000
1,3455,25910,10000,Buffer[994],33,8280024351900207000
1,3494,35147,10000,Buffer[747],39,740589332727967700
1,3464,44784,10000,Buffer[655],23,-5269487641659146000
1,3458,27876,10000,Buffer[850],52,-5282169542998499000
1,3455,26738,10000,Buffer[775],26,1310893115320868900
1,3440,26850,10000,Buffer[677],34,9098742995335596000
1,3856,25406,10000,Buffer[948],29,-1773745918820015600
1,3387,25901,10000,Buffer[911],48,6113218852467091000
1,3387,96616,10000,Buffer[770],5,-6600460822508730000
1,3726,32466,10000,Buffer[830],43,8861992947254757000
1,3431,28410,10000,Buffer[863],34,-7168741320017465000
1,3430,28617,10000,Buffer[528],54,-8565435383487195000
1,3384,25504,10000,Buffer[702],33,-5648245241113315000
1,3387,25051,10000,Buffer[564],54,-3137169078578761000
1,3387,32268,10000,Buffer[788],36,1109625101217022000
1,3373,27136,10000,Buffer[975],45,-3312496311616235500
1,3419,25384,10000,Buffer[852],19,-2644519638953304600
1,3402,26303,10000,Buffer[780],24,757496174879973400
1,3384,25153,10000,Buffer[883],39,-7673265176359272000
1,3437,25334,10000,Buffer[797],38,2058511791140597800
1,3432,31755,10000,Buffer[584],35,-4237295005602169000
1,5794,26867,10000,Buffer[622],32,8716706684022475000
1,3814,26446,10000,Buffer[757],25,5489918628275931000
1,3414,26585,10000,Buffer[566],23,-3551916897303748000
1,3435,25820,10000,Buffer[822],55,3861805996295158000
1,3459,31068,10000,Buffer[530],5,5204482575171109000
1,3390,31020,10000,Buffer[616],3,-7920941676781875000
1,3446,25643,10000,Buffer[968],36,-5437925378125484000
1,3415,25513,10000,Buffer[652],13,-4125975536680286000
1,3461,26950,10000,Buffer[544],0,-867649953329547300
1,3390,25776,10000,Buffer[694],46,2463974160717836300
1,3412,25864,10000,Buffer[668],53,-7675338948617910000
1,3400,31608,10000,Buffer[1002],24,-2900129629349083000
1,3384,25963,10000,Buffer[851],29,-8397036731267072
1,3437,26457,10000,Buffer[983],16,3860741200158750700
1,3409,26615,10000,Buffer[805],20,-5516204561878391000
1,7143,25506,10000,Buffer[652],12,2551513788359821300
1,3456,26536,10000,Buffer[898],16,3371607905095770000
1,3490,32552,10000,Buffer[769],23,-5557527734411090000
1,3397,25582,10000,Buffer[1023],6,-1842344296437416400
1,3365,24837,10000,Buffer[932],35,-7093037085959539000
1,3398,30714,10000,Buffer[724],17,-2076383717433931800
1,3449,26478,10000,Buffer[951],3,-5895202160813234000
1,3341,25728,10000,Buffer[752],17,3878588908977559600
1,3364,27972,10000,Buffer[957],33,4525815676042500000
1,3341,26064,10000,Buffer[846],4,-1309631889378356700
1,3411,25351,10000,Buffer[935],44,-6180184417285190000
1,3411,26331,10000,Buffer[929],26,3017735825607856000
1,3413,33836,10000,Buffer[561],55,8805323424262302000
1,3343,25180,10000,Buffer[855],18,-1401157611300765700
1,3343,28093,10000,Buffer[935],40,-7845579246422583000
1,3389,24972,10000,Buffer[878],44,3154026188632027000
1,3363,25155,10000,Buffer[822],33,6711602354413267000
1,3330,27560,10000,Buffer[603],21,1176444560488437800
1,3466,25491,10000,Buffer[990],17,-1893277473013957000
1,3366,31311,10000,Buffer[673],40,4809462593308287000
1,3440,31293,10000,Buffer[658],12,2968997765167694000
1,3414,25255,10000,Buffer[978],20,-7753085621956010000
2,3457,28646,10000,Buffer[997],20,8992782133904998000
2,3542,27084,10000,Buffer[555],36,-820717976813191200
2,3543,26593,10000,Buffer[812],2,2703609810680291300
2,3562,25788,10000,Buffer[875],5,5436526213465418000
2,3621,48292,10000,Buffer[871],3,-9180137402763026000
