runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer,param.value.integer
1,3457,31503,10000,Buffer[868],164,48179
1,3555,36607,10000,Buffer[983],75,1017
1,3492,31980,10000,Buffer[807],175,25396
1,3461,30335,10000,Buffer[947],129,62915
1,5637,30770,10000,Buffer[935],125,61067
1,3480,25334,10000,Buffer[588],178,47627
1,3444,25310,10000,Buffer[621],120,19068
1,3424,32234,10000,Buffer[874],127,35402
1,3405,26523,10000,Buffer[851],180,18489
1,3611,32796,10000,Buffer[525],180,55300
1,3470,28948,10000,Buffer[800],97,3481
1,3407,25318,10000,Buffer[981],182,2053
1,3437,25254,10000,Buffer[641],140,60654
1,3409,28292,10000,Buffer[899],59,61103
1,3448,33787,10000,Buffer[570],224,2827
1,3372,24694,10000,Buffer[635],149,21612
1,3370,34606,10000,Buffer[925],159,54888
1,3366,24647,10000,Buffer[573],135,5004
1,3388,26675,10000,Buffer[963],55,42253
1,3443,41770,10000,Buffer[750],66,42482
1,3416,26682,10000,Buffer[859],19,60895
1,3383,25289,10000,Buffer[949],242,16051
1,3712,26839,10000,Buffer[602],18,60222
1,3607,27349,10000,Buffer[521],26,26728
1,3395,25832,10000,Buffer[936],132,6206
1,3390,31592,10000,Buffer[673],16,60307
1,3932,25729,10000,Buffer[638],91,2694
1,3385,24865,10000,Buffer[803],63,18120
1,3388,25576,10000,Buffer[532],213,9777
1,3439,30396,10000,Buffer[848],67,5893
1,3436,30275,10000,Buffer[550],24,26971
1,3498,35047,10000,Buffer[900],206,45143
1,3391,24950,10000,Buffer[998],174,53739
1,3352,25118,10000,Buffer[730],78,50325
1,3415,28088,10000,Buffer[829],62,27076
1,3461,30822,10000,Buffer[662],99,36898
1,3469,30609,10000,Buffer[775],172,44970
1,3426,35856,10000,Buffer[869],80,8462
1,3424,25311,10000,Buffer[649],239,30602
1,3459,28124,10000,Buffer[800],175,14232
1,3483,28529,10000,Buffer[545],28,49810
1,3493,25734,10000,Buffer[764],145,15679
1,3451,26314,10000,Buffer[655],121,56589
1,3400,30435,10000,Buffer[512],3,30527
