runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer,param.value.integer
1,3435,29276,10000,Buffer[604],69,-1234605555
1,3452,28524,10000,Buffer[912],44,898074309
1,3458,29796,10000,Buffer[793],52,-244000150
1,3415,26788,10000,Buffer[563],97,-1733384556
1,3404,26822,10000,Buffer[745],32,-1619086646
1,3431,27197,10000,Buffer[748],48,-1414453199
1,3366,27255,10000,Buffer[883],46,-1852187946
1,3472,27907,10000,Buffer[879],38,2054774603
1,3443,29910,10000,Buffer[950],101,1132451163
1,3467,30596,10000,Buffer[767],56,-1258000636
1,3592,28770,10000,Buffer[657],10,1923771327
1,3420,32137,10000,Buffer[677],73,-1926964497
1,3424,28654,10000,Buffer[1015],76,1798258803
1,3364,27147,10000,Buffer[872],14,-1147421184
1,3567,34689,10000,Buffer[783],41,-1921192861
1,3343,25424,10000,Buffer[596],15,-1277567207
1,3442,35896,10000,Buffer[904],21,-1575705131
1,3457,31415,10000,Buffer[795],68,-2001499921
1,3427,26774,10000,Buffer[653],32,914948161
1,3406,28199,10000,Buffer[927],20,1634910506
1,3446,30871,10000,Buffer[809],11,1091079306
1,3348,25408,10000,Buffer[982],4,-529082318
1,3365,24639,10000,Buffer[938],87,965686022
1,3365,26780,10000,Buffer[728],5,-1818566558
1,3363,24659,10000,Buffer[566],36,863383536
1,3363,24747,10000,Buffer[965],124,-1473102750
1,3415,27996,10000,Buffer[669],26,-585263136
1,3447,27386,10000,Buffer[905],12,1243434362
1,3412,25263,10000,Buffer[636],34,858330639
1,3420,26116,10000,Buffer[1014],46,-2041667150
1,3506,27272,10000,Buffer[664],78,-1435664123
1,3435,25168,10000,Buffer[991],49,-2041626054
1,3436,35828,10000,Buffer[920],119,-833461848
1,3373,28888,10000,Buffer[649],77,-654911000
1,3549,27888,10000,Buffer[555],91,-191213348
1,3410,26907,10000,Buffer[890],43,-431711171
1,3447,25121,10000,Buffer[925],65,-1347375226
1,3392,28242,10000,Buffer[815],124,-1338973998
1,3390,28917,10000,Buffer[563],14,-58257238
1,3451,26121,10000,Buffer[600],9,157921234
1,3417,30251,10000,Buffer[719],34,-1723959542
1,3490,31937,10000,Buffer[1006],118,312945769
1,3457,34053,10000,Buffer[722],66,-1529002676
1,5741,26813,10000,Buffer[715],110,1377788291
1,3373,28770,10000,Buffer[924],84,-1274163750
1,3389,24925,10000,Buffer[640],62,733800514
1,3434,25260,10000,Buffer[937],75,1897636570
1,3387,26854,10000,Buffer[529],21,-362975844
1,3388,24783,10000,Buffer[1001],19,1303810445
1,3861,25833,10000,Buffer[706],114,1195270871
1,3503,32971,10000,Buffer[1020],21,1554092249
1,3437,29362,10000,Buffer[759],122,1635664460
1,3529,29181,10000,Buffer[927],89,607465876
1,3434,26856,10000,Buffer[848],31,-62545868
1,3501,26250,10000,Buffer[777],108,1859685004
1,3414,26095,10000,Buffer[690],47,-1181757457
1,3441,29707,10000,Buffer[816],97,-962101387
1,3439,24936,10000,Buffer[922],26,-1331950164
1,3412,27050,10000,Buffer[533],23,1765276940
1,3481,26483,10000,Buffer[766],116,-2082435491
1,3435,25447,10000,Buffer[851],43,772481227
1,3471,33817,10000,Buffer[628],82,-1668565264
1,3437,31043,10000,Buffer[865],39,-392131269
1,3673,26092,10000,Buffer[607],62,-192523770
1,3481,26586,10000,Buffer[739],47,1981918390
1,3459,26433,10000,Buffer[982],38,640029899
1,3467,28503,10000,Buffer[742],67,2142486397
1,3414,25633,10000,Buffer[534],46,-1505643296
1,3462,25423,10000,Buffer[979],123,-356219345
1,3457,31773,10000,Buffer[563],20,-1563332126
1,3476,29334,10000,Buffer[778],11,-767797704
1,3437,26217,10000,Buffer[843],90,-566270703
1,3438,25320,10000,Buffer[792],58,-1616942377
1,3412,25343,10000,Buffer[813],25,-854928677
1,3409,30339,10000,Buffer[878],120,228245473
1,3410,25278,10000,Buffer[1020],8,107499047
1,3839,28810,10000,Buffer[989],41,-196599117
1,3389,28344,10000,Buffer[958],62,-881144448
1,3389,27779,10000,Buffer[634],102,-1623288821
1,3459,25505,10000,Buffer[850],86,1369448302
1,3435,29556,10000,Buffer[726],114,1998132225
1,3414,26861,10000,Buffer[660],30,-1692065882
1,3459,28037,10000,Buffer[679],73,1048331990
1,3432,28685,10000,Buffer[816],84,-2019449788
1,3479,28287,10000,Buffer[799],58,-1303496096
1,3491,28603,10000,Buffer[603],123,-1666814306
1,3795,29770,10000,Buffer[971],112,387667382
