elapsed.ps,repeats.n,param.a.vector2,param.b.vector2
39354,100000,-1.35527152e+38; 2.50407724e+38,2.70090748e+38; 2.95720615e+38
39360,100000,-2.85801198e+38; 6.20810889e+37,-1.28110899e+38; -1.80574942e+38
39314,100000,-3.06841298e+38; -3.16892043e+38,-2.04075196e+38; -1.49926527e+38
39625,100000,2.66581425e+38; -7.14947688e+37,-2.45575602e+38; 1.32961285e+38
40953,100000,-3.12353651e+38; -2.57237582e+38,-1.29366948e+38; 1.35670762e+38
40439,100000,-2.48413477e+38; 4.57067498e+37,-5.48712894e+36; -9.850495e+37
38690,100000,2.55023108e+37; 1.95309342e+38,-2.5066886e+38; -1.1104604e+38
39248,100000,3.06085738e+38; 1.89167219e+38,-7.15962958e+35; 2.52579666e+38
43450,100000,1.92964837e+38; 7.4932627e+37,1.28686078e+38; -8.76068132e+36
44470,100000,-1.03692856e+38; 1.42609618e+38,2.39314341e+38; -3.26333221e+38
41556,100000,2.08318256e+38; 2.38870927e+38,-2.36839462e+38; -2.75558135e+38
38923,100000,1.93452994e+38; -2.67090026e+38,-3.30270787e+38; 1.33847099e+38
39013,100000,2.11836116e+37; 1.30096618e+38,-9.1265803e+37; -7.29369748e+37
47857,100000,2.16236651e+38; 2.47270421e+38,2.93347512e+38; 3.55953652e+37
39485,100000,5.00704544e+37; -1.55930668e+38,-3.22233791e+37; -2.94505658e+38
38911,100000,-2.43091271e+38; -1.59321431e+38,-1.40187624e+38; -3.26686581e+38
42179,100000,-7.02786051e+37; 1.9098286e+38,-1.63335401e+38; -3.00208199e+38
44161,100000,6.11786738e+37; -7.59285491e+37,-2.16074898e+38; 1.63377788e+36
46775,100000,8.45248783e+37; 1.51206702e+38,2.86863327e+38; -3.57267065e+37
43276,100000,-1.19262171e+38; -3.29290498e+38,-1.8187547e+38; -2.17585857e+38
44017,100000,2.36900775e+38; -1.3599451e+38,-2.34933179e+38; 1.30906921e+38
43181,100000,2.52470161e+38; -2.89417663e+37,-7.47996885e+36; -2.80780328e+38
42722,100000,3.36322612e+38; 9.10845113e+36,7.00148019e+37; -4.81901534e+37
40750,100000,-2.306198e+38; -1.42804605e+37,4.18058238e+37; 2.95618229e+38
40286,100000,-1.53177524e+38; 2.79595146e+38,2.4812429e+38; 2.83297416e+38
39894,100000,2.24443725e+38; 2.84238317e+38,-2.86227433e+38; -4.26765274e+37
41768,100000,-3.00621717e+38; 3.36270587e+37,1.5369434e+38; 3.06756051e+38
42038,100000,6.44501263e+36; 2.46005955e+38,2.99215801e+38; 2.18096061e+38
42890,100000,-3.03093595e+38; 9.29302993e+37,2.10646859e+38; -1.77226296e+38
40565,100000,1.76934574e+38; 8.1218592e+37,-2.38836858e+37; -5.45450227e+37
46352,100000,3.12674478e+38; -2.8274323e+37,-1.81699013e+38; 1.18766367e+38
39776,100000,3.0663894e+38; 1.34878419e+38,-3.23121156e+38; 1.5181125e+38
39699,100000,6.31366109e+37; -3.14627228e+38,-2.11588085e+38; -3.16485523e+38
42623,100000,-2.2210423e+38; -1.45958122e+38,2.02525336e+38; 2.22000546e+38
39929,100000,2.83730222e+38; 3.24069339e+38,-1.09448111e+38; 1.17743992e+38
39220,100000,-1.60136378e+38; 1.48686511e+38,-2.95717066e+38; -1.70201098e+38
39003,100000,2.27596828e+38; 2.63313797e+37,-8.47280168e+36; -1.53128106e+38
47360,100000,7.30651647e+37; -2.64323485e+38,2.71833352e+38; 4.83680808e+37
42147,100000,-3.32531444e+38; 1.40504022e+37,3.71536171e+37; -3.12445875e+38
39127,100000,-1.97722441e+38; -1.47953751e+37,8.1459836e+36; -2.80583082e+38
39030,100000,3.2175469e+38; -1.59978702e+38,-1.25794983e+38; 1.01209319e+37
39535,100000,-2.97163947e+37; -9.99455385e+37,-2.76076777e+38; 2.07846021e+38
41250,100000,-1.892506e+38; -1.55523986e+38,-2.07296124e+38; -1.36312434e+37
39697,100000,8.73399297e+37; -2.60169719e+37,2.22202458e+38; 2.98833154e+38
39566,100000,1.04843872e+38; 3.30607789e+37,-5.92605917e+37; 2.34049352e+38
38996,100000,2.32040116e+38; -2.19362738e+38,-1.89731436e+38; -1.34436557e+38
40844,100000,-9.52832819e+37; -2.59649909e+36,-1.89957686e+38; -2.45375476e+38
40566,100000,-7.11024562e+37; 2.07284482e+38,2.71863431e+38; -1.6052863e+38
47413,100000,1.68263012e+38; -2.01755517e+38,-2.37979394e+38; 1.20665298e+38
38936,100000,1.45315088e+38; 2.96494526e+37,-5.2445773e+37; 2.44751548e+38
39515,100000,2.0429664e+38; -9.64444296e+37,-2.47415663e+38; -7.29338514e+37
39182,100000,-3.09477139e+38; 2.81828483e+38,-2.42807114e+38; 6.60059025e+37
42662,100000,-4.06608818e+37; 3.25383091e+38,1.34401803e+38; 1.79382067e+37
47054,100000,-1.01791441e+38; -7.44648183e+37,2.52119438e+38; 7.72527877e+37
39462,100000,3.01735019e+38; 1.11185482e+37,1.17766181e+38; 6.06693267e+37
40987,100000,-2.14194131e+38; -2.61322764e+38,-1.67092169e+38; -1.42087021e+38
43386,100000,-1.23044617e+38; 6.81614967e+37,-3.34108827e+38; 2.49474693e+38
39752,100000,1.2118684e+38; 2.4927412e+38,-2.03073347e+38; -2.45165086e+38
42903,100000,-2.03684496e+38; 7.58844552e+37,1.50774758e+38; -2.36241719e+38
41427,100000,1.04004039e+38; -1.88065641e+38,-2.92173039e+38; 1.61107226e+38
39820,100000,-2.41933084e+38; 1.08638356e+38,2.72095827e+38; 2.70333549e+38
40147,100000,2.08324848e+38; 1.72769743e+38,-3.37412305e+38; 2.22688445e+38
40142,100000,1.54674366e+38; -3.191369e+38,-1.25444391e+38; 2.1399084e+38
39839,100000,-3.96236393e+37; -1.18356622e+38,1.62504349e+38; -3.30269504e+37
39822,100000,-8.20477014e+37; 3.08232326e+38,2.00485534e+38; 3.21693964e+38
40742,100000,-1.00201296e+37; 1.03323483e+38,2.80221852e+38; 2.83244479e+38
41454,100000,2.80915835e+38; 3.13173344e+38,-6.28267286e+36; -1.59354927e+38
39934,100000,-2.10533704e+38; -2.76215995e+38,-2.72678418e+38; 2.29559314e+38
42156,100000,-2.90515677e+37; 8.38568315e+37,3.28091381e+38; -2.71867e+38
39593,100000,6.76017225e+37; 8.94539551e+37,-3.47812952e+37; -6.34566774e+37
39181,100000,-1.43160964e+38; 1.68737925e+38,-1.06616058e+38; 1.29547016e+38
38893,100000,1.28328154e+38; 2.51592034e+38,1.73695777e+38; -9.37750312e+37
42356,100000,7.31269095e+37; -1.35114048e+37,2.50672491e+38; 3.0969414e+38
43623,100000,-1.61027333e+38; 5.39691899e+37,-2.52669679e+38; -8.26544852e+37
39722,100000,-1.66501444e+38; -5.05227319e+37,1.6780772e+36; 3.29486933e+38
39177,100000,7.55769383e+37; -2.44464836e+38,1.00826606e+38; 2.68791741e+38
44629,100000,-2.47497361e+38; 5.513805e+37,-2.40927949e+38; 1.54264448e+38
40807,100000,-1.76792658e+38; 1.44513345e+38,-8.1666316e+37; -9.93964633e+37
41056,100000,1.20662712e+38; 1.71909242e+38,-1.14478159e+38; 7.59160133e+36
39338,100000,1.12482715e+38; 2.7631475e+38,2.07245256e+38; -2.7492863e+38
40865,100000,-2.53056906e+37; -1.55594741e+38,-7.0909104e+36; -1.7951044e+38
41538,100000,-2.65860669e+38; 7.46126467e+37,-2.7668387e+38; 1.78367972e+38
46930,100000,3.34452351e+38; -4.37883228e+37,-8.89216433e+37; -5.6801238e+37
38892,100000,-1.67175348e+38; -2.74104049e+38,-2.29989869e+38; -7.21027391e+37
39201,100000,3.01639752e+38; 1.59513596e+38,-1.91201464e+37; -1.62356348e+38
52725,100000,-1.58642071e+38; -2.14855885e+38,-8.85595008e+37; 1.60651642e+38
42646,100000,-2.69081374e+38; -3.24289134e+37,-3.71204097e+37; -2.78575833e+38
44825,100000,-6.55748912e+37; -2.19627281e+38,1.92657802e+38; -2.41900308e+38
42310,100000,1.99101488e+37; -1.08873125e+38,-1.86106685e+38; -3.2729339e+38
41121,100000,1.50457754e+38; 2.91892696e+38,2.44316917e+38; -3.00446011e+38
42168,100000,2.85098347e+37; 1.99073919e+38,-2.64518846e+38; 1.08566554e+37
41182,100000,3.21379521e+37; 1.64024059e+38,2.1780008e+38; 5.8694322e+37
41472,100000,7.8454774e+37; -3.26749213e+38,1.27750156e+38; 1.05929174e+38
40327,100000,6.19724969e+37; 6.07341848e+37,6.46852185e+37; 1.10195731e+38
40628,100000,-2.27981728e+38; -2.74457125e+38,-9.2114125e+37; 1.51265126e+38
39273,100000,7.6705051e+37; -3.9469564e+37,3.3621189e+38; -1.31702072e+38
39459,100000,3.06556087e+38; -2.77387953e+38,-6.13397364e+37; -5.71791043e+37
39148,100000,-9.23481535e+37; 3.62783956e+37,3.32061278e+38; 1.8099424e+38
40977,100000,3.21945568e+38; -1.8078671e+38,8.2505232e+37; -2.87813132e+38
41749,100000,-1.51153491e+38; -1.18909713e+38,1.92255115e+38; 1.16946873e+38
40990,100000,-1.76895814e+38; -1.70841819e+38,-2.64766899e+38; -1.06604872e+38
39316,100000,1.21871155e+37; 3.0350547e+38,-1.08090031e+38; 4.02010212e+37
38875,100000,2.21630073e+37; -2.82627873e+38,-2.51627346e+38; -3.37668613e+38
39792,100000,-1.57347668e+38; -3.05509677e+38,-8.49647632e+37; -1.33627847e+38
39594,100000,1.81095023e+38; -6.8602345e+37,-9.44019098e+37; 7.77489258e+37
41776,100000,3.8201954e+37; 3.35897695e+38,-7.15663403e+37; 2.02226718e+38
39246,100000,-2.00491784e+37; 3.96976131e+36,-1.36768669e+38; 2.87559906e+38
39331,100000,1.06783357e+38; -3.02188168e+38,1.17901454e+38; 2.52709068e+38
43236,100000,-3.20650069e+38; -1.30309107e+38,-1.37620398e+38; 2.24130544e+38
41398,100000,-6.43971322e+37; 4.15913094e+37,-2.08974404e+36; -6.34137142e+37
42820,100000,-8.05721054e+37; 2.79680251e+38,-7.5294142e+36; 1.44796011e+38
39567,100000,-8.03516153e+37; 1.00996938e+38,-2.92313779e+38; -2.25173993e+38
41376,100000,-3.26097823e+38; -3.3072633e+38,1.47133944e+38; -3.24040315e+38
39272,100000,-1.4248049e+38; -4.77215536e+37,2.80788989e+38; 3.24072219e+38
39744,100000,2.4268976e+38; -2.76786134e+38,-1.33854006e+38; 1.68229049e+38
41398,100000,-7.52817076e+37; -1.00577395e+36,-2.90544808e+38; 6.64770426e+37
40991,100000,1.91185867e+38; -6.8532173e+37,1.74582402e+38; 2.27836871e+38
40334,100000,-7.13946548e+37; -8.40973302e+37,1.96882547e+38; -1.10269559e+38
43006,100000,1.26394582e+38; 2.50255444e+38,-3.23435108e+38; -2.72031247e+38
39603,100000,-1.36812276e+38; -3.38722143e+38,1.6206989e+38; -1.6349695e+38
39331,100000,1.61629731e+38; -1.93698634e+38,2.26407306e+38; -5.96255787e+37
39060,100000,2.45129531e+38; 2.53148831e+38,2.98030619e+38; 1.29172785e+37
39602,100000,-8.3300125e+37; 1.25728943e+38,-1.69492816e+38; -8.98975923e+37
41304,100000,4.72334929e+37; 2.89309127e+37,-3.27291747e+38; 3.23664948e+38
39915,100000,-2.74945505e+38; -1.34503164e+38,-3.18860775e+37; -1.7731278e+38
39456,100000,-1.21587691e+38; -9.3012798e+37,2.73752494e+38; 3.24012548e+38
38974,100000,-9.55701664e+37; -2.52693329e+38,1.13339444e+38; 1.12033429e+38
39395,100000,2.99994524e+38; 5.57188215e+37,1.83113184e+38; -2.83834007e+38
43251,100000,-3.12245161e+38; 2.20798712e+38,3.17010959e+38; -3.29023338e+38
51418,100000,-2.88686006e+38; -1.16392572e+37,-3.26958304e+38; -3.56321549e+37
43650,100000,1.58243289e+38; -1.5363113e+38,3.16024382e+38; -2.38290708e+38
39818,100000,2.98353454e+38; 7.38953745e+37,3.27973926e+38; -3.34883676e+38
44388,100000,-1.81516613e+38; 8.38382122e+37,-6.5642675e+37; -2.95759212e+38
40106,100000,9.32772806e+37; 1.58152484e+38,2.82047188e+38; -2.5344325e+38
39563,100000,-1.21755132e+38; -2.16058307e+38,3.23989365e+38; 2.61982977e+38
40820,100000,-2.2985209e+38; -2.68187457e+37,-2.71039742e+38; -1.808592e+38
49706,100000,-3.38523355e+38; 1.40397212e+38,6.1878351e+37; -2.18422445e+38
39639,100000,-1.33509742e+38; 2.69348209e+38,2.94419498e+38; 1.46417356e+38
41872,100000,2.79869101e+38; -1.57267512e+38,1.83869981e+38; -2.29543088e+38
39840,100000,2.61345582e+38; 2.11282348e+38,-1.99296356e+38; 7.19990047e+37
38883,100000,-1.21291368e+36; -3.17739665e+37,-1.70874494e+38; -3.36500955e+38
38863,100000,-7.76314095e+37; -7.7700461e+37,-3.33417704e+38; 1.96950736e+38
40931,100000,3.81031001e+37; 1.14356627e+38,4.35577119e+37; 3.4493934e+37
40583,100000,-1.00217333e+38; -1.47537564e+38,2.30172796e+38; 2.97881158e+38
39995,100000,-2.16049586e+38; -3.19105746e+38,3.55332763e+36; 3.61162276e+37
39259,100000,1.27534889e+38; -2.07564526e+37,1.54534681e+38; 1.94226443e+38
39876,100000,3.10910923e+38; 3.50914208e+37,-6.68840091e+36; -1.01593525e+38
39003,100000,1.23127866e+38; -8.76300898e+37,1.34077102e+38; 1.54844788e+38
44725,100000,1.53011066e+38; -2.66552664e+38,-1.10516695e+37; -1.48133217e+38
47246,100000,3.2708083e+38; 2.58856179e+38,-5.79202692e+37; -2.89397736e+38
41230,100000,9.93508583e+37; 5.53603959e+37,7.03248882e+36; 1.50525102e+38
41554,100000,2.18295478e+38; 2.62898748e+38,3.26621556e+38; -7.19019888e+37
45329,100000,2.65949506e+38; -5.09859821e+37,1.49047579e+38; 3.17119368e+38
40072,100000,-2.0036317e+38; 3.90161381e+37,2.3887186e+38; 1.50868919e+38
39583,100000,-1.19994467e+38; -2.75712849e+38,2.97763013e+38; 2.02062208e+38
40731,100000,1.86755884e+38; 1.36585691e+38,-3.0303147e+38; -2.4513018e+38
46186,100000,-2.03168674e+38; -2.32188218e+38,-2.03204772e+37; -1.3199256e+37
41510,100000,1.27011157e+38; -2.35082802e+38,2.66320532e+38; -2.6955438e+38
40883,100000,-1.59213924e+38; 6.01747909e+37,-1.03335632e+37; -2.82907061e+38
39667,100000,1.35233919e+38; 6.34684615e+37,2.70862575e+38; 1.32359283e+38
39698,100000,2.85011006e+37; 2.51829785e+38,-4.59482372e+37; 2.75783676e+38
40151,100000,-1.32495419e+38; 3.20353906e+38,6.67135051e+37; -3.38228347e+38
41509,100000,-1.63022839e+38; 2.01847255e+38,-1.28714291e+38; 1.98998149e+37
40104,100000,-2.56513825e+38; 1.2688067e+38,3.43196802e+37; -2.2799485e+38
38811,100000,2.45645384e+37; 1.65305036e+38,1.30820883e+38; -1.41672905e+38
39013,100000,2.68295309e+38; 1.73996362e+38,-2.6588878e+38; -2.09825624e+38
38847,100000,-2.02967594e+38; -2.72669438e+37,2.18962221e+38; 2.12645346e+38
40114,100000,-2.09517636e+38; -2.10480158e+38,-1.3061167e+38; 1.78601544e+38
44346,100000,3.0026207e+38; 3.19218395e+38,2.44031137e+38; 2.98652559e+38
46887,100000,-2.90936481e+38; 5.19873145e+37,-7.39463632e+36; 2.49325455e+38
49169,100000,-2.49662204e+38; 2.57363617e+38,-2.20433122e+38; -2.39403645e+38
41188,100000,5.53241563e+37; -6.89081125e+37,-2.51754375e+38; -3.35237888e+38
40171,100000,8.35546642e+37; -1.16559195e+38,-2.37238883e+38; -9.67301986e+37
45117,100000,1.5121818e+37; -1.71304737e+37,3.6736882e+37; 1.23120362e+38
43273,100000,1.7344105e+38; -5.83595304e+37,3.22176828e+38; 3.15896116e+38
40313,100000,2.16263281e+38; -9.45505088e+37,2.00151422e+38; -8.92961174e+37
39591,100000,3.25429619e+38; 2.30974215e+38,2.28270367e+38; -1.07105381e+38
42405,100000,-1.37444377e+38; -1.78402668e+37,-1.85320931e+35; -8.45317274e+35
39689,100000,2.73180327e+38; 3.07341503e+38,3.19694403e+38; 3.57587653e+37
49593,100000,-3.35052872e+38; 5.77765633e+37,9.47408795e+37; 2.5169659e+38
40179,100000,8.52213813e+37; 3.16323852e+38,-3.13908845e+38; -3.6216372e+36
39676,100000,-8.26880817e+36; 3.15817745e+38,-3.09857008e+37; -6.32479207e+37
43352,100000,1.60736423e+38; 1.83725145e+38,-1.80082546e+38; -2.349376e+38
41896,100000,1.5479603e+38; -4.51639221e+36,3.12162084e+38; -1.57630669e+38
39201,100000,-3.37581237e+38; -4.24941353e+37,3.13470056e+38; -4.25852971e+37
38941,100000,-8.2090837e+37; 1.33333417e+38,-2.31403167e+38; 3.05679542e+38
49193,100000,1.80058625e+37; 2.57911283e+38,9.34341549e+37; 3.01185203e+38
40842,100000,-3.15855876e+38; -3.41814176e+37,2.47796161e+38; -8.85384984e+37
44417,100000,-1.80492595e+38; -2.20265285e+38,2.44033632e+38; 3.21352023e+38
39903,100000,1.34037034e+38; -2.4679167e+37,-3.29013643e+38; 1.33850568e+38
43152,100000,-3.33974456e+38; 2.0818421e+38,-1.35065667e+38; -2.14739525e+38
54899,100000,-2.56174297e+38; 4.34306223e+37,1.44199667e+38; 1.84403977e+38
39716,100000,4.58715393e+37; -2.95602429e+38,-4.75101399e+37; 3.12328907e+38
40466,100000,-1.68952655e+38; 3.00038268e+37,-7.23094777e+37; 1.88932369e+38
41207,100000,-1.51920481e+38; -2.79100438e+38,2.2351512e+37; -3.35644145e+38
40338,100000,2.56526785e+38; -1.57596574e+38,-1.24915101e+38; 9.26979541e+37
39352,100000,-2.0742368e+38; 2.57454523e+38,-2.74670516e+38; 3.11714999e+38
39262,100000,2.58246348e+38; 3.25687591e+38,-6.63075767e+36; -1.168727e+38
39955,100000,-1.00025096e+38; 3.39132537e+38,-9.2893507e+37; 1.80491317e+38
48153,100000,-3.03476994e+38; -7.18512625e+37,-1.12639802e+38; -1.02463082e+38
42001,100000,-3.97476251e+36; 1.9509524e+38,7.68369425e+37; -3.36279055e+37
39391,100000,-6.55715141e+37; -1.00267775e+38,-5.28801716e+37; -2.06274621e+38
39338,100000,-1.16350945e+38; -5.56719996e+37,-2.96122186e+38; 1.71629527e+38
50419,100000,-8.71411317e+37; -9.02260862e+37,-2.14970785e+38; -3.05242861e+38
38757,100000,-2.91893669e+38; -3.07196301e+38,-2.66708033e+37; -1.04046692e+38
39102,100000,1.64702871e+38; -2.19201939e+38,1.49256224e+38; -7.80175815e+37
51434,100000,2.086331e+38; 1.65402655e+38,2.06738561e+38; -2.65171635e+38
39030,100000,1.301057e+37; 1.85842365e+38,7.86502761e+37; -6.85763481e+37
49761,100000,1.98776072e+38; 2.56145658e+38,-5.67305436e+37; -3.04564313e+38
43280,100000,-3.22879918e+38; -1.90764966e+38,1.55810109e+38; -1.98846229e+38
39389,100000,1.19505742e+38; 2.78608914e+38,-7.45083647e+37; -1.23121001e+38
39508,100000,2.71653082e+38; -3.14526688e+38,2.49594988e+38; 1.43515258e+38
41293,100000,-2.57354186e+38; 3.36591212e+38,9.98005193e+37; -3.07777473e+38
46519,100000,2.15571712e+38; 7.15336958e+37,-2.51824288e+38; 1.0480278e+38
41195,100000,1.88987274e+38; -3.19343172e+38,2.65374702e+38; -2.67792244e+38
42103,100000,2.04639554e+38; 1.90212433e+38,2.22070506e+37; 9.87221644e+37
41081,100000,4.56468964e+37; 3.02166527e+38,6.39777173e+37; 1.9653592e+38
41616,100000,-1.93388151e+38; -3.03447222e+36,-3.08255874e+38; -1.467207e+38
40202,100000,-2.90041317e+38; -1.32565282e+38,2.06396822e+38; -2.82365601e+38
42946,100000,-1.62354553e+38; -2.01945766e+38,-3.53274599e+37; -2.06382138e+38
46079,100000,-1.90776357e+37; -2.48811823e+37,-2.01182527e+37; 2.78963024e+38
39259,100000,-2.79327033e+38; 1.46037254e+38,-1.99799827e+38; -1.94672231e+38
39156,100000,3.31253145e+38; 9.45478316e+37,3.06453235e+38; 1.33056854e+37
53748,100000,1.19395649e+38; 1.12202381e+38,2.21252592e+38; 1.29921733e+38
40226,100000,2.29460052e+38; -2.10515531e+38,-2.15855564e+38; 1.78049336e+38
38989,100000,2.40261418e+37; 2.60575276e+38,-1.89259079e+38; -2.46768817e+38
47997,100000,2.7239481e+38; -1.08887424e+38,6.4613292e+36; 1.8007764e+37
39637,100000,-1.02789264e+38; -3.05781157e+38,-1.19217205e+38; 1.15433389e+38
43269,100000,-3.25473916e+38; 2.48227142e+38,5.2577771e+37; 2.83954018e+38
39901,100000,-7.97450293e+37; -2.04359921e+38,2.2906276e+38; 3.15045167e+38
40966,100000,1.43499376e+38; -7.87605465e+37,2.89106709e+37; 2.85085772e+37
39648,100000,3.27370585e+38; 3.07727355e+38,8.67192271e+37; 1.10686028e+38
41571,100000,-3.30989555e+38; 8.94354373e+37,-2.66130445e+38; -3.32881884e+38
39865,100000,6.74481847e+37; 2.68056321e+38,7.36172722e+37; 2.73058186e+38
