elapsed.ps,repeats.n,param.array.array,param.index.integer
16663,100000,array<integer>[100],40
17556,100000,array<integer>[100],22
15482,100000,array<integer>[100],83
15957,100000,array<integer>[100],99
15849,100000,array<integer>[100],11
16030,100000,array<integer>[100],79
15857,100000,array<integer>[100],41
15885,100000,array<integer>[100],59
16224,100000,array<integer>[100],35
15811,100000,array<integer>[100],100
15862,100000,array<integer>[100],22
17224,100000,array<integer>[100],36
16596,100000,array<integer>[100],53
15945,100000,array<integer>[100],17
15541,100000,array<integer>[100],10
15704,100000,array<integer>[100],30
16076,100000,array<integer>[100],6
15969,100000,array<integer>[100],75
17519,100000,array<integer>[100],90
16949,100000,array<integer>[100],29
20842,100000,array<integer>[100],62
23742,100000,array<integer>[100],62
22450,100000,array<integer>[100],6
17374,100000,array<integer>[100],4
17615,100000,array<integer>[100],56
16438,100000,array<integer>[100],71
16115,100000,array<integer>[100],66
16080,100000,array<integer>[100],17
15703,100000,array<integer>[100],33
15730,100000,array<integer>[100],38
15644,100000,array<integer>[100],100
16121,100000,array<integer>[100],22
16756,100000,array<integer>[100],44
16147,100000,array<integer>[100],95
16002,100000,array<integer>[100],76
16056,100000,array<integer>[100],73
20164,100000,array<integer>[100],50
15584,100000,array<integer>[100],59
16060,100000,array<integer>[100],21
21031,100000,array<integer>[100],70
16064,100000,array<integer>[100],84
15952,100000,array<integer>[100],67
16371,100000,array<integer>[100],22
16071,100000,array<integer>[100],82
16698,100000,array<integer>[100],81
17244,100000,array<integer>[100],88
21975,100000,array<integer>[100],44
28521,100000,array<integer>[100],97
17215,100000,array<integer>[100],79
17367,100000,array<integer>[100],68
17078,100000,array<integer>[100],43
17186,100000,array<integer>[100],80
21078,100000,array<integer>[100],76
16724,100000,array<integer>[100],73
16465,100000,array<integer>[100],12
22139,100000,array<integer>[100],56
17168,100000,array<integer>[100],30
15842,100000,array<integer>[100],38
16654,100000,array<integer>[100],70
20717,100000,array<integer>[100],67
17098,100000,array<integer>[100],70
16453,100000,array<integer>[100],66
19109,100000,array<integer>[100],54
16142,100000,array<integer>[100],25
17395,100000,array<integer>[100],82
16535,100000,array<integer>[100],91
18867,100000,array<integer>[100],71
17221,100000,array<integer>[100],63
16585,100000,array<integer>[100],96
20284,100000,array<integer>[100],47
23772,100000,array<integer>[100],13
21248,100000,array<integer>[100],74
19361,100000,array<integer>[100],7
18102,100000,array<integer>[100],39
17192,100000,array<integer>[100],24
20558,100000,array<integer>[100],91
16417,100000,array<integer>[100],5
20932,100000,array<integer>[100],86
17168,100000,array<integer>[100],5
17715,100000,array<integer>[100],1
15860,100000,array<integer>[100],22
21049,100000,array<integer>[100],97
17290,100000,array<integer>[100],76
17831,100000,array<integer>[100],63
22617,100000,array<integer>[100],3
15985,100000,array<integer>[100],94
16049,100000,array<integer>[100],28
19991,100000,array<integer>[100],13
17462,100000,array<integer>[100],82
18859,100000,array<integer>[100],83
16052,100000,array<integer>[100],46
18952,100000,array<integer>[100],84
25343,100000,array<integer>[100],79
22316,100000,array<integer>[100],52
19011,100000,array<integer>[100],11
18211,100000,array<integer>[100],38
16718,100000,array<integer>[100],24
17115,100000,array<integer>[100],9
17304,100000,array<integer>[100],30
17444,100000,array<integer>[100],20
16145,100000,array<integer>[100],12
23747,100000,array<integer>[100],90
16859,100000,array<integer>[100],88
20289,100000,array<integer>[100],36
18093,100000,array<integer>[100],80
16700,100000,array<integer>[100],86
20254,100000,array<integer>[100],35
21186,100000,array<integer>[100],95
17647,100000,array<integer>[100],4
18519,100000,array<integer>[100],63
20480,100000,array<integer>[100],4
23087,100000,array<integer>[100],39
21337,100000,array<integer>[100],21
25735,100000,array<integer>[100],29
16431,100000,array<integer>[100],55
17799,100000,array<integer>[100],88
19126,100000,array<integer>[100],54
17814,100000,array<integer>[100],81
16955,100000,array<integer>[100],90
19322,100000,array<integer>[100],3
18172,100000,array<integer>[100],33
17480,100000,array<integer>[100],35
20702,100000,array<integer>[100],83
17538,100000,array<integer>[100],23
17022,100000,array<integer>[100],36
16498,100000,array<integer>[100],47
18470,100000,array<integer>[100],95
17729,100000,array<integer>[100],12
23711,100000,array<integer>[100],14
23758,100000,array<integer>[100],11
18153,100000,array<integer>[100],68
19377,100000,array<integer>[100],19
22783,100000,array<integer>[100],98
18452,100000,array<integer>[100],45
18747,100000,array<integer>[100],17
17232,100000,array<integer>[100],57
18062,100000,array<integer>[100],7
16384,100000,array<integer>[100],11
16859,100000,array<integer>[100],33
20710,100000,array<integer>[100],19
15965,100000,array<integer>[100],62
18748,100000,array<integer>[100],84
20711,100000,array<integer>[100],35
24100,100000,array<integer>[100],53
22736,100000,array<integer>[100],54
19764,100000,array<integer>[100],100
16788,100000,array<integer>[100],13
19047,100000,array<integer>[100],98
20503,100000,array<integer>[100],60
16997,100000,array<integer>[100],36
16210,100000,array<integer>[100],91
17005,100000,array<integer>[100],68
17325,100000,array<integer>[100],18
18363,100000,array<integer>[100],70
17011,100000,array<integer>[100],64
17811,100000,array<integer>[100],30
17017,100000,array<integer>[100],38
16329,100000,array<integer>[100],100
17369,100000,array<integer>[100],36
16054,100000,array<integer>[100],88
18152,100000,array<integer>[100],44
20471,100000,array<integer>[100],21
25289,100000,array<integer>[100],4
21021,100000,array<integer>[100],60
21352,100000,array<integer>[100],18
25590,100000,array<integer>[100],79
18011,100000,array<integer>[100],37
19243,100000,array<integer>[100],31
17360,100000,array<integer>[100],90
