elapsed.ps,repeats.n,param.a.vector2,param.b.vector2
35413,100000,9.57717736e+37; 2.51061041e+38,5.00290511e+35; -3.14037943e+38
35118,100000,5.55694517e+37; -4.45986457e+37,1.28273726e+38; -1.38351326e+38
35236,100000,2.22061779e+38; 3.55777601e+37,2.52324027e+38; 3.4548088e+37
35899,100000,-2.31619905e+38; 4.23221734e+37,-1.3428418e+37; 1.18561393e+38
35083,100000,-1.14274341e+38; 2.29891864e+38,-2.04263883e+38; 3.35150228e+38
35306,100000,2.56709428e+38; 1.72208002e+38,1.55540627e+38; 1.06364708e+38
35206,100000,-3.15792879e+38; 2.26689576e+38,3.36806084e+38; 7.59050773e+37
35299,100000,4.44202803e+36; 1.20827506e+38,1.08015139e+38; 7.2463193e+37
38424,100000,-1.6502454e+38; 2.63374553e+38,-1.70729211e+38; -1.62050936e+38
35416,100000,1.06301965e+38; -2.99582873e+38,9.28303475e+37; 2.09799622e+38
36798,100000,3.22139508e+38; 1.53715738e+38,1.90427609e+38; -2.67426491e+38
35295,100000,-1.71743899e+38; 3.20236836e+38,2.30648134e+38; -1.82053286e+38
37483,100000,1.07534658e+38; -1.18107209e+38,-1.2053759e+38; -2.67458497e+38
35224,100000,2.907209e+38; -1.49849221e+38,1.12397701e+38; -8.38806633e+37
36237,100000,3.27127455e+37; -1.84919657e+38,-3.67173044e+37; -2.34104277e+38
36377,100000,1.30921098e+38; 1.96295429e+37,-2.7766349e+38; -1.63065006e+38
37826,100000,1.18627149e+38; 3.32962526e+38,2.72877774e+38; 7.58798967e+37
36937,100000,-2.96999725e+38; -1.75676638e+38,8.95469601e+37; -2.66859476e+38
34880,100000,-4.98864879e+37; -1.62730924e+38,-5.66172664e+37; -2.6073715e+38
35012,100000,-2.06964466e+38; -8.465212e+37,5.83114459e+37; 2.42185458e+38
35257,100000,-2.2923731e+38; 5.70496772e+37,-1.22281836e+38; -7.59840824e+37
35087,100000,3.03705333e+38; 1.31147987e+38,1.8709596e+38; -2.40603714e+38
35152,100000,-2.62646921e+38; 2.25832827e+38,-1.30965993e+38; -2.38621839e+38
34814,100000,1.62243436e+38; -2.18418401e+36,2.27347375e+38; 1.15608305e+38
34861,100000,3.08858809e+38; -1.42009715e+38,-4.55412909e+37; 8.18838588e+36
35186,100000,1.38815093e+38; 1.8294845e+38,-1.7916714e+38; -1.0864149e+38
34968,100000,2.39273391e+38; -2.48345754e+38,1.30605159e+38; 7.12382115e+36
35214,100000,-1.6422161e+38; 6.07532858e+37,-2.87156489e+38; 1.94553071e+38
51113,100000,-1.19318181e+38; 1.35044471e+38,2.04664157e+38; -1.98285014e+38
50390,100000,4.16839341e+37; 2.33794727e+38,-3.1475665e+38; -1.20412376e+38
40479,100000,-2.27909867e+38; -3.05920842e+38,-1.78137828e+38; 3.24676371e+38
35294,100000,-2.13350322e+38; -1.76189804e+38,-1.01311062e+38; 2.57041695e+38
35216,100000,3.2498154e+38; -1.51218679e+38,1.56010236e+38; -1.19090997e+38
35157,100000,-1.33780096e+38; 2.94115546e+38,-1.91612284e+38; 3.34821348e+38
35005,100000,1.6607885e+38; -2.16363984e+38,-7.46002592e+37; 3.97395736e+37
37685,100000,2.15067025e+38; -2.33368066e+38,2.99031718e+38; 3.31020105e+37
35080,100000,-9.68456663e+37; 2.77201801e+38,1.92624762e+38; -2.28962544e+38
35050,100000,7.87894641e+37; 3.29499062e+38,2.40912453e+38; 9.94499987e+37
41404,100000,1.93643243e+38; 1.58895926e+38,-2.83230464e+38; 2.29483133e+38
39570,100000,-1.80672135e+38; -1.41518089e+38,1.08160127e+38; 1.33698145e+38
41810,100000,-1.72082271e+38; 1.40548996e+38,-1.33419932e+38; -1.00065671e+38
34915,100000,3.2387694e+38; -8.27941093e+37,-3.27850183e+38; -1.67898699e+38
35041,100000,1.0372188e+38; -2.68359928e+38,1.44148444e+38; -7.62799469e+37
35024,100000,-3.30561576e+38; 1.78811711e+38,-5.09543365e+37; 3.10378063e+38
35117,100000,-2.1822958e+38; 1.69129517e+38,1.02890321e+38; -2.44594299e+38
35142,100000,-2.87969271e+37; -2.46933368e+38,-8.26192344e+37; -7.10631895e+37
