elapsed.ps,repeats.n,param.a.vector2
55454,100000,-5.3524995e+37; -2.65756519e+38
59687,100000,1.91848128e+38; 1.90895686e+38
59779,100000,2.91464351e+38; 2.19620112e+37
57489,100000,1.80380089e+37; -5.7582737e+36
55982,100000,7.95441472e+37; 2.57213385e+38
56569,100000,-3.03001959e+36; 4.38579371e+37
57075,100000,2.97428637e+38; -8.2495826e+37
56881,100000,-1.62400929e+38; 2.35052885e+38
55821,100000,9.77606971e+37; -3.02845298e+38
55694,100000,-1.67675076e+38; 3.20441891e+38
56946,100000,-1.10065467e+38; 2.12446051e+38
56828,100000,-3.16694533e+38; 2.90865187e+36
55942,100000,-1.25015611e+38; -1.40865929e+38
56375,100000,7.36681151e+37; -2.44160737e+37
56290,100000,-4.21328143e+37; 6.95358882e+35
55908,100000,1.33909519e+38; -2.88277006e+37
55478,100000,2.22219414e+38; 1.8281844e+38
55714,100000,2.04715451e+38; 1.71957374e+37
55325,100000,-1.56540689e+37; -2.14835542e+37
55276,100000,-2.56408721e+38; 1.45560566e+38
56384,100000,1.00647219e+38; -5.18664263e+37
59496,100000,1.7881455e+38; 3.32926951e+38
56516,100000,-1.06391866e+38; -9.49692189e+37
58062,100000,3.77926676e+37; 2.07796207e+38
55576,100000,3.29576966e+38; 1.64864109e+37
57884,100000,2.99769268e+38; -1.21406123e+38
55695,100000,2.09916005e+37; 6.13000133e+37
56800,100000,-8.40158659e+37; 7.88704772e+37
57460,100000,1.56842839e+38; 8.26624511e+37
56047,100000,3.02509847e+38; 2.45780982e+38
56587,100000,1.91343137e+38; -1.73729304e+38
56607,100000,3.3087214e+38; 2.99662947e+38
56117,100000,3.32205384e+38; 9.22715469e+37
55917,100000,1.15685976e+38; 1.64476702e+38
56160,100000,-1.53890258e+38; -2.14528223e+38
56450,100000,1.19043212e+38; -2.00289647e+38
56195,100000,-1.23472687e+38; -3.22364176e+38
55620,100000,4.02280577e+37; -2.56411865e+38
56115,100000,2.46081628e+38; 2.77358427e+37
56381,100000,2.04680545e+38; 2.42135645e+38
56296,100000,-2.25197602e+38; -9.74775648e+37
61265,100000,8.95441408e+37; -1.3968174e+38
56343,100000,-3.15833606e+38; 1.91546346e+38
57734,100000,-3.10830422e+38; -8.98287639e+37
56414,100000,7.41829182e+37; -3.40062303e+38
56723,100000,1.22469459e+38; 1.9202497e+38
58128,100000,9.24063843e+37; 1.76423883e+38
55391,100000,-3.0621019e+38; -1.64001658e+38
56436,100000,1.46254214e+38; -9.96139009e+37
57107,100000,-2.56557736e+38; 3.32655836e+38
56471,100000,2.24120586e+38; 2.82896636e+38
59578,100000,-1.6201642e+37; -3.9435231e+37
56140,100000,1.64105351e+38; -4.43369975e+37
55866,100000,-1.61356279e+37; 2.63055044e+38
56258,100000,-3.20709679e+38; -4.62969679e+37
56457,100000,1.11964266e+38; -2.40868359e+38
55999,100000,-1.41924092e+38; -7.39949611e+37
55572,100000,5.46116302e+37; -2.15200301e+38
55769,100000,-1.22232814e+38; -1.85741097e+37
56393,100000,-2.38036854e+38; -5.67224395e+36
55678,100000,-7.50376443e+37; 6.39343738e+37
61962,100000,-1.46465293e+38; 2.65198509e+38
56014,100000,-3.31943782e+38; 5.28253685e+37
56334,100000,-7.98458316e+36; -1.7341805e+38
58561,100000,-1.0963512e+37; -1.63475451e+38
56769,100000,-2.75590851e+38; 9.13463141e+37
57894,100000,-1.24505742e+38; 2.55001061e+38
57606,100000,-2.37915606e+38; 6.40974799e+37
57279,100000,4.47535577e+37; 7.95393657e+37
58372,100000,-3.16745396e+37; -2.88412538e+38
55888,100000,1.20166584e+38; -2.16833334e+37
58846,100000,-2.14755021e+37; 2.99554558e+38
56650,100000,2.59293245e+38; -1.59242339e+38
64650,100000,-1.54891565e+37; 6.68927813e+36
57013,100000,1.77821605e+38; -3.13184013e+38
56553,100000,-1.41578419e+38; -3.31114495e+38
57233,100000,2.69288782e+38; -2.36312839e+37
56669,100000,2.87532119e+38; -5.59328618e+37
55548,100000,-3.97681211e+37; -2.83656724e+37
55479,100000,-2.30894079e+38; 2.53508864e+38
56585,100000,2.38752762e+38; 3.27097929e+38
57022,100000,1.21557328e+38; 9.50068935e+37
56900,100000,9.02499484e+37; -1.93259662e+38
58053,100000,2.55613691e+38; -2.25262303e+38
55586,100000,-2.73655341e+38; 4.95090069e+37
55784,100000,-2.38061923e+38; 2.577373e+38
56704,100000,3.1944716e+38; -2.00448255e+38
55340,100000,-2.07901736e+38; 2.78673087e+38
55497,100000,-3.95908883e+37; 3.07255728e+38
56456,100000,2.17857033e+38; -3.02716971e+38
55884,100000,2.54099326e+38; 8.088341e+37
58527,100000,2.08836167e+38; 2.24336593e+38
55417,100000,-3.14206089e+37; 2.65036047e+38
56601,100000,1.10440428e+38; -3.16492272e+37
56870,100000,1.21578949e+38; 6.86762744e+37
55446,100000,1.41380118e+38; -1.58403682e+38
55516,100000,2.29001002e+36; -1.28360961e+38
56323,100000,-1.1052531e+38; 8.35263905e+37
56114,100000,5.10413582e+37; -3.95676979e+36
55741,100000,-1.82083426e+38; -1.63577857e+38
56384,100000,1.45224122e+38; -7.02789144e+37
57450,100000,5.30256116e+37; 5.88466987e+37
56393,100000,-2.48190167e+38; 1.45698771e+38
55307,100000,3.37841115e+38; -1.19695251e+38
56008,100000,6.1186082e+37; -2.70434758e+38
56533,100000,-1.00780565e+38; 3.12294771e+38
55742,100000,1.12976267e+38; 3.97208479e+37
55620,100000,7.93715135e+37; -5.77983516e+37
56297,100000,1.47914745e+38; 2.81831119e+38
56067,100000,9.58088904e+37; 2.07061659e+38
54954,100000,2.16535512e+38; -1.95547112e+38
56914,100000,1.66253106e+38; 1.66283621e+38
56626,100000,2.17378043e+38; -3.37720415e+38
