elapsed.ps,repeats.n,param.a.vector2,param.b.vector2,param.issigned.boolean
44258,100000,3.3327954e+38; 1.87756842e+38,2.07935304e+38; 9.44053679e+37,false
43038,100000,-1.52650424e+38; -1.64625849e+38,-1.02741296e+38; 3.37258138e+38,true
43000,100000,2.60821383e+38; 1.22607196e+38,-9.62900703e+37; -3.05066202e+38,true
43005,100000,-3.18398844e+38; 2.04210926e+38,-9.68929142e+37; 2.19844526e+38,true
43544,100000,-3.11734221e+37; 2.86438492e+38,2.33813732e+38; 2.90869935e+38,false
48405,100000,1.10122451e+38; -8.10049878e+37,-1.63566722e+38; -2.61981861e+38,false
43094,100000,-7.95856501e+37; -8.78741988e+37,-6.39336601e+36; 1.75087617e+38,true
43487,100000,6.40186776e+37; -2.92227294e+38,3.28164155e+38; 4.75435197e+37,false
47703,100000,1.91225458e+38; -2.83495007e+38,-8.34535665e+37; -2.55565196e+38,false
43499,100000,1.60312558e+37; 2.76432875e+38,2.14597467e+38; -1.79752084e+38,false
43027,100000,2.08237877e+38; 1.73470216e+38,-5.92651096e+37; -1.57739433e+38,false
44991,100000,1.9544211e+38; 3.12954259e+37,3.31665852e+38; -3.11056327e+38,true
44287,100000,2.61157239e+38; -2.77235734e+38,-7.38842648e+37; -4.84606091e+37,false
44412,100000,1.45199904e+38; 2.41793866e+38,-2.08115574e+38; -2.76897444e+38,true
44922,100000,-7.58352805e+37; -1.59158806e+37,-2.75987767e+37; 3.21972848e+38,false
43608,100000,-2.6152573e+38; 4.12146169e+37,4.58643593e+37; 6.87930656e+37,true
43934,100000,-1.59581076e+38; 1.05647025e+38,-1.95095382e+38; -8.01640791e+37,true
60041,100000,-6.43195469e+37; 9.85049702e+37,-2.60525625e+38; 2.04975908e+37,true
48666,100000,1.35463962e+38; 3.03753382e+38,1.34026011e+37; -3.90208493e+36,true
44010,100000,-2.4075926e+38; -2.87842643e+38,-1.08161791e+38; 2.31006646e+38,true
42755,100000,2.67582341e+38; 1.11922433e+38,-2.92774128e+38; 2.31601732e+38,true
47896,100000,2.85059166e+38; 8.2702159e+37,5.23280641e+37; 1.71141269e+38,true
42906,100000,-1.60374362e+38; 1.33527195e+38,1.90255061e+37; 1.07133736e+38,true
42868,100000,-2.81332334e+38; 3.044628e+38,-1.99635823e+38; -1.57027794e+38,true
48166,100000,-2.66733583e+38; 6.81089415e+35,-1.87633241e+38; 2.91430845e+38,true
43529,100000,2.57053844e+38; 1.08986757e+38,-3.17794286e+38; 1.03016427e+38,true
43262,100000,-1.44887302e+38; -2.93169575e+38,2.76566556e+38; 1.88038706e+38,true
47930,100000,-1.41944284e+38; 2.3037562e+38,3.38681476e+38; -2.84061982e+38,false
43432,100000,3.81623627e+37; 9.18786056e+37,1.32942494e+38; -2.20965231e+38,true
43632,100000,4.68098644e+37; -2.85597041e+37,1.36259063e+38; -1.91674348e+38,false
43111,100000,1.83357344e+38; 1.30547253e+38,-8.21847598e+37; -1.58393865e+38,true
46120,100000,-1.07105118e+38; 1.48197868e+38,6.64431051e+37; -2.66370427e+38,false
44355,100000,-2.47248698e+38; 2.7976493e+38,2.78890332e+37; 2.95628776e+38,false
44506,100000,-6.7737138e+37; 2.99958766e+38,9.25817055e+37; 2.06178781e+37,false
47000,100000,7.32267648e+37; -6.69792908e+37,-2.79015576e+38; -2.68674792e+38,true
43609,100000,-2.61800557e+38; -1.33385269e+38,1.88642453e+38; -2.31495473e+38,false
