runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.vector2,param.b.vector2,param.alpha.float
2,3448,58161,50000,Vector2(9.662021719614282e+37;3.7865448524960543e+37),Vector2(-1.3480697458344202e+38;6.386995687900643e+37),-6.601422119416921e+307
2,3440,57658,50000,Vector2(1.7870319985055475e+38;2.0791376390245705e+38),Vector2(2.6972886929969832e+38;-4.1808726711789296e+37),1.3159990898438877e+308
2,3460,57368,50000,Vector2(-1.2954928723634502e+38;2.3044305884200126e+38),Vector2(-3.0179761023053762e+38;2.0443405286362576e+38),-1.8452702058372106e+307
2,3556,59465,50000,Vector2(1.23988246030011e+38;3.1587013420342965e+38),Vector2(-1.3509422420945373e+38;1.5840488883777381e+38),1.2614008765260498e+307
2,3580,58979,50000,Vector2(2.881394356034386e+38;1.755541326530822e+38),Vector2(-3.7931292832437597e+37;1.944743756277526e+38),2.700028425618491e+306
2,3424,57761,50000,Vector2(-1.1711602817243932e+38;-9.213469132386165e+37),Vector2(2.288886758172062e+38;3.297987747625934e+38),6.708484481196845e+307
2,3449,55156,50000,Vector2(-3.2826779763848095e+38;1.7364779911563977e+37),Vector2(-2.6468246381344256e+38;2.463279783722564e+38),-1.5410452699093165e+308
2,3480,58859,50000,Vector2(2.4274308275722057e+38;2.4062464592134796e+38),Vector2(2.8734730609636797e+38;2.821536503163897e+38),4.0498587911649755e+307
2,3465,54598,50000,Vector2(-1.974336780656722e+37;2.4133213693314254e+38),Vector2(-3.0921154082500843e+38;3.3912531630027895e+38),-9.438161440513204e+307
2,3579,58492,50000,Vector2(-1.849853719891418e+38;-8.61602236213716e+37),Vector2(-3.0907506049078546e+38;-3.3899757768459515e+38),5.683253059123785e+307
2,3410,53155,50000,Vector2(2.0213502145264224e+38;2.2668272038389384e+38),Vector2(2.6352488585013335e+38;-2.4741529806869856e+38),1.4047812355549673e+308
