elapsed.ps,repeats.n,param.a.vector2
41792,100000,-2.85219823e+38; -2.75914558e+38
43991,100000,1.88273876e+37; 7.14434124e+36
44995,100000,-1.61229387e+38; -1.80700754e+38
43194,100000,2.95864945e+38; -9.05948001e+37
42953,100000,2.8926012e+38; -1.92347785e+38
44591,100000,7.45011441e+37; -5.66193301e+37
43814,100000,1.55453991e+38; -1.70938437e+37
42531,100000,-2.31601387e+38; -2.90681268e+38
43831,100000,-1.08862152e+38; 2.73830845e+38
45027,100000,-2.02755866e+38; 2.95715362e+38
42890,100000,4.62301019e+37; 1.99731941e+38
42070,100000,-2.5535651e+38; 1.47160524e+38
44026,100000,2.69776066e+38; -7.02546921e+37
42671,100000,-1.85012611e+38; 5.53913113e+36
45491,100000,1.52225407e+38; -3.56048599e+37
43279,100000,4.64505336e+36; 1.25868101e+38
43748,100000,-1.44770759e+38; 2.94505313e+38
44923,100000,1.84722634e+38; -9.32868006e+36
42452,100000,-1.57420269e+38; 2.2465347e+37
43620,100000,-9.1858881e+37; 1.26363367e+38
42319,100000,2.30569459e+38; -7.49194181e+37
45116,100000,-1.49855082e+38; 1.34689834e+38
45505,100000,1.8262022e+38; 9.57644516e+37
42328,100000,-7.88093941e+36; -1.53643766e+37
42831,100000,2.71406833e+38; 1.68277818e+38
43256,100000,1.08948657e+38; -3.18119311e+38
44903,100000,-3.8347853e+37; -2.54136382e+38
43199,100000,3.34747541e+38; -1.84374243e+38
44648,100000,1.45419351e+35; -1.94880146e+38
44032,100000,1.71122223e+38; 7.11410385e+37
42798,100000,-2.61502141e+38; -3.0532105e+38
46201,100000,-1.68795263e+38; -1.2812101e+38
43310,100000,3.23106695e+38; 2.73287601e+38
42217,100000,-3.25915936e+37; 1.9622925e+38
43544,100000,2.96399487e+38; -2.5068678e+37
43430,100000,-3.23308099e+38; 2.07297239e+38
43083,100000,-6.93282778e+37; 3.15244483e+38
43572,100000,-1.27794887e+37; -2.89649076e+38
43640,100000,-1.56823865e+38; -1.86251542e+38
42610,100000,4.93354554e+37; -1.08674124e+38
41850,100000,3.38781205e+38; -1.23020562e+38
44402,100000,-6.90204416e+37; 2.57892055e+38
44327,100000,2.69106078e+38; 3.03066001e+37
42584,100000,2.4455706e+38; 7.49474383e+37
43773,100000,1.77213802e+37; -1.19632244e+38
45001,100000,3.40093538e+38; -1.75103762e+38
42730,100000,-3.3965128e+38; -3.0371803e+38
42459,100000,-2.53942056e+38; -1.31327629e+38
44052,100000,6.03595332e+37; -3.25291922e+38
43933,100000,-4.47456678e+37; 3.1865065e+38
42974,100000,-2.62175781e+38; 5.8853402e+37
43983,100000,2.20350593e+38; 4.36611674e+37
43289,100000,-3.33996524e+38; 2.49822556e+38
42372,100000,-2.51433857e+37; -2.01962053e+38
45752,100000,2.71257108e+38; 3.00141491e+38
43579,100000,9.83437758e+37; -2.2005163e+38
42414,100000,1.80009306e+38; -1.16853148e+38
43878,100000,3.04747996e+37; 2.06818433e+38
43720,100000,-1.68765275e+38; 2.21607311e+38
42303,100000,-2.71631096e+38; 9.40137476e+36
42724,100000,1.67122309e+38; -1.10828643e+38
47137,100000,5.25427737e+37; -3.11857036e+38
43876,100000,7.89570932e+37; 1.85011232e+38
42732,100000,1.36766986e+38; -1.49268018e+38
43508,100000,6.61952844e+37; -3.1844817e+38
47100,100000,2.5023431e+38; 3.41024315e+36
42991,100000,7.99102042e+37; 2.42605122e+38
43546,100000,-1.12183782e+38; -2.95462836e+37
43801,100000,3.10723432e+38; 1.27452025e+37
43665,100000,2.41823215e+37; 2.48471444e+38
43975,100000,-1.2298125e+37; -2.99496462e+36
43613,100000,-8.59781484e+37; -8.42297946e+37
43231,100000,-6.41723423e+37; 2.11386049e+37
42038,100000,-1.66087125e+38; -3.31657151e+38
44133,100000,2.6514545e+38; 3.35096986e+38
43367,100000,-3.14666738e+38; 2.02254181e+38
42120,100000,1.62999473e+38; 7.70274906e+37
45437,100000,6.59058139e+37; 2.53221929e+38
43354,100000,2.66139288e+38; 2.26603578e+38
42769,100000,5.88167162e+37; 2.22397412e+38
42903,100000,1.90670349e+38; 1.57893108e+37
43877,100000,3.16619488e+38; 1.84625359e+38
44455,100000,2.11981137e+38; -2.21354876e+38
42332,100000,6.41761401e+37; -3.39925052e+38
43352,100000,2.34415085e+38; -3.15838717e+38
44649,100000,-2.27105791e+38; -1.88741857e+38
42005,100000,1.50012758e+38; 1.12810245e+38
43991,100000,8.68192295e+37; 2.97305706e+38
44231,100000,1.7687399e+38; 4.83319781e+37
41975,100000,-2.08560692e+38; -9.06850061e+37
45436,100000,-2.49252134e+38; -2.92820778e+38
43477,100000,-3.65480579e+37; -6.12065761e+36
43647,100000,9.10774707e+37; 2.71524938e+38
43628,100000,7.42420617e+37; -2.76503397e+38
43397,100000,-2.62413795e+38; -2.33700779e+38
43204,100000,-2.29982344e+38; -6.74886531e+37
42011,100000,3.07893346e+38; -2.6044417e+38
48441,100000,-8.48444074e+37; -1.2216722e+38
43595,100000,-5.9778162e+36; -1.03659156e+38
41931,100000,-1.26297114e+38; -1.74340251e+38
42415,100000,-1.75666862e+38; 2.1744745e+38
44091,100000,-8.45434012e+37; -1.82762511e+37
42270,100000,2.45286791e+37; 8.41085311e+37
43089,100000,6.17441575e+37; 6.13723556e+37
43549,100000,-3.11108757e+38; -1.55009208e+38
41741,100000,1.31724048e+38; 1.68311538e+38
42534,100000,1.94442958e+38; 4.96361827e+37
43067,100000,4.51445264e+37; 1.21310613e+38
41685,100000,1.12693074e+38; -3.8568485e+37
42329,100000,2.89200226e+38; -9.97748621e+37
43105,100000,-7.15696666e+37; -2.8347006e+38
44376,100000,-3.09337596e+38; 2.29840037e+37
42255,100000,3.65299051e+37; 3.18907344e+38
43167,100000,2.33361718e+38; -3.99732162e+36
44874,100000,-5.03566747e+37; -3.10390598e+38
42224,100000,2.47393251e+38; -1.38879398e+38
43098,100000,9.67421956e+37; 2.65221023e+38
43914,100000,-1.50187653e+38; 1.74451175e+38
42078,100000,1.52600793e+38; 5.41024605e+37
42674,100000,5.87059996e+37; 2.78247055e+38
42064,100000,-6.33861504e+37; 7.62282978e+37
43294,100000,-1.68601343e+38; 5.3310615e+37
42120,100000,2.78431382e+38; 2.61118277e+38
42430,100000,3.01621011e+38; 9.91991661e+37
43060,100000,-2.84323077e+38; 6.06572435e+37
41962,100000,-2.23566125e+38; -1.36161576e+38
42674,100000,-6.15126186e+37; 2.64203353e+38
43117,100000,1.40358179e+38; -3.26704409e+38
41873,100000,8.65572721e+37; -2.55626774e+38
42685,100000,1.61169878e+38; -2.39168876e+38
43862,100000,3.35342485e+38; -2.59800853e+38
44296,100000,-3.37448448e+38; -2.36207908e+38
42100,100000,2.26759205e+38; 3.2304958e+38
45296,100000,-1.4300555e+38; -9.09666882e+37
44612,100000,-9.47004668e+37; 4.05583517e+37
42706,100000,-2.18533532e+38; 3.34061042e+38
43337,100000,1.55646177e+38; 5.72171389e+37
47379,100000,-1.98898192e+38; 2.9187077e+38
42003,100000,-8.22885195e+37; -3.23797129e+38
43170,100000,-2.46841062e+38; 1.30830852e+38
42837,100000,-1.85243445e+38; -1.60012787e+38
49833,100000,3.55098368e+37; -2.12151611e+38
42917,100000,-1.08003588e+38; -1.90982556e+38
42360,100000,-1.58124099e+38; -3.30496956e+38
49248,100000,-3.76813273e+37; 1.94317511e+38
43020,100000,-2.35178474e+38; 3.21464084e+38
43432,100000,2.76534246e+38; -5.50789774e+37
46092,100000,-1.74691704e+38; 7.6955483e+37
42558,100000,-3.3383824e+38; -1.90721316e+37
43657,100000,1.41130685e+38; 9.86100838e+37
43850,100000,3.38406163e+38; 5.89422593e+37
43621,100000,-2.18318072e+38; -1.92586124e+38
42450,100000,-2.02599793e+38; 1.81280716e+37
47690,100000,-9.49779099e+37; 7.56934405e+37
43324,100000,6.94535724e+37; -1.85548554e+38
41843,100000,2.8480519e+37; 3.32215525e+38
46330,100000,-3.31537667e+38; 2.04243155e+38
43569,100000,-3.16160629e+37; 2.97680585e+38
41728,100000,1.91545251e+38; -8.28003639e+36
43492,100000,7.67611725e+37; -1.84157485e+38
44315,100000,1.9897705e+38; 9.36147393e+37
45024,100000,1.24571284e+38; -1.85263472e+37
