runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.integer
1,4055,116653,50000,-436043224734784
1,3944,126327,50000,6948714921565848
1,3895,117770,50000,2720726498799943
1,4066,116873,50000,-4060925163103190
1,3885,117637,50000,-8870717850851856
1,3885,113192,50000,692752290293155
1,4042,117387,50000,-7122240625576775
1,3886,119360,50000,8740311764635666
1,4867,119314,50000,-8426868319371365
1,3999,117210,50000,-8779851982076547
1,4089,117740,50000,7658107958893987
1,3900,119369,50000,-5901143290963097
1,4006,117353,50000,1947259199107829
1,3900,119016,50000,5501839936551140
1,3886,116496,50000,-1812237717944498
1,4003,116594,50000,2451996357890687
1,3896,118732,50000,4874371619095524
1,3886,117872,50000,3039025135577240
1,4453,117434,50000,2550404298291613
1,3931,120679,50000,-6736243813101981
1,3901,119265,50000,3264089819752514
1,4058,122542,50000,1382609557321891
1,3885,117745,50000,6604042256841985
1,3904,118394,50000,-2955705059919936
1,4018,119417,50000,3276150477187687
1,3887,117026,50000,8247193603114523
1,3886,117078,50000,2669307443147806
1,5069,118802,50000,-2890804717913844
1,3886,116693,50000,7104472598651010
1,4872,119234,50000,3617545154054197
1,5120,118927,50000,-8180571387975379
1,4856,120051,50000,4327710857732318
1,3901,116916,50000,2549826468514660
1,4013,117248,50000,-2296429650258812
1,3948,118132,50000,-4565725672432267
1,3885,117363,50000,-268773936624321
1,3994,116189,50000,7378604160205260
1,3885,118761,50000,8378935213832671
1,3886,118122,50000,4823226218071406
1,4097,116653,50000,1607999601275637
1,3886,117057,50000,1712209255207976
1,3893,116985,50000,1368254489801235
1,3987,111841,50000,196310851394619
1,3885,116340,50000,-3560169735083464
1,3981,117012,50000,4108053429829038
1,4132,118072,50000,3869376096876376
1,4857,117469,50000,4766706144212391
1,4061,120019,50000,-5533458725163680
1,4040,117335,50000,4777517657215170
1,3958,109509,50000,472799010162520
1,4213,119860,50000,-3735357448104418
1,4000,120427,50000,-8184235681081214
1,3886,118811,50000,-4358544761440774
1,3885,116772,50000,8130893680888181
1,4097,120752,50000,-657730263323924
1,3897,111974,50000,288298482378279
1,3885,118613,50000,-5091629306775013
1,4000,119130,50000,5572066367961135
1,3885,117371,50000,-5648281604435959
1,3885,118540,50000,6899514084460131
1,4061,117768,50000,3542876995383833
1,3885,117495,50000,1484764711172885
1,4926,118236,50000,-6487712901148819
1,4095,117372,50000,-6931265059196279
1,3886,121255,50000,-7178131736463942
1,3885,116372,50000,6848881024510892
1,4022,117639,50000,6424195216793552
1,3886,127319,50000,7655935708100876
1,3912,117454,50000,-3633386496920895
1,4390,116798,50000,8583422560124984
1,3886,119095,50000,-421559230217587
1,4957,122517,50000,2381811755076237
1,3999,117963,50000,5015909502477257
1,3886,117980,50000,-7826470107348661
1,4864,119913,50000,-689965777324096
1,3993,118586,50000,8479017582170886
1,3886,123440,50000,4822296107975099
1,3920,116309,50000,7483475600584468
1,4023,119047,50000,-705982115444378
1,3886,117339,50000,7377805155785782
1,3901,118997,50000,1873790893487601
1,4012,117150,50000,-7608129029898567
1,3886,118673,50000,2429144446138530
1,3900,118308,50000,-6582023516831543
1,3886,117355,50000,-3553602626721552
1,3975,116563,50000,-3818520013370125
1,3896,117711,50000,-972289839131465
1,3886,117733,50000,-3984919738204550
1,3896,115966,50000,-76147470379720
1,4872,117072,50000,-4986658183893237
1,3885,117400,50000,-3226023956222469
1,3885,116968,50000,-1245018036790592
1,3900,117279,50000,-5291113908907948
1,3885,119365,50000,-5857056677239974
1,3886,116721,50000,-8423838342297945
1,3911,116622,50000,3548187667262853
1,3888,114888,50000,68193843283983
1,4855,117514,50000,-3523792640787231
1,3902,116756,50000,4585684422755177
1,3897,111049,50000,528138791139350
1,3888,117161,50000,-1599643445165571
1,3885,117749,50000,-7223673492537812
1,3918,116911,50000,8076514396867158
1,3896,129038,50000,8473961836350626
1,4876,120495,50000,3377549215702517
1,3886,118191,50000,-3115689708560921
1,4857,123544,50000,-2582443773370412
1,3895,116357,50000,-7135263756950310
1,3888,119259,50000,2328952490089623
1,3910,117134,50000,7475045718484191
1,3901,117082,50000,1398363520331169
1,3885,117531,50000,3615731634468276
1,3885,119318,50000,6125584739241544
1,4574,116107,50000,-5002887476030738
1,3888,117038,50000,5829925016474120
1,4868,114817,50000,773361360095301
1,4866,118677,50000,5636404642656108
1,3885,116047,50000,2768173217760427
1,3924,117422,50000,-7220780167659161
1,3900,116671,50000,7500904429016859
1,3886,118074,50000,8371579103768174
1,4289,118314,50000,5013917998258850
1,3902,117293,50000,-6714656317970965
1,3885,117739,50000,5770579038237926
1,3886,118497,50000,-6835607539317912
1,3897,117520,50000,3483770374909310
1,3886,117858,50000,4285777277423365
1,3893,117385,50000,5200386713719094
1,3886,118186,50000,-8414036655707103
1,3897,118442,50000,-3919176704525658
1,3886,119242,50000,4426224608751430
1,3949,118175,50000,5991126288935567
1,3899,118506,50000,-1707760016999021
1,3887,117401,50000,-5318634416591557
1,3886,130335,50000,-4518850602667504
1,3897,117562,50000,-6055943638502189
1,3886,121108,50000,6432558809014618
1,3905,113108,50000,351713693622739
1,3935,116720,50000,7601542699314378
1,3886,118169,50000,6229911085323307
1,4140,115420,50000,-6152899385014954
1,3885,119574,50000,-3633913445328999
1,3910,131134,50000,-784815494583076
1,4597,115632,50000,4655589471982710
