runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.integer
1,3456,128164,50000,-312663015865126
1,3315,126926,50000,-4138637942436809
1,3295,129639,50000,3491019734857866
1,3258,126549,50000,8716095164518055
1,3283,137981,50000,8397024849507704
1,3284,134076,50000,5972215377643625
1,3732,141945,50000,4624620508390530
1,3270,139428,50000,-791612927511642
1,3280,125430,50000,-5547495282045094
1,3282,129201,50000,6507356070010068
1,3347,125795,50000,4636428301180605
1,3341,123883,50000,-7420670469526168
1,3248,127963,50000,3133041374498692
1,3329,135338,50000,-7555949181991671
1,3333,136573,50000,5888166149987627
1,3291,132256,50000,-2225093923263601
1,3308,127366,50000,2139906992278084
1,3332,135035,50000,2921399449705211
1,3282,137650,50000,6737350983868455
1,3272,127049,50000,-8282113981678102
1,3372,124488,50000,-2743030830250644
1,3334,127288,50000,7482361230714739
1,3343,129960,50000,6700087118248652
1,3344,133483,50000,-3725935629101790
1,3298,133055,50000,-2677739423379603
1,3287,123829,50000,-5754225156045309
1,3344,124819,50000,-7023796858122264
1,3277,124967,50000,-2886791054703453
1,3264,127056,50000,2503119323271268
1,3320,124537,50000,589486318672898
1,3294,130206,50000,-820447695152266
1,3281,132739,50000,7405386517383520
1,3250,124969,50000,-6783993761452594
1,3369,124203,50000,-4099975544764563
1,3311,123874,50000,-5844121055342437
1,3344,126316,50000,-2388994317990868
1,3348,125938,50000,-6406383339915665
1,3352,127354,50000,8728212692292494
1,3464,128215,50000,1509994558059325
1,3270,126800,50000,5105884260928712
1,3282,125103,50000,-2473070672535777
1,3286,132024,50000,-5414228204086493
1,3381,146540,50000,121120376909655
1,3332,148566,50000,1084978142080021
1,3440,131883,50000,7224409408394638
1,3246,141155,50000,1340466458504546
1,3260,128079,50000,-8458274650111686
1,3280,127762,50000,6025060582721757
1,3289,130446,50000,-1488570413350054
1,3298,143544,50000,-4609211227376717
1,3269,128852,50000,-1210486020296748
1,3328,126104,50000,-5008151320228051
1,3247,131675,50000,7234825548456723
1,3271,131107,50000,1276055640123688
1,3370,141063,50000,7555553442827695
1,3261,131557,50000,2881274858377061
1,3254,133229,50000,2912445812287446
1,3270,128558,50000,8642126824899682
1,3343,128876,50000,-6554518039220002
1,3333,131246,50000,1059445556184493
1,3263,126351,50000,-7405898205858217
1,3295,127579,50000,-6910443467642331
1,3337,125030,50000,-7575925216179493
1,3857,127728,50000,1703155222257843
1,3253,131150,50000,-4259256616623781
1,3272,134454,50000,1867498263588037
1,3281,128479,50000,-711265918161125
1,3285,129112,50000,2299017920942133
1,3600,130204,50000,4814656147101807
1,3295,130344,50000,5975771846843814
1,3263,146285,50000,-4166058278130103
1,3416,141668,50000,5996088528377797
1,3281,128667,50000,4386852204780018
1,3274,128595,50000,4103519766828178
1,3272,125760,50000,-1375877583767611
1,3298,125323,50000,-8241910464790675
1,3263,131108,50000,840472507909362
1,3343,135470,50000,-7598186456095101
1,3318,134515,50000,-1188659760020234
1,3957,136206,50000,7030216343929604
1,3292,130810,50000,-5236283192954956
1,3325,129894,50000,-2799546386097976
1,3294,130831,50000,-2181831916570207
1,3308,132522,50000,7912373419599097
1,3272,125324,50000,776616040612741
1,3316,131799,50000,1488728817192351
1,3376,129819,50000,3258820493098719
1,3248,128343,50000,-6136466488536133
1,3303,140437,50000,-8861960958835126
1,3277,144744,50000,-269158547922476
1,3274,127250,50000,-8516773550779704
1,3325,129657,50000,-2821868876088972
1,3283,129295,50000,-440044011777357
1,3251,127928,50000,5565309898347711
1,3297,124146,50000,-2812245211749071
1,3301,128475,50000,4052137135949691
1,3354,126451,50000,-1993226414952190
1,3350,126250,50000,-3365353936647594
1,3274,128040,50000,3260233170564421
