runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.integer
1,3279,84994,50000,-5777596577491587
1,3734,80548,50000,-4703394058075404
1,3282,91749,50000,-5404321119284804
1,3361,92371,50000,-973522918721713
1,3271,84602,50000,-3087594169857749
1,4069,82475,50000,5273979170564561
1,3661,77543,50000,4522520629353003
1,3280,79774,50000,7344395256821629
1,3346,81922,50000,-7616999272965083
1,3281,79838,50000,-7809086857583825
1,3319,81476,50000,-4516225934616683
1,3294,80649,50000,-4825031811790733
1,3296,79701,50000,4015036780220692
1,3326,88483,50000,-2806837127205011
1,3389,81329,50000,6822399151368365
1,3931,80795,50000,1786290287659722
1,3671,81212,50000,-5101964671608244
1,3352,86944,50000,-3651599329839134
1,3276,79761,50000,3070447589294349
1,3259,79397,50000,5019957742123347
1,3354,88623,50000,-715154839687711
1,3794,82951,50000,-7006388122020404
1,3407,81109,50000,-2188650734687206
1,3273,79217,50000,1976070247431769
1,3329,75669,50000,198430206657637
1,3314,85626,50000,-6327554023574345
1,3275,78897,50000,6081521779783583
1,3314,90891,50000,3479285756698043
1,3271,82609,50000,-1322335390984783
1,3272,82776,50000,5256489700856356
1,3249,86443,50000,-850876281191092
1,3349,81635,50000,5893263224403178
1,3307,84849,50000,6490771541550499
1,3260,83120,50000,-6281858046804829
1,3273,85912,50000,7068651978679251
1,3273,82310,50000,3207660406733109
1,3328,81303,50000,-5476135415411380
1,3293,82816,50000,-2612935919228828
1,3270,79944,50000,6093098564746272
1,3330,90110,50000,3863913261174988
1,3273,78564,50000,1368273750825336
1,3295,79298,50000,3140459393660991
1,3292,78628,50000,7297069839665557
1,3274,85942,50000,-248404734307809
1,3379,83551,50000,8359870457138952
1,3339,80589,50000,1579254208377947
1,3297,79772,50000,-7255151367923902
1,3318,85432,50000,1614048365709651
1,3375,91655,50000,6081584556592259
1,3260,85916,50000,-131357998056447
1,3322,83144,50000,-6513762369686059
1,3323,84991,50000,-2545633493985081
1,3333,84231,50000,-3312556216171462
1,3272,80089,50000,-2490842265738335
1,3274,80160,50000,-4951256945783091
1,3273,83342,50000,-1141002963644989
1,3291,80249,50000,-8810045218966962
1,3695,79012,50000,2641681471682195
1,3275,79928,50000,4739636593515994
1,3263,80289,50000,-8429378273020631
1,3272,80380,50000,-2210063902264272
1,3303,80793,50000,-3807992386465448
1,3306,78866,50000,-4833212924771866
1,3318,81785,50000,-2993247360326659
1,3379,96377,50000,-6904212064601332
1,3380,80749,50000,8129456472657424
1,3251,78857,50000,7335178663232362
1,3252,82638,50000,-7261755340539085
1,3309,96532,50000,266228373707734
1,3305,98631,50000,6597900450069089
1,3291,89729,50000,6785195725923328
1,3346,79846,50000,3561407698196338
1,3250,81602,50000,5769934279732906
1,3280,87431,50000,-2094712416036119
1,3295,84763,50000,-5758071372032166
1,3428,84528,50000,2778177278516834
1,3318,85470,50000,6302570875003332
1,3294,88362,50000,-554915191772621
1,3307,86914,50000,-4640328994187729
1,3273,81152,50000,6864884386476432
1,3272,82443,50000,2679407307523237
1,3294,80555,50000,-3957820314513528
1,3260,79569,50000,1648444878981604
1,3295,80864,50000,5714157947503066
1,3250,79595,50000,8300749569894510
1,3270,80586,50000,-8640345322615195
1,3283,80859,50000,-4578189513619401
1,3272,86103,50000,2427568504096326
1,3316,90017,50000,-7210207925019452
1,3304,100215,50000,7276935045457823
1,3369,87346,50000,7770957057953840
1,3378,86624,50000,-7126348478799792
1,3724,82808,50000,7100683463826407
1,3338,84367,50000,8300993105716674
1,3427,89179,50000,-3512266921387046
1,3493,89711,50000,7648859103322359
1,3433,88840,50000,1784047284262003
1,3458,90955,50000,-7840456954531662
1,3387,88223,50000,799694325074034
1,3375,90244,50000,-4459442792660409
1,3400,89013,50000,-4862356262675276
1,3462,89391,50000,8596599182253684
1,3420,92375,50000,-3008979759754955
1,3495,100899,50000,7939809211089342
1,3566,84214,50000,62572017754983
1,3436,87089,50000,7400447144587321
1,3460,90593,50000,-7175843866837261
1,3436,84581,50000,-6508798192840102
1,3441,88437,50000,2799090655021493
1,3460,92935,50000,-2144362991794166
1,3501,90772,50000,-7564374647711871
1,3514,97406,50000,-438620215595657
1,3732,88910,50000,-2405415740520317
1,3466,90134,50000,-6693215048830422
1,3363,90317,50000,3796565237572815
1,3539,89165,50000,-2225873470126916
1,3415,86727,50000,-7174174791191035
1,3447,87513,50000,-7618436250287582
1,3387,83354,50000,5356832396665788
1,3412,81377,50000,984949103777742
1,3401,84771,50000,5191548548125274
1,3412,84957,50000,-1261770735469404
1,3535,92385,50000,2773531092711191
1,3867,83853,50000,4544473430510886
1,3420,80968,50000,843304405321931
1,3404,85035,50000,-3778152081708916
1,3418,89324,50000,-7619755745151622
1,3385,88156,50000,-6379542275797022
1,3397,84912,50000,7389469576120564
1,3394,80650,50000,522641244187682
1,3422,86246,50000,-3203270492803266
1,3552,86468,50000,7070661483929996
1,3931,83567,50000,-8942802909921978
1,3403,83049,50000,5633952759826946
1,3465,89738,50000,-1919928199308517
1,3492,87298,50000,263932596817387
1,3513,85613,50000,7402018584967381
1,3434,95096,50000,1612946932113997
1,3423,88074,50000,3777235381789051
1,3426,83383,50000,8817141570627096
1,3368,83358,50000,6129721474464398
1,3450,85097,50000,-4661244470027166
1,3392,90638,50000,-7605006582042663
1,3357,87221,50000,-5376834851088112
1,3495,83452,50000,3483897524562390
1,3376,86902,50000,7512150504227289
1,3393,86080,50000,-6655622912911016
1,3344,84961,50000,4634413331274398
1,3385,84620,50000,2141980418291532
1,3350,80998,50000,-4287820446343676
1,3362,83834,50000,-1766394915129738
1,3491,80882,50000,4472955879817629
1,3407,82602,50000,5410166659723343
1,3376,83795,50000,5927665461303112
1,3329,84200,50000,-2962343977612630
1,3342,80846,50000,4670954455581926
1,3364,82058,50000,-6710111966845817
1,3320,80282,50000,3338411771864731
1,3368,81694,50000,-7909658554257607
1,3505,84670,50000,5894410037206884
1,5326,85072,50000,199542765152530
1,3376,91380,50000,4221299333609347
1,3734,90953,50000,8511851291390294
1,3397,93466,50000,3292477499727646
1,3434,90727,50000,-4978701943499823
1,3317,89636,50000,8132603017479905
1,3303,83309,50000,6599790398786332
1,3340,83956,50000,-5317469511146002
1,3299,85090,50000,3364878453069693
1,3519,87975,50000,-2401847691487244
1,3431,85836,50000,-1586928548067524
1,3340,82536,50000,-5277292118568448
1,3392,80436,50000,3499179270881083
1,3337,90245,50000,8795070153535356
1,3645,84787,50000,7140168580158574
1,3272,85833,50000,-8743583904331417
1,3784,80050,50000,1870110237905907
1,3341,90424,50000,-5117711269693458
1,3351,91833,50000,7195689401856945
1,3497,93861,50000,-4263816325111749
1,3366,104639,50000,421721614168367
1,3320,81354,50000,6231471189758580
1,3409,95360,50000,-1480834493615073
1,3463,88676,50000,5053650250436359
1,3376,90372,50000,-727560866976214
1,3343,81950,50000,6790049404095096
1,3502,93717,50000,7991388132147560
1,3317,82089,50000,-8205381029163621
1,3449,83869,50000,3331744144828140
1,3392,93266,50000,-4925168712731581
1,3342,88049,50000,-8104818136975963
1,3337,85086,50000,-1486390031703280
1,3312,87444,50000,6626518800930548
1,3529,83714,50000,-1233205530173821
1,3269,78900,50000,1651295870170371
1,3312,85226,50000,171675141654460
1,3763,88300,50000,-366768469556792
1,3554,85912,50000,-4731766267588093
1,3269,84439,50000,4976672656260524
1,3775,87440,50000,459131543750526
1,3420,112176,50000,2270688897002072
1,3768,84398,50000,-8245363911270064
1,3664,81741,50000,5272161276446374
1,3363,85636,50000,5054037130143012
1,3285,82011,50000,269068197566272
1,3380,83561,50000,4102207860103952
1,3417,81169,50000,-6530590357810590
1,3362,83628,50000,-4692651983893982
1,3595,82680,50000,1086268607231476
1,3351,91070,50000,3895783525381068
1,3441,85966,50000,-5651403748430319
1,3645,93044,50000,-2408932742724525
1,3405,103985,50000,86796104473135
1,3363,79251,50000,878401171199748
1,3405,84404,50000,7126687232275337
1,3326,83972,50000,6897109400161639
1,3463,82535,50000,-2666001549987937
1,3452,78433,50000,8865929903705
1,3339,85402,50000,-5537034396381889
1,3372,84889,50000,-2888327069984380
1,3694,81498,50000,1399005546205410
1,3902,99759,50000,-3465873793288390
1,3362,101858,50000,7930547473977812
1,3489,99243,50000,4152073023569144
1,3366,104056,50000,-3850226705132729
1,3388,100191,50000,4105756745225839
1,3494,100753,50000,3981746083018260
1,3458,85275,50000,7761819625960430
1,3292,85374,50000,-8125223844263101
1,3400,80064,50000,-2666710116977951
1,3257,80006,50000,2071680483017130
1,3303,86570,50000,-4234828474633187
1,3546,82814,50000,6002008187569210
1,3270,83605,50000,-1140816501069168
1,3259,90024,50000,3718782399998644
1,3427,107389,50000,-896276029956999
1,3342,104005,50000,-3895491829556333
1,3299,79076,50000,5036538794262138
1,3723,99974,50000,-5845414985339923
1,3271,82689,50000,-1997920784245523
1,3259,79250,50000,3758212151951470
1,3809,87779,50000,-340628445833532
1,3317,85199,50000,-8271356341939185
1,3319,87989,50000,-939048986597965
1,3423,83723,50000,-7377552041577243
1,3324,91492,50000,3638466836955496
1,3272,81021,50000,-1663838443873785
1,3368,86059,50000,7321487458239498
1,3425,79849,50000,-4183899377814002
1,3338,89074,50000,-8944020091574716
1,3674,88321,50000,-2791701936441325
1,3325,87202,50000,-8903722511756346
1,3248,88005,50000,-7718300069895603
1,3352,84715,50000,-6661256661097470
1,3307,87262,50000,-2076007389344700
1,3271,81324,50000,-8848177148130638
