runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.v.integer,param.field.integer,param.width.integer
2,3727,28773,250000,124449014,2778030638,15,1
2,3781,30132,250000,2151064450,11427967,1,10
2,3644,29864,250000,2826067038,1601584285,11,5
2,3679,30874,250000,1617386252,3984707779,5,6
2,3813,35420,250000,1017313876,2587964990,15,2
2,3853,31568,250000,1301050152,2253511616,13,15
2,3593,29655,250000,2151318058,1322400911,9,5
2,3779,29545,250000,2248337933,3452508369,13,6
2,3639,28238,250000,3732582770,36444002,13,9
2,3687,28867,250000,2873590932,2882350868,11,2
2,3801,43683,250000,1628441216,2955735222,9,10
2,3663,31668,250000,523530848,2632805407,10,6
2,3687,30698,250000,1033323183,80333449,2,4
2,3864,27984,250000,933874423,1876347463,11,2
2,3720,31015,250000,1941389536,1233895776,14,13
2,3636,34790,250000,1978813214,3532298933,14,7
2,3831,29760,250000,4273570883,1105475443,8,3
2,3735,29585,250000,1557432845,762410534,0,7
2,3650,34136,250000,1386817143,239037991,3,4
2,3989,29837,250000,503426967,1335001401,5,14
2,3682,27827,250000,4219297455,3827405145,4,13
2,3557,28662,250000,2374864407,4049070239,11,9
2,3731,29289,250000,148455858,2894050840,10,16
2,3793,28197,250000,3193012735,2769400573,9,10
2,3586,28658,250000,1258587316,3252450642,8,4
2,3728,29923,250000,927812409,2541187374,14,10
2,3755,31347,250000,3525817214,1449797190,4,6
2,3681,30593,250000,1479538435,3758252392,13,9
2,3661,28744,250000,1275975569,3335719419,1,16
2,3668,29701,250000,1147203508,44976499,15,10
2,3740,29968,250000,3105523394,3230183173,3,11
2,3791,29907,250000,473410958,3524436598,12,3
2,3793,29248,250000,718993664,3192282673,9,4
2,3760,27946,250000,2317451212,2788113177,11,5
2,3797,30284,250000,2142882866,2541116879,9,14
2,3679,31562,250000,153148075,3051498670,6,9
2,3759,37463,250000,1500486407,33023832,6,15
2,3794,32142,250000,118415722,2155914299,14,15
2,3839,29685,250000,341466331,1442949405,4,1
2,3836,31237,250000,3573042021,2886523619,15,8
2,3779,31598,250000,239945191,2007416601,1,11
2,3807,31961,250000,4169467078,4261919114,12,13
2,3662,29282,250000,3375238784,2913560366,13,9
2,3774,28075,250000,89777052,3511245662,13,9
2,3783,29866,250000,2490160012,3198703523,5,12
2,3697,29504,250000,2854793301,198438098,15,12
2,3898,30314,250000,984723099,1466109909,8,1
2,3699,29417,250000,602868333,3773213227,6,6
2,3649,28840,250000,3563487626,2939410672,7,9
2,3725,30993,250000,1697066242,2870658442,11,2
2,3743,30729,250000,353812918,244427997,13,4
2,3889,29786,250000,840467961,2769900884,2,2
2,3865,31135,250000,99099977,1318906437,15,3
2,3849,29410,250000,1099600858,1627988422,10,5
2,4115,29906,250000,4092997755,859323777,3,15
2,3946,30548,250000,3180195693,2412889635,8,2
2,3690,28478,250000,1066354793,4195656487,4,16
2,3713,31460,250000,1690428206,3870620512,12,2
2,3749,28842,250000,815603008,557611917,0,2
2,3729,30617,250000,3245342572,1267564072,7,6
2,3791,31613,250000,975223811,3717790642,1,2
2,3770,34907,250000,2284130044,1407026335,7,2
2,3846,27689,250000,512275618,1002096005,10,14
2,3745,33756,250000,173552789,1018211351,2,6
2,3731,35973,250000,2142452314,1049547675,14,13
2,3702,34971,250000,725169774,3027670392,1,15
2,3650,30914,250000,2939951110,2990294914,14,5
2,3877,32549,250000,1299495794,593472471,8,7
2,3670,27651,250000,3863744960,4097507094,4,7
2,3673,29541,250000,3095905016,3744122089,9,7
2,3785,28915,250000,523004303,2231633026,6,2
2,3760,32528,250000,4077159267,1177086422,3,4
2,3650,35472,250000,2912541187,4007388218,6,16
2,3769,34508,250000,464373324,1369642457,2,8
2,3645,28294,250000,1299017644,3910496135,10,5
2,3692,30194,250000,3581704981,1568864230,4,16
2,3856,36413,250000,667873069,2756967987,11,12
2,3633,29392,250000,4065745330,1157981182,15,14
2,3639,38115,250000,3171291213,119607059,12,14
2,3748,27769,250000,914686309,3811457057,12,1
2,3665,29238,250000,2157709957,2376073923,0,4
2,3743,29837,250000,1072155560,1468867609,10,1
2,3688,29430,250000,36349750,1888349969,10,3
2,3632,31850,250000,2556944988,183114461,15,14
2,3796,32018,250000,2963399467,2691887935,11,16
2,3755,31074,250000,237051473,3683977938,15,15
2,3646,30783,250000,727905423,3543605806,8,4
2,3804,27638,250000,2874426835,1927515451,8,15
2,3733,28313,250000,285580202,3476856443,1,16
3,3608,33934,250000,3989763283,2810502382,2,8
3,3629,33917,250000,1820837703,3295201103,1,3
3,3543,35564,250000,2434544484,3655841544,7,7
3,3660,32452,250000,3132036903,3363207219,15,1
3,3630,31927,250000,414825415,4061101524,9,6
3,3611,31472,250000,64770688,1418908531,1,3
3,3626,31973,250000,3955934592,412550632,7,6
3,3658,32780,250000,2319324804,535339190,11,6
3,3570,33167,250000,3681011794,1767845460,9,2
3,3603,33032,250000,2810761886,297197135,2,7
3,3717,33494,250000,2369550799,3244675657,8,11
3,3811,32348,250000,329501426,4050878796,7,9
3,3804,31438,250000,1372042480,1461568555,9,13
3,3666,31899,250000,4080355661,3555895863,0,3
3,3607,33305,250000,2816672290,183544226,12,15
3,3491,31827,250000,4228402862,4096494713,14,3
3,3674,32723,250000,2032920560,2732840607,14,10
3,3586,31424,250000,2712996174,3531920161,12,2
3,3487,32332,250000,2238489957,2598782787,3,16
3,3664,33900,250000,3946807518,144577170,14,4
