elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
62981,100000,4598914476822156,2115260512275323,1876145013275557
62303,100000,6217444409892144,1641487682509083,5113439937140797
62676,100000,202074266741111,6139270104126510,8662040025339604
62808,100000,3360259948233437,8902267680322355,3346698878509926
62863,100000,1914489111883828,6852793209017672,962040666980930
63383,100000,6464410774355117,482497249269862,8829673069964779
70620,100000,4555366283474922,8059366625246199,5677058175252663
62923,100000,2766305583318256,7934531850103443,3085482957915070
65314,100000,6398185447604414,5144432731756139,4666437417701641
63212,100000,8979791019540082,5041648766044405,2344363560457586
63166,100000,6855708357504295,3533673522592978,4151072662808721
65929,100000,499898532737915,2755536657013522,2426452686482131
62974,100000,2010817865956778,8865675398319762,2354783718185847
70424,100000,3782015771915825,4623407730744041,2394662475932750
62568,100000,6594905905366030,2913823241145008,7661764848466812
72354,100000,8307062101834265,4686013263050090,5480961003761379
64766,100000,3968133186113602,2054188847381561,3720824407382863
62978,100000,5513907607738628,8340070611436786,7425860000876285
63392,100000,4216955238552193,3201511164338251,4083591974363809
63246,100000,4380827817380912,4474162498272878,6096009628247392
63124,100000,2141068546504240,289712512095205,3975145520006804
62719,100000,3514373506606353,8116431491978443,1597809932929846
63045,100000,6822222841033610,1966596893266051,6789894191929186
63152,100000,1455372248080437,3828301551848440,2204744310913846
63590,100000,8300632052150986,1204023182509012,8123313046739514
64882,100000,6352936687161138,4008899182549524,8360874324591055
66301,100000,6221899348124261,3461667307618323,2328597578385311
66688,100000,6985405427596201,7667826309431244,649558354165475
62560,100000,8177452239128051,1724329293468211,4966032707159637
67062,100000,2580193918449470,838384582867999,4600249068138038
63493,100000,7539926156043178,4649553483462594,2114781692578769
63453,100000,1030260415332450,7669543492844059,5417326644279769
66710,100000,8416289359081626,1651498016070061,2206890924324676
63432,100000,8319702827467942,3968089585745629,8657705984958849
74816,100000,3344992002782753,3283175778656869,3816717243601592
64668,100000,2081526179841667,3925857068957554,6827698750824204
65050,100000,4240432651529431,6310874619715782,8693060511546916
64623,100000,1392494649917633,2238411119627754,1340262784191896
63578,100000,3983089815383354,1097990077006103,3511791926536333
64561,100000,4656498043518704,8752795352781661,6812182470431845
63229,100000,3641907210568413,1019765258427412,1038493842466013
63294,100000,4542208915622684,1619325883454581,4072444093843681
62826,100000,6612716990467979,2987279655846757,3864231825502437
62812,100000,1004970075852457,4367564055674653,7779610417387820
63161,100000,5436277370615257,1499639942124309,8934061438803109
62672,100000,5332262473176210,3462344830179246,8746278572723192
65991,100000,1716549408157189,1427906007051441,7832290251038190
63344,100000,1837297840847171,8011501486983877,363517637680529
67882,100000,3858524206235524,3990260240295833,7357288406168780
63087,100000,1935474261528071,6809978032531893,3949816876328423
73039,100000,7811518476084067,8565957623516130,1140932719562027
63025,100000,1365310318987701,3705763285828454,2345215526666538
69797,100000,8870567965780483,8951674893773350,8208292267624091
66680,100000,4413420047571679,7187618446877385,7936762371329020
63470,100000,4253706649266262,248543720487065,5627965052571250
73090,100000,3162863650563597,7320666878972041,8771954039507840
64086,100000,8428288283710682,7562577389261615,6044569238743799
67328,100000,2716414332960769,8750661377239309,2061841301252729
62932,100000,5109646111625969,615561416619473,8373471980291910
63142,100000,2212709864096199,2914041357295845,7186083206661618
67045,100000,1120503159669277,5790918367738037,3827067083445386
63216,100000,1034519362035750,8160166307732816,5164466650906528
67367,100000,2180116688279597,3758752000123704,6672368629098734
63070,100000,1720627416188671,7340459561248157,4528920093549632
67263,100000,8520028800266913,4881641055709743,4477269181709330
62590,100000,1533206769692466,7215270854875713,2206370148531195
65106,100000,808980791169086,2435709475795155,1278236878791537
63410,100000,5388818645668745,5659558748287668,8066521031932497
63486,100000,1466565538370805,250129256745405,3778327605451683
62307,100000,8782796976504793,4581502374153408,1683324851557958
63127,100000,7191485876871496,7729855610229462,2926898260407655
62465,100000,8863310698781688,5545598571721061,7332148655165127
63493,100000,7309248050976715,8862757253246943,6919527314423155
63242,100000,7467126091836754,7078112477132799,3830331946231620
62583,100000,2222415819282290,2012038870986387,7106043766062636
63132,100000,1776434479852545,192895258210511,1870120701326029
65020,100000,254863135919644,6546786618410184,2217261568166853
63496,100000,5795527754393670,785265320102889,7273188208392084
63374,100000,6432715990582447,2434147395263073,2523827525959650
62800,100000,7558199205713842,1472158703487737,4019638657491749
62369,100000,6841032383578742,775719381403453,6776161815776884
62549,100000,1214583108484058,5156322293321031,6389899773588578
62542,100000,4427716478220094,907882791524277,5195298921441189
62533,100000,539726490819389,7636699187333221,6662725643875266
62883,100000,5180068106555313,5614930550005695,831623327929093
62820,100000,8098924365987648,3007542768025804,1079638252748852
64427,100000,8511690174418891,3416019945123523,5273010431161571
63191,100000,4841918271075365,2096031860614329,7897433487308812
63711,100000,8357773420830133,3490921248777228,8972447370091675
62714,100000,1118775917648060,3577571715655166,4960271058419305
63458,100000,8320342146717671,3758019519469320,273500232585211
63678,100000,3174779785878716,1915161959576708,1272317918603898
