runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
1,3410,21567,250000,8428072153592121,6998634960943606,399285218880113
1,3389,21196,250000,7906483557217348,4019257867756870,7216940808543699
1,3462,21357,250000,2515715103375470,6596708945890331,6749013272973234
1,3414,21230,250000,2328798855454019,5887080974211734,273240354391910
1,3471,21674,250000,2734363045400725,5535718488755555,1931323706840080
1,3462,21231,250000,279215789267178,6970409904867899,2893342760279001
1,3450,21027,250000,2348258716769098,3756357558663587,2089500962656561
1,3366,21304,250000,2585931811149817,3757499461421878,5708682137682651
1,3361,20327,250000,6686627126398796,7770506259922565,5371852283752427
1,3501,20190,250000,585837450982817,5349363184115069,5993339632653919
1,3460,20642,250000,5818259335149707,6073581214094801,4243623039008502
1,3368,21429,250000,2661722079490225,1822651283043439,2475322852238996
1,3484,21148,250000,881537428657571,6366322128384689,3561363552077025
1,3397,21110,250000,5172974751513653,635687072270329,3724436950116672
2,4736,18187,250000,5128076681836070,6588963252578052,5246669650536920
2,3907,17929,250000,1615252781933864,2035120436317583,2128040021265424
2,4576,18199,250000,4778795698916271,2919021397066372,6474010859839007
2,4823,17979,250000,1836972577729970,1580115072012858,4705795232158024
2,4316,18150,250000,448935239978710,4951511059867737,724138246255182
2,3910,17939,250000,2854099276846765,883440873544943,7840454439076747
2,4876,18095,250000,635805084402731,8880220296256327,2935088309071653
2,3905,18110,250000,5928606831310069,5213159601183657,1541965560367643
2,3900,18154,250000,8397247529581074,6253756779785548,4684145903708076
2,4204,18230,250000,7545800459561093,8086849194547724,3168615587397647
2,3987,18100,250000,6416227191893406,8178573099520313,3486981858093044
2,3948,18098,250000,3095559975516027,4895590677837801,1786967552869591
2,3896,18053,250000,6028943368969132,8217873033000769,2536766054604343
2,4642,18290,250000,7922373337410014,4375698920894377,7164259726372594
2,4035,17966,250000,7563420755435212,2439634482101375,1456397348408760
2,3966,18062,250000,3770836968225212,7540299461801452,4442678603052059
2,3915,18038,250000,5269169499496637,5513946378059581,6222750012268631
2,4624,18084,250000,8508769886682824,5542275790566376,4470113838653951
2,4456,18087,250000,1453058227604386,8406751344733975,7773352007017339
2,4791,17995,250000,7293852347198575,1990234103952596,486095524028154
2,3899,18031,250000,416855121259221,4896517534988963,7184416399405938
2,3911,18258,250000,2889498579476502,1420597493946238,3708069681711412
2,3982,17874,250000,5449265202891514,6549139520077725,8503337071278711
2,3961,17953,250000,1383665415943228,5658276336367403,3051020774843554
2,3911,19109,250000,374183789641554,5828595353779551,2129315520564377
2,4068,18125,250000,6824862422499265,5060566381447218,8225626421856210
2,3899,18148,250000,3398790139689435,2148674977579978,8517957314468937
2,3905,18290,250000,662652976915987,6108093215969533,2414054099921144
2,4588,18254,250000,1781477883767335,5500250511121098,2340377773186961
2,3908,18276,250000,790258490263947,7509859103291787,2554339417315046
2,4711,18295,250000,44461061311482,1747966865114117,8978282010972630
2,4223,18012,250000,2205630984789189,3330857061752678,7920144715980874
2,4509,18024,250000,5833373946807714,3162625802167209,2319926931428535
2,3910,18137,250000,2170909407925401,8439652880680916,5695460155666579
2,3915,18394,250000,3005007233532760,6672984435619551,328668474494049
2,4576,18286,250000,3132111811866637,8672613666855582,2629497856086004
2,3907,18344,250000,6740868918409029,2408178659195495,6832381323838600
2,4371,18279,250000,1220675534431665,41414855879101,7397252712989322
2,4668,18201,250000,1678239431866064,1469419666590169,1627410868666104
2,3911,18380,250000,2687101151991651,6530270391597828,7006713621034529
2,3911,18427,250000,7320517828027165,7637632158450323,8132969462562472
2,3906,18258,250000,3026467466592061,8994869684865681,8140776056106377
2,4229,18281,250000,2626107484748720,1834077481527952,4800735392211828
2,4516,17860,250000,5955837959043519,1940296632395703,377814621485751
2,4792,17995,250000,2698540790649193,7583771345252933,1990961543130671
2,3903,18200,250000,820820743830603,5321506194719706,2261737282723141
2,4602,17972,250000,1145808041872478,2049060052761096,5061957109009036
2,4895,18286,250000,6679981644653905,2453059131550957,6594787434765892
2,3908,18048,250000,6427930552305786,4779687157245404,3071725666893001
2,3915,18151,250000,3098228548487581,802861030485373,4180737634923254
2,4152,18034,250000,8155328672468606,8115715105784305,2057451866802653
2,4477,17911,250000,2693836394678994,8703685652145384,4847765778377315
2,3934,18130,250000,8773359325961724,7314523632496626,2118029314262477
2,4244,17982,250000,259016046103073,6762195082037011,981214875002740
2,3904,18122,250000,8890789337042780,6736050423979673,2261330082057835
2,4841,18019,250000,6800213860733758,7203588989578105,3213446816286889
2,3905,18181,250000,7845095156610090,1081690422429276,6706576001691309
2,3913,18162,250000,3424683693675790,5368932262546270,2294829956773654
2,4586,18189,250000,2394230229865308,8379964021324069,4206418744199179
2,4395,18185,250000,2652708257591320,5138473898854999,129311150799969
2,3901,18180,250000,1828841600221884,2958191541842741,887545380808656
2,3905,18155,250000,4521300493772907,8036301806111195,8934776090262345
2,4475,18182,250000,8395783003871306,1059767941447140,6411087520553758
2,3905,17933,250000,714137875119886,4604074906561135,5289467195977565
2,4297,18290,250000,6432510625138025,1185226734924108,7531274276628214
2,3902,18334,250000,7782152986410277,3922151287270136,310765462219170
2,3951,18176,250000,3601222445580228,8621673618110177,5737271456922474
2,3908,18135,250000,2642895153616449,670694479738231,5945898138479917
2,3900,18096,250000,6825580343744438,3947926803563838,52263450420752
2,3908,18109,250000,2017981741261241,8837664359815590,8454655500902001
2,3907,17990,250000,5171777456914905,4577710816098869,334893901750203
2,3904,18107,250000,7884605829903938,4151030606365608,227263163315899
2,4192,18132,250000,7600834553594537,6942353175787283,7740243760321231
2,3907,18018,250000,5313488079297062,717852406993662,2178601913459073
2,3986,18186,250000,8203463753452307,338613200184824,7553866526129657
2,3913,17964,250000,7634664170502932,8489257006875775,6702726634170109
2,3903,17968,250000,1042682937731091,2045147964256878,1092199977738701
2,4058,18149,250000,2835383682648674,6129965647602887,1316862791965737
2,4345,18078,250000,6935925310480216,3274273251538070,5667706134743315
2,3902,17972,250000,4962237101682444,6352508555246039,3234441682174904
2,4150,18240,250000,8471410572756561,8976787865785913,1996930695376019
2,3906,17940,250000,6599223114004066,4152509965598334,8108646026056079
2,4721,18171,250000,2673939367258210,7275583703951375,8148268053530270
2,4214,18049,250000,6199684096179735,2913274165854094,8135622622160182
2,3900,18080,250000,7694777758429352,7180218309021892,8205983838015120
2,4710,18033,250000,7347634882644672,945219061754032,7110707168888963
2,3911,18197,250000,8418339007163164,7758260270182566,7286970330734506
2,4590,18030,250000,702437987120629,3943869884073893,5795291335337026
2,4874,17944,250000,37553652623845,7857813568100418,4003464475728964
2,4359,18523,250000,4301659099294187,4050657117044372,5880430526926225
2,3902,18159,250000,5859292471162598,7635252348289720,1485049583916403
2,4174,18522,250000,1407497436487075,6290093621918266,4812116641505179
2,4436,18094,250000,1902863311886102,5249834862235603,7075422166190111
2,3905,18155,250000,1119787375508105,5657294574879711,7167274589874210
2,3919,18228,250000,8214242992811456,3720890631824340,1842225228655604
2,3901,17983,250000,5913964905958358,7437213909247183,1392478797143864
2,4691,18247,250000,8015251271759136,4741432088689927,2272367791096172
2,3911,18097,250000,1855644210646765,2309670125005124,272882959572153
2,4586,18193,250000,310713532765590,8427357239921917,1614832448285870
2,4881,17914,250000,6523874015353654,2372358983384740,3525164427819305
3,4378,18192,250000,2919403746379944,2180954861343010,2333450043433979
3,4689,17864,250000,6031616329178808,8105902025924190,4394120878161416
3,4935,18128,250000,1327147772268724,8869393350273434,1064160007481870
3,4456,18031,250000,2058109225242362,6430114619749202,6986377109774782
3,4896,17925,250000,1214502173820384,7939962656402629,6872282590286474
3,4234,17971,250000,2591353877171023,4421366772182624,4569758159027712
3,4537,18108,250000,989057832607515,4378068050947824,2801313606626305
3,3905,17959,250000,2198236235006918,5628530813208687,8685883241437284
3,4321,17892,250000,3125308888432888,602878316771466,3447483992219789
3,4747,18132,250000,8503418529468808,5393649160322926,5312466799073141
3,4872,18025,250000,5981542469452798,8967808194765417,393563831102219
3,4372,18063,250000,6673532219150578,5104978960584056,24273165240310
3,4704,17983,250000,1030207200037706,898315578254049,214036925816374
3,4214,17911,250000,6937609670974057,5096190274271294,3682685583765209
3,4482,18114,250000,1223142718853545,6315452719093523,6117675086793118
3,4753,17930,250000,8340250687799963,4300502467306455,5756088428078460
3,4269,18201,250000,8119790656672662,5821212433461632,7032782149686350
3,3900,18117,250000,8108930471510777,8187457720422015,5476183545351957
3,4846,17883,250000,293889249177058,7570423490322935,242364538088573
3,4337,17995,250000,3577089938533367,7863868614348106,5786865134037214
3,4671,18018,250000,3518374087916856,4606612407644532,1064285564987810
3,4874,18161,250000,7751837501224971,6453681838171163,3946884569712185
3,4416,17936,250000,3763154056993526,3851901430938386,562953069771158
3,4697,17998,250000,6309323385121150,1480535890758085,8353054306114875
3,4206,18007,250000,3656512340773841,5525958436133019,7934399153483896
3,4490,17983,250000,404951787849996,4128915580308424,5118869488848487
3,4781,17999,250000,8798583380555987,5084333821018449,8126351093903927
3,4289,18108,250000,511314421353012,1860147851312184,3541723525417018
3,4570,18163,250000,5015295005484834,2021145734479467,8164213341429071
3,4056,18144,250000,3633205339250336,964383341436699,8046721075034882
3,4335,18078,250000,7827730344339880,4885503598750489,7025617616444535
3,4657,17921,250000,7000683877068008,6055748149452100,3677032165134219
3,4129,18034,250000,2211207024004144,968655303623013,6037674462720220
3,4418,18095,250000,1133444807680840,3309559923028498,502746506998873
3,4712,18132,250000,8735391241118490,2758786417687750,8787486205889943
3,4230,18011,250000,4214894017057446,4808510288006538,4660174755268543
3,4499,18061,250000,2665663973145432,1036599526064301,1613132648112663
3,4025,17946,250000,2211790444541813,7980856771065618,4976571599540
3,4295,18126,250000,1649060611200093,3007195976042099,1385293471113442
3,4581,17897,250000,8688225982573377,5167077009745587,7535719282957900
3,4091,18026,250000,6299495314848421,2291908834314454,5131333935282614
3,3908,18082,250000,5066798378137426,2559476698818060,6910270600984505
3,4649,18238,250000,3565775599233449,6369254491298751,4973582962373388
3,4874,18030,250000,7774660552082439,3889990054828536,4756583244143801
3,3909,17954,250000,8068600079336683,5274475249736355,6264485195694392
3,3906,18037,250000,8550677111100108,321420492735137,4619529383876449
3,3911,18022,250000,3964466552805872,6857584746762537,6621684882170243
3,4501,18039,250000,6820050646413511,2785468439504244,5062248130232759
3,4742,18157,250000,4010378441402566,6501616910150705,1865749105639335
3,4310,18001,250000,6055730680320599,3257471623715700,874783736351212
3,4611,18091,250000,673756736562364,3730710351029555,8681147941881469
3,4878,17902,250000,8509182132720135,3596833567409471,4357846314465650
3,4378,18018,250000,2254544889324227,6285643049045264,3465446636623017
3,4675,18102,250000,3152782060090400,5716146347693667,599142298652599
3,4550,18072,250000,782826044948547,1396781566004928,5817431156264479
3,3904,18482,250000,6326510838526171,2622219766333419,314119441948800
3,3909,18274,250000,1873899185869116,7728785328783808,7426606672666293
3,4247,18033,250000,4751548274508844,2115384830902775,2441106160682785
3,4528,18062,250000,8242960303066800,7984093285629176,6716732517474726
3,4794,18020,250000,5675163741769984,1689691921015888,2532173281279428
3,4316,18192,250000,8428462125374030,6666595004510699,4226496027914169
3,4599,18069,250000,4979807109253899,7841190079573122,4370053507160579
3,4879,18021,250000,7384145563502274,2673298435443748,6154689607235049
3,4405,18014,250000,3343453760574092,114570348002122,7813349394286369
3,4697,17926,250000,2992478615969867,6430893921701504,8025567954672423
3,4196,18137,250000,4169942264252380,8015766823548926,989369574207477
3,4470,18069,250000,1043840209528018,1578418081118323,3433785960532170
3,4758,17942,250000,1681439383843069,4111015792556583,7267269383848664
3,3903,18087,250000,1050303609182995,8270709810098991,3887135206094700
3,3898,18103,250000,1570364400226368,2699661919034843,3046124818608074
3,4832,17984,250000,4976170276490911,5145965419412323,6074301341553091
3,4330,18208,250000,2831444326721635,1738961806415157,7145920049686215
3,3905,18173,250000,2609551161286062,2889932549361701,5633511617221689
3,4871,18010,250000,6203695716834405,2463158740970473,7690228967386334
3,4404,18137,250000,7810243404320780,8986010716935736,1189005415878083
3,4675,18038,250000,2443845633422897,6169223697392698,614615732024227
3,4259,17956,250000,2044116405968345,5536995670493333,2220486725916815
3,4495,18123,250000,8121776300033473,1826013074887464,8240907520799191
3,4773,18065,250000,5843537618293138,5479879945333000,7616599022476847
3,3927,18052,250000,7574530780188144,4203658324609716,107363987722299
3,4571,18085,250000,3260380305093738,8370793589767913,4953601316568965
3,4046,18065,250000,5849677468647660,939793937623877,4797291595739833
3,4345,18027,250000,7039104341963333,7718367557743935,1380479233001820
3,4636,17959,250000,7144939945442153,170767508544488,2416370434400674
3,4871,18048,250000,7088091930329986,5675267491373554,8050299875298169
3,4416,17889,250000,45186717370546,219008539859238,5308868956395074
3,4717,17968,250000,4525295354713407,5898753042612133,3560603964258217
3,4256,18011,250000,7857177496634251,5187658640742755,4078129515825265
3,3879,18026,250000,3841300785321040,2180049603943258,2200673123289598
3,3998,18045,250000,8009871343191590,2675887191645406,6698277611484080
3,3902,17965,250000,7091224667704460,2502994080553189,6733565359162171
3,4587,17896,250000,4651076923589879,4694491235656450,5306024996328661
3,3898,18041,250000,154876114906377,8560461765153285,7378013755384899
3,4367,17963,250000,1446916905230224,7367045449428595,7941390327167441
3,4652,17835,250000,8490582859690522,6569424511973396,4491206400873895
3,4875,18062,250000,6687716938835199,4172790234899234,1216222289411948
3,4433,18040,250000,5220300949449974,753837719718547,2089378776816466
3,4723,17983,250000,3890159669716809,3875921175927688,5451781488415984
3,4305,17924,250000,4224660647676397,5954351889755370,5786260972088541
3,4509,18047,250000,5935980269436808,4129382829905098,6135059309061390
4,5042,23179,250000,1090831250280592,4177856715228733,4738228567089139
4,5105,23170,250000,6294314748017386,2935870524096505,8038745892237427
4,5061,23167,250000,3651240291015470,7622699219075077,1742221947952066
4,5038,23151,250000,6100569448394228,7453215406723914,7667818226263210
4,5046,23240,250000,1677334813471827,6857820305670057,615391642856962
4,5073,23288,250000,2290217212047474,8264194189440482,5113428851475214
4,5053,23148,250000,1508249267924738,2803142108998293,4098963675444972
4,5102,23378,250000,7643137843154705,2885155342647870,2487329841296183
4,5072,23198,250000,1786835509204556,5695870334907353,4999189649654082
4,5050,23230,250000,7287070219350775,8329900511093233,4380944799478137
4,5039,23576,250000,1563320768927178,1559687667331228,4468434313630128
4,5063,23270,250000,2614386001752403,7596930962363221,1041191527847027
4,5040,23260,250000,6799999221952271,325192411691314,893677289938735
4,5105,23333,250000,5842338906129061,2618102220254911,1205519158173934
4,5062,23194,250000,7646134288449603,2188378051848721,4029058678955525
4,5048,23324,250000,5112665524631978,163888599385482,5436720186908295
4,5041,23277,250000,7204852556082395,4649424716074898,4162281210819984
4,5061,23103,250000,933582840780625,2780846020175475,5357546419270744
4,5043,23267,250000,2356831625311995,8883265587633215,6600974786488276
4,5107,23481,250000,6905842553577575,7722011284279573,8300084412383040
4,5075,23112,250000,4604477303115330,1309489913272126,5048729765482044
4,5056,23288,250000,3494716283690941,8282655538307715,2271794632539783
4,5038,23150,250000,5609015247004932,1326955422025476,1523386709257150
4,5067,23529,250000,5931049326748381,4597950494299926,2342845477807821
4,5039,23239,250000,6129790685718657,411957787689787,6169271548364486
4,5099,23416,250000,7578409420410257,1475854493872596,8788667375900229
4,5054,23567,250000,462232611372955,4959547483351963,7733302304694060
4,5038,23429,250000,2617763867192340,5293577849095755,5611932828971137
4,5044,23287,250000,8588575612306411,2039287492067330,7679111691224796
4,5069,23174,250000,677311198212047,384280669116982,1581874646682806
4,5040,23225,250000,399851783053961,6432206735607128,1518683638061557
4,5112,23250,250000,8346123276461444,5407530767985773,1938623425344450
4,5065,23082,250000,5438855271805111,4272797868562382,2911158841910257
4,5039,23407,250000,3281970424912112,4091956726266244,114193064933366
4,5039,23198,250000,6972567395576264,6577577519374445,6988867765491507
4,5069,23227,250000,4379214806782662,300277057921229,1138775777483570
4,5039,23140,250000,932108482357997,8320816927937856,7551592922005105
4,5102,23261,250000,4200429591555858,3847767414576877,1285984837670842
4,5065,23193,250000,8209224441539160,4054278200518574,5078408205865827
4,5037,23213,250000,2595177065175604,1196861304287701,5093735949989989
4,5043,23239,250000,5036385258513421,1914805562160960,1264284565840293
4,5063,23262,250000,6404360418126281,9005885143375804,8585977606107218
4,5041,23249,250000,5258464838609215,2029848335406728,213522223832708
4,5114,23096,250000,1373708198505196,4090455408393429,8811100039246344
4,5063,23426,250000,6621801114139821,189158679176512,7002789484121378
4,5039,23238,250000,1834513802290586,3164664694993189,8738683246357456
4,5038,23363,250000,5189927618981053,1598228683075341,3155787888746736
4,5058,23262,250000,5300385783510656,3751405922111522,1802177307816782
4,5037,23107,250000,1879180326169578,3131064094504240,5170636099459476
4,5110,23319,250000,6207929720132681,3148861285991996,8864593198113589
4,5052,23551,250000,6880749918359660,6898091084636115,8143344562461038
4,5032,23163,250000,1060310301530279,2246278581176701,8940820781343252
4,5035,23261,250000,4654313285193644,5011735897308784,7938130750486365
4,5040,23250,250000,2331459327019699,5050306396092047,6803018796836833
4,5040,23196,250000,1370323636561719,1160506824031012,1785746642994123
4,5102,23444,250000,3077081992290664,4280033206532359,553843427868417
4,5060,23263,250000,3176683302573213,3262890012181781,7857316944572705
4,5041,23183,250000,5810417557221681,8296396903681078,2666505413665233
4,5036,23373,250000,6334449401247641,4879015387489749,486083765557909
4,5070,23204,250000,1908164255577489,5196122884696487,3093920949366956
4,5038,23282,250000,7397400203291346,1097248387575118,1579507598151234
4,5108,23102,250000,8823560294131999,4937606435152087,5722840547827132
4,5066,23136,250000,4041861949800039,6169593466478711,6955683299401183
4,5036,23159,250000,5415629900584181,363719392429525,6986707693377251
4,5039,23297,250000,7976536352509178,1260430999410702,7878243511126497
4,5059,23164,250000,6333941818908935,2443936028999198,808494040901066
4,5040,23305,250000,7717945908930326,5663398644401599,2994253892578676
4,5101,23188,250000,6892060622097788,8758050438926503,2807399034561896
4,5070,23154,250000,130969582445495,2281701427654165,1103902478464748
4,5047,23257,250000,8301955236224528,183523507784151,7335486832982522
4,5039,23289,250000,8506528112583821,6013101545262139,3712659083769790
4,5062,23365,250000,231498045908847,3273095985002279,3036855886550212
4,5047,23227,250000,8793244535598303,2673526011581564,8399853023990047
4,5103,23259,250000,6948484662909234,1580809242841919,7661983904423452
4,5064,23204,250000,4192279516338622,8753889979586794,6745493897012154
4,5037,23192,250000,7342813692300466,5359226365490288,2989020219052879
4,5044,23163,250000,4856412630038079,8716857719562379,4357656085029667
4,5072,23375,250000,7029594666682641,6321242364427522,3805093455055449
4,5035,23182,250000,5972783791212891,1678023177591108,1492722769800399
4,5100,23294,250000,1682508138344668,4606484568791830,3557025172045165
4,5066,23167,250000,7023357976292066,5400371787234242,4710516422380932
4,5036,23345,250000,391437493050364,1777803380140863,5470845300459552
