elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
47250,100000,8557489656460495,619531443131537,4954702321454186
48135,100000,5593172095750316,4964085001926777,6511052683851803
50446,100000,6368980976751797,957395520127668,3729610903270831
48648,100000,3687474728106088,1937064185807402,8769836944673460
48029,100000,7629195664773282,8272840902143041,6221202251501563
50250,100000,4616022977221014,79168285564342,1103621709130414
48162,100000,8287901512890227,610010101284351,5341441154153145
47786,100000,7176760492366706,8179273902209386,8275486698810234
47638,100000,6613421920494480,585073814616272,3086832203785478
47342,100000,145613485434371,8528020159425476,7887736970575451
47932,100000,1169508034958332,4626323509921339,1366205211817758
46954,100000,3554539161404830,751715824690226,8098139315581353
47509,100000,6909816313487715,646020779149647,8198505521204937
48127,100000,1325630613065692,7271763481478432,6639512121332789
47027,100000,1375920581496234,4552844827536358,8781833044692007
47311,100000,4677925021755183,653793135910468,6167266003107179
49102,100000,4802486980328143,3493211673291811,8556363411060398
48776,100000,4497073188574810,7505011994030036,2763224565151974
48533,100000,189680696097280,3098544385812942,6983938814037709
49286,100000,1995915411408071,8039149784994479,3453704309999482
50890,100000,1941871648442345,4368654722581591,8270027300786510
49335,100000,4236243627207997,7251002162430065,3191200076727516
49056,100000,1416678820010863,7354250772431253,4807539293541188
50061,100000,4540819840066006,432917403529713,3068260051395154
48787,100000,7891814318426799,8661380790568614,2089363829489890
49753,100000,1262075920953075,8421173923433260,4002970506832646
48447,100000,5928955158189660,5342112482446799,3526151323639360
47706,100000,6577355981681574,5565916077955952,1726803555766491
47495,100000,368941512177296,2848873251033901,2502138098483845
67231,100000,5978428231309087,8311010343174413,3821683845075541
47677,100000,1640926305244971,1149554104530316,511335414013877
47916,100000,6471254178026854,8032268413125125,7206310843196088
47997,100000,449797122530529,262367790832029,4819977122173801
46895,100000,1668323650560041,7009685929541894,5574001507916383
47369,100000,1555741546974838,5762377789153134,7579427727604540
47023,100000,707785183212101,4879903223025162,6577794527907857
49076,100000,2423254162733409,4784095892723943,7343426360890631
48411,100000,4740690962592474,1447350382277044,6841708771750253
50608,100000,132262717794498,6334046059355001,8861339355240974
48512,100000,7177712189338839,6980311357155857,7651605379911463
47901,100000,4876605788151806,2927534908306272,6184661309436715
51299,100000,1027211186412302,7138695572262979,5188414626378227
49841,100000,1423863714482420,4356923091794568,253108004464074
49004,100000,8037057057947637,141795887445732,839412045219249
48551,100000,3472246380114238,5661952269377038,2078277505750643
48837,100000,2953694915351320,2166938187869419,7137009238545359
48761,100000,2069039482496459,3469474105425124,3873228156097944
47368,100000,7378352905693684,4248665946804476,3284200615743769
47849,100000,7281157760052302,6785407904933521,1187654205450490
47251,100000,6071881362696973,4707805866857553,2827637380079231
49402,100000,857058066373953,1166373634452378,8797313871061686
70199,100000,8562617020118547,7471517223575665,6535193873257141
69910,100000,389451286977138,6821240003563880,4578147733778143
70881,100000,6672156105655352,7177489618846881,5082419544296042
70858,100000,593839232892869,1014098519211399,6452792847250914
70650,100000,6595988571600525,6947796460911729,1407558045124969
51590,100000,462670843105722,5482788724477056,7451167639844086
50457,100000,3211650097348173,6123041345127192,8154503977220
48625,100000,4406419732485858,5215890588505418,3018738209204702
50166,100000,3186118703290200,8536251778433802,2821521701017572
49723,100000,6815350336481577,3309817051035635,7103463614813881
48737,100000,6390208023012781,4035240592123849,772162578994276
49343,100000,5217550764337996,6133708640702838,1940751764630198
48680,100000,4907652759641894,2722426756863041,1239550243386685
49157,100000,6321994157376230,1596038620930831,902288660244067
49582,100000,2592740362375392,281364999403884,2794789636911214
48926,100000,6381966612516466,7113611079526897,7666141665300215
47236,100000,4432465612275461,17870084495672,6950813991077969
47613,100000,3207224998155177,341291527482018,2266717663956009
47586,100000,3992602568452407,450766549557624,1416589164394141
47392,100000,4987042258195792,8946187484587881,1258207815144757
48643,100000,3560260172780172,2897581857045054,7020305938341051
47580,100000,8418984285091910,7698198509568111,7713475217389465
47334,100000,8409401604991093,4872615520143204,8179310110032092
47719,100000,2643644012773829,658037597980247,349871729120218
47727,100000,7941873368886595,331462771260761,8456571304442345
49717,100000,4132528303230568,2441853951655552,8649459744503472
51522,100000,5986477765127476,4010551517863488,8199669390350818
49143,100000,7847261671181598,2005538767772880,6416634976397256
49337,100000,6260280259413711,5647451422069040,504824162630325
50804,100000,835099315607905,5495453863559735,1553064289703993
47485,100000,863184662821690,4402955887357808,4134521546908699
48341,100000,8569294358730609,2191190797817354,3240912514703074
49744,100000,8880865874551018,4010868036867240,6217205369156342
48503,100000,8292210172562452,7637086307115988,2951182060220732
48963,100000,974797494682288,3880133122276408,6524043868414759
48448,100000,6690151948569535,7307088842954793,127054730277772
47633,100000,3406083600935379,2730680774566702,2313046039913535
48008,100000,1187117068563385,328229034232670,6345773483360338
48930,100000,7349760454365531,135228829476908,3463275737558959
47915,100000,4992122721646385,4253695245928255,8672998186454927
47670,100000,8467465823973988,1342582213831139,508758284974309
47419,100000,1972237413579432,7375985682678736,8840920506041036
47700,100000,4610038240511881,2441143198812864,5754333151607061
47450,100000,3773370661661979,5874321813915243,4287297329281901
47933,100000,68534481919670,5658467141938325,28017274627794
49995,100000,8323858365001045,7922933051594023,4097472898677213
49539,100000,4316045993149035,7242851149895883,4475646110507599
49467,100000,2633706403695486,6546281613635253,8973404970507615
47889,100000,6732799980852970,6185010382024681,2943840572635936
48075,100000,7501886187441408,1626383229940218,485706340599180
48947,100000,6198215516227301,8813121635254485,5574088659112375
50249,100000,526268776310079,3322058843776295,4729567220876021
48919,100000,5640471316753811,8175442628745102,2499068688622217
51465,100000,5273748511416201,4864232649619581,7385835724723520
51536,100000,243490776397709,3520909511564889,2675628621375027
49492,100000,6302753634986288,7627816873073577,2987479524713587
47667,100000,863932062128251,63834568175454,5606154850716744
47982,100000,5107050589283905,6384495368964497,3618213643171322
48124,100000,5910739257778373,782890765785502,6008255593527549
48054,100000,6118426783541652,2357760263658265,1025735803630138
47586,100000,6646238254529197,2064781194630569,5380647961249843
47239,100000,7240801292544898,1886450612285227,1698684411939687
48281,100000,1444055867766821,6603546391728127,1435447838968530
48810,100000,7746857370524225,7289784154833263,7063565872282015
