elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
53849,100000,4402866084031200,7108786449894270,3938701629235560
56936,100000,1700691028192066,295470159243528,2168420573199720
53950,100000,934887944293905,5630291727514683,2843420886060940
54013,100000,4085857041086985,6896473363816967,4082117895356997
56916,100000,7106733559878740,5373967986658485,8838714080659287
53896,100000,7254951568725868,6377642099691176,6857527571133172
57044,100000,8127612452175505,1693654080450785,340295218171300
57374,100000,3062553247173665,7758962870689198,4837254000665396
57058,100000,2553495917893058,330971177471285,7478129267910137
54682,100000,6838983783616354,2403325972453133,2416985802412167
61012,100000,5712953262936038,2456346784261681,1876429157389014
54979,100000,3534826359849773,2187915577681549,6009083022368444
54659,100000,7719343766471520,2015276484116758,7119663720024468
61215,100000,3025135180166171,7701290783327139,1103726353109228
54520,100000,4211352733962849,8148098975492479,7588054056425455
55682,100000,4250257902747530,6049511499852801,2934838018242345
56619,100000,6691809322719364,8067205018579522,7178065567158157
57184,100000,933750746032685,8605130723554921,659164990095989
54045,100000,2440791282853024,4347368884240292,2488416229581086
53465,100000,4008981065086943,6678850580471331,1072947476445669
58371,100000,2156719786754083,7228783849188264,4422017991766869
53618,100000,7255344440074271,7389719810434417,8256356653228808
56967,100000,3826475453554000,5226104245933848,4009015002594003
54159,100000,2318892526830253,7729177278032758,3273832830807999
54647,100000,6985524474682901,2915644183303409,5153410459914918
58326,100000,8789908376087295,578154552942962,1156767206985748
65121,100000,8158246054927032,4277156873247719,6379175131214806
55471,100000,4827645971351188,6443766595002064,326900921183951
57144,100000,4770572415814257,5676925895865869,3403688059235698
58387,100000,4900641153703885,8780871881987947,478998688325615
55140,100000,6236553710865199,6207699514898293,4241085137925070
62800,100000,6553543816902328,317223158664183,5441779011082425
57648,100000,8040772078816522,6041975340799480,8623051692848541
55267,100000,1820833383113358,678238560055557,4914444115072785
54904,100000,6467560957777952,2309062673127740,5761256398501942
55266,100000,504912080645026,8827187931424805,4904708276188673
59018,100000,2440050375458161,8520917322659758,8648587097495319
58184,100000,6831028230948523,66401028148244,6991198033420892
62816,100000,5566208886895137,3423806290662332,7349351142651951
54331,100000,1208222965521570,2596445763702399,3836371231036796
57102,100000,2392728459992815,3847874098233289,7794618411797305
54065,100000,119193527231368,2955468071960380,8566473494405440
54286,100000,5115160463894020,7925840048032302,172855773281019
56857,100000,3106882134430098,3392690640965169,4061903861047472
54183,100000,4587651718845956,6367105254396918,5445781161271904
57061,100000,6801496417653606,2760715219132539,8717727342244132
57061,100000,3745540451488067,5642045784420712,7353630595108525
54672,100000,8436805654591359,2495022625730639,7434347914698437
55003,100000,6570874866562529,156644819261522,636094572680155
55090,100000,5579395258743696,6106402623574198,1172061311578682
54612,100000,1662541704968585,3139037640772853,5351291053538703
54433,100000,2203505474879505,4233946803656299,6540521426667923
54579,100000,7516355580489803,6525777146178656,3505714594617570
54579,100000,5247519024381089,4823052366362642,6465357505464343
54773,100000,4907450429015130,830254368542466,1121296693701830
54671,100000,4630096081329725,4163928810473994,4400725247328403
60535,100000,1802357269806236,8708113838202924,5212440336316113
55205,100000,1550105873532631,2333742614163897,8421133860903111
55188,100000,8128982518550895,2456886789171685,1817188791464528
58098,100000,4997853199411839,1221464912826277,6510139713122366
53770,100000,5211050480665315,5157838305413812,6706142031091774
57220,100000,1725532536362888,3134202909209255,775376526812991
54354,100000,4971088191810328,3095045606187605,1159168518483166
54722,100000,7095102289809455,4528422362627006,7991633250631248
57227,100000,7017242347004682,1837500938916549,6767374529961549
54918,100000,6557453327342381,2036544746378564,285504774185071
57006,100000,3530852983771215,6471304409820232,1538765508398333
55392,100000,7795419671601843,2759436354020111,6127689538460584
56137,100000,7022623574567123,7578054792575170,6421486230544353
58921,100000,7200200777099255,5897005333286672,2404407096706624
54855,100000,616203206124151,3226916361171413,4705468970495538
59097,100000,2555346656618811,2781351407160214,8741792208144198
54796,100000,1424471939939154,368333187161122,1499803015090124
56721,100000,8629309679168782,6599065736998180,929816724288037
61466,100000,2117458019060459,8911950159831308,262237918516702
55058,100000,1680241164180347,6297394486294950,8858938192379214
58476,100000,2714992857124019,7124918612273304,4704746345952869
56260,100000,5703406867108659,3991033137936840,8756902476517181
57118,100000,2932641433228644,3227495061908414,1823861920849645
55787,100000,7591022444199631,1398912573040181,3521301839100092
54931,100000,7120553995351122,7539099352784601,7965556883702356
55319,100000,4584921592407878,4034915882693687,6876916435020526
55059,100000,4386998464725522,727287961582071,7215685826688128
55177,100000,6089617158300855,4455568160620304,4010451347727820
55762,100000,7929161214362681,79108535362019,5082651935078401
55568,100000,7656758915505317,3667846054245859,5841446735476619
57551,100000,2693758680332073,3173132550444138,4200377570270607
55373,100000,2881271816841399,6239314330086384,5170292280637015
55126,100000,3054786106734841,1755917094639569,3975600371645232
55545,100000,1654015716363591,6965545060501757,2275353974204994
55134,100000,7123712953236379,8407583781614201,5485836155189908
55572,100000,5886230206358230,7707756799829289,2302885584948789
54922,100000,157304666097446,762992199039433,2919972210243922
55244,100000,3544740922086592,5596779105926342,7610357600998015
54781,100000,5724036782268322,243428834047054,3157700196181339
55317,100000,4004254683486075,1084660821447121,5299374596893518
60763,100000,6918919880145896,6539985197981039,5937241483281401
55332,100000,8805248857333438,3154363030719023,2216856613287020
57666,100000,4425707113504015,4771429066978580,1959674724152641
54830,100000,7315174265500970,7928488172670931,8509253200932685
54492,100000,3771041612334841,4638192791733924,4375292121364772
57331,100000,6492275405337911,7638755716534265,4243129191556746
55165,100000,5293316868294917,3675667240726811,2968943467232903
55144,100000,1040092519626378,3354162873228218,5001437061591605
57465,100000,4014083533141133,3166688707032318,1219653679284252
55476,100000,8743382622986477,7740311956445562,4705505368658765
57555,100000,7639810682776235,6248886278889042,985016891852313
54733,100000,726020156576301,7385424783309637,2751206962407389
55089,100000,6543033710928687,1833170496238639,7977262103703474
55297,100000,8027226134340578,4924292428352781,7143744179862914
55757,100000,8574517799541379,5506689881355275,5857374160620479
55279,100000,6667107779669814,2795244567689210,6471469816573633
55997,100000,3416686781721716,6395586539437335,169059587904792
57635,100000,4280726205674231,1251542980817830,468994042787238
55230,100000,8304781789915784,8777047329527643,7997060677388258
55500,100000,4294713963618186,5187695475454570,3980390788697020
58595,100000,327740462237709,103261242379922,5745054722578574
56777,100000,5425585582095234,6559211782689487,919480518754061
55071,100000,2683352673347302,187445341951835,3283301456200201
55596,100000,1147094198473289,2741010766064606,7906178394567351
55911,100000,5931332913688980,6068505170689614,2726046350171908
55505,100000,8558725531183924,7850265034883868,7306820547044004
55526,100000,3063265445508201,6451333116996266,946525697900608
56234,100000,2713463666071573,2992231906305287,1079909476501823
56009,100000,917902406257979,414133963309397,1116670055138418
56038,100000,4591766288681631,7961107302060316,8657253109998114
58781,100000,2826059612085439,4147610294833240,1615502572592250
57181,100000,5942970565974309,4604076577288563,2184481738632881
56431,100000,1106631479295027,4839900001943977,4755107670179310
56296,100000,5469700469362735,6689354004538994,3845728671232934
55568,100000,6995407811899297,1346393899201767,2934331867815829
55759,100000,8409767701870023,256387352598389,8455629285358677
59173,100000,2454119508903181,5381010945423303,2778725946732664
