runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.r.float,param.g.float,param.b.float
1,2978,37358,50000,0.8819963970299313,0.20740790663090924,0.43333128420874745
1,2921,35464,50000,0.4737930393930923,0.7962647073569418,0.9778213274820547
1,2942,35292,50000,0.5549686252970962,0.20626423343826586,0.3999297500689913
1,2918,35929,50000,0.107530936219022,0.020294498974768573,0.23735539926749027
1,3017,36224,50000,0.27153084995341026,0.2990691919255007,0.25662823995028045
1,3069,35366,50000,0.46490773683881675,0.7456035743070357,0.7497788079034713
1,2937,35516,50000,0.4282583366393009,0.5100107628404227,0.3753430186265781
1,2951,35722,50000,0.8350131952903362,0.03236130061349847,0.5544333569280319
1,2936,36254,50000,0.18339066408201635,0.8494736798065304,0.7065838826815706
1,2952,36345,50000,0.9438686921297256,0.4392966246611993,0.10475599682663814
1,2970,36024,50000,0.4141110572858976,0.1687805532652751,0.5365448327675828
1,3186,40943,50000,0.40714243783865406,0.4006704522195242,0.1250104850330481
1,2935,37542,50000,0.06877637926695045,0.7673827465401246,0.19336931434314686
1,2982,42008,50000,0.7721935799340217,0.1984785359390896,0.010533061420652742
1,2950,39065,50000,0.00045487509512213314,0.15838456680098265,0.3766994909599974
1,2911,38705,50000,0.5819449786367114,0.21000278313221948,0.12298724887084947
1,3022,37883,50000,0.20106624022991543,0.05715917970861826,0.11531447597544463
1,2990,41871,50000,0.058320957421533884,0.9893962699168799,0.6192133864124943
1,2945,35348,50000,0.20041192281562833,0.41932062945743237,0.5776380974444695
1,2945,35176,50000,0.2736307001733111,0.7844910468594961,0.9246301744015439
1,2944,43388,50000,0.8155326731543554,0.13330316681858523,0.7815004226422968
1,2935,39535,50000,0.9725287478526229,0.7855782428322511,0.26423795860728977
1,2933,40479,50000,0.38533011318622945,0.34221331209774286,0.6283077143656955
1,2915,38650,50000,0.3190212387020498,0.3620959656316114,0.6654942547050436
1,2922,34876,50000,0.9776979677282747,0.9015180244199749,0.27268325728998666
1,2919,34900,50000,0.7532432455329465,0.7058687705982234,0.9958714268464827
1,2927,35015,50000,0.6850243640547762,0.7673503268917321,0.45863207458210037
1,2910,34429,50000,0.9452229724251486,0.3585806041038945,0.9412732866153326
1,2913,35212,50000,0.6866398125080075,0.16884034327979713,0.15122499190302705
1,2910,35179,50000,0.9906804604567547,0.4045845319782822,0.334015392746926
1,3159,35364,50000,0.5385301025531551,0.21724249739298532,0.40310866706888715
1,2996,34853,50000,0.26544230383327555,0.8996487162058149,0.1398303388286588
1,3074,34259,50000,0.4986184596279504,0.9104467162620752,0.1225199396279897
1,2914,35402,50000,0.801270478204528,0.4692526011705118,0.36952669970978613
1,2917,35095,50000,0.4248825416835362,0.982434311279786,0.6688996438269431
1,2959,36209,50000,0.7995635708083844,0.2947987794753175,0.022610355771634744
1,2911,34659,50000,0.19211102103426658,0.21934997617477828,0.4268181911208499
1,2938,34455,50000,0.10549665535824357,0.6836319856785374,0.6390433336415661
1,3042,34602,50000,0.9210150241003774,0.7008198280475514,0.23519342355008233
1,2912,34842,50000,0.41006357137104554,0.7549333788092802,0.7069682665285689
1,2908,34665,50000,0.90828139384255,0.03528484805239022,0.11538768362710583
1,3109,34502,50000,0.5570756266188578,0.36338895778015257,0.3556274605756385
1,2909,34818,50000,0.1856333369614985,0.9618030629280013,0.8525183960888492
1,2933,34458,50000,0.3463833363339293,0.6613524039221024,0.17816977024319125
1,3030,34272,50000,0.8795020829775614,0.4079871900710204,0.15781625376702016
1,2908,34343,50000,0.2786540490094967,0.41506535550892854,0.4551377233723652
1,2915,34845,50000,0.8852382103880261,0.5407179104991584,0.08368976375162462
1,3062,35099,50000,0.06063429738062736,0.23802996907628035,0.8474719905637982
1,2908,34702,50000,0.9446145366900021,0.99239972422809,0.9071338539961528
1,2910,34299,50000,0.6973453045036541,0.6279856005228813,0.08669459721511308
1,3127,35127,50000,0.6469809444958458,0.0968450163775028,0.2675866729055757
1,2914,39561,50000,0.12638886456455925,0.9352651969188854,0.8400175978245747
1,2908,34399,50000,0.9177198691985016,0.4070368383775449,0.5235655169263727
1,3151,34798,50000,0.6812919142112026,0.37220853835080303,0.32110921529564035
1,2929,34953,50000,0.10636024702494115,0.1340359274465994,0.25825896198439263
1,2947,34701,50000,0.3903207227023863,0.5885168571148248,0.5245722217081711
1,2952,35602,50000,0.21689746157824105,0.8214127811282006,0.9058373274220771
1,2911,34788,50000,0.28598073117778716,0.08181856846441281,0.023823775992341967
1,2908,34770,50000,0.16257590293506174,0.01319910677261468,0.1274338262200218
1,3160,34966,50000,0.6051050004301589,0.29888769433789386,0.4381490771196173
