runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.minx.integer,param.miny.integer,param.maxx.integer,param.maxy.integer
1,3882,67382,50000,-7327195236716317,-6040277169743472,8841753704369366,470708589204476
1,3937,67381,50000,-3309014245466787,-3830346794286759,9002566499822557,3915919599401859
1,3882,65259,50000,-1603086417022257,-6191460510756126,1365289550628974,5499174750679549
1,3888,64510,50000,-4366846757729442,-1984125462211599,4518182982062143,8646109147591180
1,3882,66023,50000,-6857123452565124,-2694516716637984,4689809182707138,617022260477772
1,3910,68632,50000,-2047650016143746,-5659331263581041,4306996535934184,3401164500063219
1,4079,66512,50000,-3355486065572683,-1478005329030023,1486966551354313,2241252915529070
1,3883,65818,50000,-2652295446001627,-1084955088481907,7326818629875885,2280472870949488
1,3882,67617,50000,-5260675731556360,-2336095390984200,3606976082972198,5904833954216636
1,4056,66750,50000,-4733353265471419,-2418682987629192,5978629780963358,530486028222026
1,3882,68375,50000,-1373995261072447,-331334299421099,4900466893001459,6132466010690261
1,3883,67215,50000,-2875967197244449,-1933010657388035,8261880374400976,1193432776684105
1,4258,85769,50000,-2526382835139002,-434127568004612,2109608561732162,1416824648772616
1,3883,64027,50000,-2644770187865819,-4116550527066674,1327761902797160,4191781600718922
1,3883,67605,50000,-730473361765022,-3595103632475795,3815571205349837,3756210373182237
1,4104,68347,50000,-6971316336562898,-3262391899464303,838172423897900,122329392542339
1,3907,68039,50000,-7617957953273004,-208095874403315,2426437854778003,8795644452848024
1,3882,65877,50000,-4981198632434684,-1292257661014294,2469654856829731,312957219918398
1,4555,84047,50000,-8485442041696560,-312945417969295,810357424902015,6983036990785011
1,3882,65618,50000,-918800679427341,-2763771263271465,2977499602566,7888167426877879
1,3922,67055,50000,-8421865609310056,-7023519488305743,6339391552357774,8952472619204851
1,4049,69820,50000,-1596133647958356,-396961882906730,1197291333315647,5511686156970913
1,3920,66350,50000,-2025866897095405,-188169505918844,8972455387844074,6434390553732225
2,4048,65738,50000,-6676566895220269,-3724298746894482,2520466772135425,4946189581078284
2,3882,68796,50000,-7622108044150350,-5671187125523980,4754936948298086,5561488047629711
2,4853,68488,50000,-1680973992435191,-205829463828325,8014085703837965,7700961573411562
2,3902,65653,50000,-8743224529196297,-1894828855673657,3345532425569152,4389615419622270
2,3884,72971,50000,-7049266795430855,-1726764589766724,3051754699271956,3385931908375202
2,4857,68975,50000,-2598874663672927,-3485440941636445,7749006022855536,4717545767597426
2,4858,64350,50000,-2713166969285504,-7112526727031480,1773834472684001,624446359871958
2,4269,67615,50000,-7044034611350428,-954854555570620,1363766499296452,631261094199818
2,4853,67469,50000,-7789987748984653,-526382728514183,7986977695861402,4310587048979882
2,3884,65827,50000,-2260168081517500,-1102612287656311,1461286994110067,3339364454169952
2,3939,68983,50000,-6100195730709594,-4793036780373610,4221693158971475,5386936727758601
2,3898,65840,50000,-5161580369328442,-2849310072527481,3305665056736345,2161087012027210
2,3884,70185,50000,-2490975228278110,-7492592724495142,6450904802011245,5637411219109736
2,3882,63755,50000,-1606929345207832,-2990151746441050,4620450199266022,3743414578757735
2,3914,70783,50000,-5436435923499349,-7972157631776011,3262106135134289,7201110148239913
2,3888,67428,50000,-2413548530454646,-5813854535543631,5722348703397568,4956589878855909
2,3894,68168,50000,-125603740134582,-7326863142961446,1760992604045462,5918817466189504
2,3885,66656,50000,-964258829114747,-4136835313816108,6436365766187062,6548040106048117
2,3884,71579,50000,-2658747664190510,-8011916765161744,4703503647260074,6245664747013227
2,3884,63548,50000,-851585542072119,-2179889219785749,2061024932506447,2329267053410422
2,4852,71383,50000,-7216099900324041,-6657617823241021,7055222548068997,1034944664771360
2,4413,66763,50000,-3575423296098181,-5977034703437874,7829416658022142,8082331935061423
2,3885,63977,50000,-4046503063447412,-2331401494934057,6070934770464071,3872362214741098
2,3893,66591,50000,-1906730704211687,-5204315074881720,4951810978359817,3178732963138236
2,3934,73221,50000,-1433205873233652,-4682770062531674,7198085898463690,1087145248899145
2,3949,67368,50000,-4259585007669791,-6943658273597147,1923683851155922,424282396615166
2,3951,67142,50000,-28941438633741,-2543934709335587,8946558883110198,1102275077419692
2,3901,64575,50000,-7862062336346704,-2306392706924255,3192364704496954,8415768968202123
2,3883,73915,50000,-6572366071710542,-2953123376056310,1968102919759601,964681417327695
2,3883,63755,50000,-6951567159905360,-2658415885142153,4716284754207893,8628679192696593
2,4062,64584,50000,-4755100010272032,-3050488740732001,5585201904713139,7903347312725683
2,3918,65858,50000,-3545933985331376,-8983904913260418,3288218094343764,6668150615938009
2,3885,68127,50000,-2778941646570104,-1023791788359354,1373637478850870,3432410206638490
2,3905,70006,50000,-1786566738349099,-1397484128893244,4754906726325386,6200920022366002
2,3884,67517,50000,-8928614356617149,-6719567336647964,806574849787093,5153732184691337
2,3905,67917,50000,-205410855841657,-8351287821057169,6342995196648369,3683633687303719
2,4048,63511,50000,-1289051805086299,-7173729684718326,1043673634371167,8828923861465288
2,3885,65941,50000,-1724191722927886,-1000774157272027,1665167707351582,5718260862534875
2,3892,65181,50000,-7826239863380812,-8917136956956537,2811657044234283,6305996147454065
2,4318,65437,50000,-8736769323118910,-4920829193225405,5481318846181344,5412755595729819
2,3885,67131,50000,-3664262964140944,-4645401223947192,5629281556228779,1669654248903348
2,3882,65901,50000,-5100716931671820,-7811552038518345,3614460007604083,5049107419359139
2,4075,65119,50000,-2966389597054385,-2104573842532005,268300561600555,4726435027791535
2,3882,64575,50000,-8874048151011945,-6127014844095788,542595205502937,6039138911009477
2,3883,65633,50000,-4461723543323577,-3027980770930058,3435193391106567,1529279491159044
2,4475,66451,50000,-2861418105022659,-4090785266183453,2461297047332361,7000415678416837
2,3885,74530,50000,-4505447632589275,-7317461309172278,5462447716808637,5706621406453458
2,3912,99317,50000,-7113578624743667,-647973793289210,2889132192020670,3300050999223597
2,3901,98712,50000,-8877984048632757,-8568809288823093,994625540295754,8647127371762599
2,3904,92322,50000,-6702558300744124,-7765005970727783,5951352112237916,4703301933013640
2,3907,96670,50000,-2047464512134191,-4306252862045865,8100409432500800,1677680163021879
2,3904,96980,50000,-6916466890006517,-6081694059878023,7998689275844405,3548770635653752
2,3902,99525,50000,-6624895732841240,-3899663314277200,6808714199773266,1842854651799114
2,4037,90975,50000,-2300921957478328,-7493423957342478,5368983922977707,1845733923955425
2,3903,74686,50000,-8822393486010689,-1943706846299298,6999084352833056,5185032604569926
2,4181,70333,50000,-6766097475161316,-4255608628329065,8022192565682264,5162488807602702
2,3883,68222,50000,-5930902521312162,-1561836849109848,2358926800496642,6610569240884410
2,4502,67109,50000,-6365569751533669,-777192159516053,5143216390543531,4183537117179556
2,3883,67685,50000,-4293520740267163,-3958906274979991,3240105945207469,1661814461424292
2,4854,68987,50000,-6764493238126849,-6339315269717399,5127743244591103,4423266275182642
2,4045,67031,50000,-352024987426290,-3146926764853430,454282068332243,7182094623423182
2,3882,72495,50000,-2495781996382174,-4446826668963663,8131008495042521,5486050575670079
2,3935,71026,50000,-4184859467154492,-4618327916499039,5245624735692423,8965984036156000
2,4443,66528,50000,-8655534666129909,-4948828150534189,3459934864738467,7307716718109745
2,3883,70343,50000,-3249187830438276,-8397803215968561,7470003311905646,822117585780408
2,3882,69708,50000,-3515208923655979,-5216018837515223,1794066394734622,7572114079545303
2,4131,65770,50000,-7387034430354181,-8303090021672375,1041836250483802,7538870855540039
2,3882,72161,50000,-3191646343307130,-600555195246400,7476002543545845,5604370277696903
2,4194,74111,50000,-4125255866625139,-7005763643965513,6452081863991745,1337705416745095
2,4486,66802,50000,-6341843677882142,-6554438459453859,4475159843062435,769922241273134
2,3887,68796,50000,-1878456421756656,-1892701732149518,5125822315270555,1730066811788738
2,4199,66806,50000,-5407929352999834,-7509312705756806,1403177885275789,810944180720602
2,4044,63644,50000,-4540348812191583,-3611890552964351,8803606989868645,4466483399550361
2,4225,66167,50000,-7470609126077774,-7829158885029021,2780244317767675,2721581186315405
2,3883,66695,50000,-2310839731885585,-6533589535309957,1035061880189541,4352341018300210
2,3885,71046,50000,-8526106837683673,-2816122253200674,4897918829047300,7307654225277310
2,3884,67976,50000,-7548049200477160,-7328483686408037,2429137260961258,2762957428017397
2,3883,63856,50000,-2582921343153655,-8073308736471445,2538669452819917,7066824827550490
2,4069,66154,50000,-7043320741349791,-8582882484777723,1726195241262844,8326572336301517
2,3884,65944,50000,-8766697134677580,-2733803933749535,8160815382281741,3792733037966498
2,3943,67571,50000,-4902086258349610,-5376864258792978,6133282404275808,968542667717483
2,3890,67423,50000,-3825180597722234,-2621591007332282,6429507981738434,7616449921802819
2,3894,63787,50000,-6784161670625610,-3157471610084295,2234106175800089,7352635882389572
2,3900,66471,50000,-1326073026600872,-2586754083128087,2375152410418024,7805686878158664
2,4175,67117,50000,-1318301059953882,-2107098088143783,3028344516530530,8927270783277852
2,3883,63076,50000,-7824644148601125,-6226102342861956,8816990744864260,2884887079881720
2,3882,67493,50000,-8898915323746617,-8019025367466237,433727024166032,6005559106535512
2,4402,68840,50000,-3645237728715786,-8208163561398593,6632217548319976,7076489804804167
2,3882,64847,50000,-7638494829687080,-1461043267786776,7987332280619072,1004238215102052
2,3883,66935,50000,-1343371951010206,-2768401044231008,7320317118439754,6751220679742660
2,4139,64621,50000,-5490467264544878,-108744533640813,1138957482362092,5573209431180089
2,3883,66528,50000,-6290044054549121,-4276853845227776,4882964840979298,2767703393443556
2,3882,67651,50000,-1312307429316142,-1692241395314788,8772888745896913,2979846906190112
2,4539,65794,50000,-4368231248085613,-3043283187560861,2829146542182279,4944681229774440
2,3883,66866,50000,-8438999783514217,-7853002808471929,221189595797867,2263612787271102
2,3883,66605,50000,-5804315523048235,-7538406777733324,455655146023636,2308202584424834
2,4058,65793,50000,-7662991918711408,-6525339827840078,2827335137355842,6798877516052242
2,3882,66050,50000,-8375940340938551,-3148084843552340,454495200444935,4199028778941907
2,3882,65613,50000,-420779460883931,-1873092021750343,3776073121684767,7863034554917729
2,4735,64289,50000,-8028162412927970,-1327503595655671,4764649539968985,957582373262251
3,3656,63640,50000,-7334592738244220,-7248980277846447,3821092620861687,1622317853523253
3,3716,64578,50000,-7789701019123295,-1207949008988735,6340583652190424,1730813090375982
3,3643,64312,50000,-7580540335445337,-6332643721341653,7389944564242860,2861292406779237
3,3673,62243,50000,-1996007085512511,-7468374937601645,3686414228754652,7670679788413432
