elapsed.ps,repeats.n,param.a.vector3,param.b.vector3,param.axis.vector3
47973,100000,-1.9486767183237702e+38; 8.540999535415357e+35; -2.5376415369946e+37,3.2136658607638084e+38; -1.1522716793087044e+38; 1.005952652423145e+38,-2.454919982956227e+38; 9.860482055224574e+37; -1.7459931793858068e+38
47839,100000,-2.4080116373212854e+38; -1.3917767159375212e+38; -2.2617563986139295e+37,2.0522453505874138e+36; -2.5338317398806742e+38; 3.390401504623532e+38,1.999002852801023e+38; -2.812717508644133e+38; 3.4408796050547403e+37
47794,100000,-9.715959999123874e+36; -1.1545200858253172e+38; 3.8829684418722945e+36,2.6671918282102206e+38; -2.446605006315114e+38; -1.266592771155351e+38,1.9958996441316643e+38; -1.887829083864623e+38; 6.522201272680025e+37
47815,100000,-2.9690656800184583e+38; 6.812872034131638e+37; -2.9516643866990054e+38,-3.1491856467446473e+38; 2.5547169426977464e+38; 3.394304347291515e+37,2.6639324449869137e+38; 9.037690615435637e+37; -3.2247810268748016e+38
46367,100000,3.0708395662240458e+38; -3.0040152634209667e+37; -1.1559490829939425e+38,-4.5097303928419375e+37; 2.425427077621437e+37; -2.4956711975077878e+38,-1.2911893506937473e+38; -2.550081195158736e+38; -9.64106897637323e+37
47996,100000,2.2112229779105274e+38; 2.1910882242487903e+38; 1.8604875844225165e+38,-2.9164969195113298e+38; -9.84091460055945e+37; -7.87225372546525e+37,-2.4994583290289816e+38; 1.0498155942560981e+38; 7.729535536168675e+37
47836,100000,-3.107188775330772e+36; 9.58491104066264e+37; -2.104534258209783e+38,-1.5384369943646621e+38; -3.1286354586282034e+37; 1.715523321086433e+38,3.0318867929320407e+38; 8.45606209643652e+37; 5.209505468963046e+37
47591,100000,1.4654016599746807e+38; -5.569462969861693e+37; 2.080567751725724e+38,-7.376871589763501e+37; -2.6955506933180463e+38; -2.504765018677681e+38,-1.658941685839222e+38; -1.5061805600153506e+38; -1.4411766541802232e+38
51037,100000,-2.67313153186265e+38; 1.4969316798240375e+38; -4.220637602857489e+37,2.694342673002053e+37; -3.0460664283100496e+38; 2.3135282632477305e+38,-3.0726426724378104e+38; 2.856517777831411e+38; 2.728773888721116e+38
48144,100000,1.8149832125333519e+37; 4.359957474424972e+37; 2.231754861152304e+38,-2.3958829592023978e+38; 2.3192811659077103e+38; -1.4828616708699363e+37,8.626598624624984e+37; 1.895566011832032e+38; -2.1742268486729865e+38
48477,100000,-3.2474737980357512e+38; -2.0172061125962043e+38; -2.34919447488756e+38,-1.1662466651738125e+38; -1.2548101711577051e+36; -2.9973393590059487e+38,8.147323257449734e+37; -7.933920363624193e+37; -1.690439963717549e+37
48164,100000,-2.271490129806818e+38; -2.7309664171992706e+38; 1.0791954505103597e+37,1.2302044043215835e+38; 6.269465716030602e+37; -2.1770475233765664e+38,1.9691169250741383e+38; -7.072333237805632e+37; 2.1119622850789283e+38
48092,100000,2.5692711941811348e+38; 1.0579049290903705e+38; -2.439013300400467e+38,-3.3009686533653825e+38; 1.4484553011026377e+38; -1.3559752206256355e+38,-2.9837475078582536e+38; -2.1668797486181597e+38; -1.5077250655066687e+38
48074,100000,-2.5942652075357148e+38; 1.8164149224742616e+38; 2.6895694107259294e+38,6.194510043099347e+37; 1.3124254391969627e+38; -1.33101730996015e+38,-2.2763211969503117e+38; 2.4921195447620923e+38; -9.395659933132886e+37
48228,100000,2.7612543422844997e+38; 2.927546015673039e+37; -2.7342160648659677e+38,6.388073697971077e+37; 2.0874698557138467e+38; 1.6504674922827202e+38,2.942242193317629e+38; -1.335354906077987e+38; -1.974864148659429e+38
48183,100000,2.0673361161725898e+38; -3.012664342054276e+38; 9.159437807322517e+37,-2.0808648890264175e+38; -1.9209731778702384e+38; 1.011312887633198e+38,2.6885865251565365e+38; 3.208858524039551e+38; 9.794241733700008e+37
48065,100000,-1.5638682964702968e+38; 1.644690250731216e+38; 1.4205139493965031e+38,-9.246558869534042e+37; 3.085181258054788e+38; -1.5997638007506955e+38,-2.337903054637111e+38; -1.4016994791879157e+38; 3.012709064767452e+37
48197,100000,2.2850507460437234e+38; -9.403405785360521e+37; -1.5741828398151978e+37,-3.1427928340616724e+38; 1.0730389532522793e+38; 3.219079033062927e+38,4.482173189973696e+37; 3.1700919432677073e+38; 1.0704556334470862e+37
48296,100000,-3.7271379282970786e+37; 1.1436903946294955e+38; 1.036157419628999e+38,-1.1355219583977688e+38; 2.6311211853228944e+38; 2.3955190927741083e+38,1.9108974852514324e+38; 1.2982719681273425e+38; 5.911283559797575e+36
48394,100000,-2.3883056537985695e+38; -1.753625450119661e+38; -5.123197731376627e+37,-1.3350727777604002e+38; 1.5396935910516564e+38; 7.8959932717858445e+37,-1.3758331193962827e+38; -2.9162393329093634e+38; 4.678905971345996e+37
48179,100000,3.2854761376137292e+38; 2.991430281792021e+38; 1.6484792076692743e+38,-1.0613269772386986e+38; -2.2853050874601532e+38; 6.228482572125224e+37,-1.627243220578107e+38; 1.5417872427829933e+38; 1.5501742219781993e+38
48339,100000,1.1325664056703247e+38; -1.3328704123135877e+38; -1.9220134626588097e+38,-7.656695825619321e+37; 1.1179454250593403e+38; 3.193518126359925e+38,2.887371379320486e+38; -8.82320210563606e+37; 2.9728298924168e+38
48051,100000,2.3668890518498817e+38; 1.227646691058515e+38; -2.9405885684626432e+38,-1.9143813947490516e+38; -1.5459610584432808e+38; -1.2550772302787817e+38,-7.728998559374419e+37; 3.277760100528212e+38; -2.274973025183957e+38
48309,100000,2.441129769842608e+38; 3.68199080570007e+37; 4.937159357528092e+37,-1.480343609717643e+38; 2.8381037838004478e+38; 7.706196567437753e+37,-3.330641666497453e+36; 1.7163090616344784e+38; -3.0220098679273504e+38
48364,100000,2.492462925956682e+38; -3.2418373164068965e+38; -1.6573520519865357e+38,2.9841870276743648e+38; -8.302211906628981e+37; -6.308456113192422e+37,-1.0655766491109038e+38; 2.6541932375434323e+38; -2.2565860067577666e+38
48081,100000,2.0296483060615404e+37; -3.258464937212018e+37; 2.4135600932924604e+38,-5.39087622653648e+36; -8.335711855511092e+37; -2.919075422244242e+38,4.000555965079585e+37; 2.263519954128967e+38; -4.495330896143825e+37
48318,100000,7.739618429042891e+37; 3.0892612675706585e+38; 2.1856855988026656e+38,-2.9064772063430298e+38; 3.0340069132079104e+38; 2.279072100164855e+38,2.023364866272353e+38; 3.201550163387067e+38; -2.1725868130324353e+38
47947,100000,1.1738615944474555e+38; 1.4646180490796437e+38; -7.818392265582033e+37,5.160608635890562e+37; 1.1981620508056386e+38; -2.522539102685649e+38,-8.252464226473624e+37; 2.4265339394195322e+38; -5.379922330934848e+37
48202,100000,-2.029001956373496e+38; -1.7684815038579516e+38; 1.9710624138033205e+38,-3.1713888005377648e+38; -3.343250226427563e+37; -1.0783535530407241e+38,1.6247173506981161e+38; -2.4444092326514225e+38; 1.6888084973950552e+37
48107,100000,1.0823284489688238e+37; -1.6574002227093444e+38; -1.8011065710018095e+38,1.2489945356386465e+38; -1.728732443164907e+38; -1.2121126977792223e+38,-8.754251040067966e+37; 2.1171791236530836e+38; -3.3613208392639364e+37
48077,100000,-2.7804108753310527e+38; 2.9468354507930832e+35; 1.5846719640007623e+38,1.871420665201293e+37; -2.7765330814389305e+38; 3.879067373915152e+37,-1.2277035832174533e+38; 2.9645966538863897e+38; -2.3511259687541157e+38
48207,100000,2.8472604804401123e+38; 1.0629194506287293e+38; 6.837804693197167e+37,1.857874804417374e+38; 5.90748200241255e+37; 3.368073005539064e+38,-2.531819116375704e+38; 2.911998889533528e+38; 1.7087701913968491e+37
48065,100000,-7.617905083427037e+36; -2.9057214837611977e+38; -5.562961950523483e+37,4.68587044374365e+36; -1.4764469785376014e+37; 7.102561634018674e+37,-3.2303136625664857e+38; 2.5543125114502496e+38; -2.8003900629111297e+38
48265,100000,3.0383386274269623e+38; -4.76168659790234e+37; 7.820636007144437e+37,9.719600438117609e+37; -1.556281711864075e+37; 1.1887628779591624e+38,2.571965915121076e+38; 1.7788052503462103e+38; 1.0824149027397593e+38
48187,100000,1.3610499809205171e+38; 3.126950446744356e+38; -2.644594384374408e+38,-2.6663129914020943e+38; -2.1135333605268272e+38; 7.2662376371587025e+37,9.70822302045044e+37; -2.5260197669977318e+38; 3.2140619762233677e+38
48324,100000,-3.207497777179242e+38; -8.416813605612494e+37; 1.6679635044550222e+38,6.923126198616608e+37; 2.1542655096133607e+38; -3.2807937405326302e+38,-3.2537453219092964e+38; 2.6477691899496677e+38; 3.2814715786615843e+38
48093,100000,2.4497256578567317e+38; 1.707687212136062e+38; 1.2137433020993079e+38,-3.010337544024545e+38; -2.8116080608388134e+38; 1.0664314512636497e+38,7.855779338264684e+37; 7.507217509201849e+37; 3.2858706304805203e+38
48428,100000,3.0365720295504842e+38; -2.1726951210997188e+38; -1.3495340343957558e+38,-1.1506773805018094e+38; 2.05200667099415e+38; 2.2132291110444245e+38,-1.0217036674851968e+38; 3.3887578181492522e+38; 1.8775456993714757e+38
48050,100000,-1.4636695421945289e+38; 3.032287776169905e+38; -3.3847487970669944e+37,3.2686520816715962e+38; -1.968259790444288e+38; -1.4135879121650481e+38,-3.348460726748717e+38; -1.566818880007388e+38; 1.5018086866252835e+38
47902,100000,3.3852059625794607e+38; 2.5380332410300707e+38; -3.0748607567520658e+38,1.7550580727690029e+37; -6.158016917619977e+37; -6.511904400384491e+37,1.8845974875424733e+38; 3.4884322214307417e+37; 8.668976691250853e+37
48128,100000,3.8738596117192945e+37; -1.2821932907381437e+38; 3.319655445805515e+38,-1.5023306544364335e+38; -2.5286952196485495e+38; 3.0392511330350306e+38,5.465598271462113e+37; -3.177166954797701e+37; -3.1465598859973586e+38
48399,100000,1.769822373956849e+38; -1.2939297070552967e+38; 5.369697461193407e+37,8.640363281902502e+37; -2.2697320505423734e+38; -2.3125999373601714e+38,-4.745822711230844e+37; -1.9973960803122217e+38; -1.4679940561581715e+38
48055,100000,1.2793376288779975e+38; 2.8183499337910673e+38; 2.2129455629581655e+38,1.4241686367829851e+38; 2.589033968450741e+38; -1.0134705303668345e+38,-3.115264533627116e+38; -1.2359658255935968e+38; -1.4070629595835054e+38
47936,100000,8.842466338277609e+37; -2.5899700016539494e+38; 2.622882470541891e+38,-2.8381970828846246e+38; 2.6415905595121073e+38; 2.647642424889645e+38,-3.073333694133007e+38; 1.1315004097584543e+36; -1.925448288725188e+38
48100,100000,-1.136456166184113e+38; -2.8962731260714326e+38; -2.0685404856548546e+38,-1.2094464736247743e+38; -4.2483636567856807e+37; 2.106529033194302e+38,1.3118510413569873e+38; -3.1529234920105043e+38; -4.204713376017422e+37
48124,100000,-7.659551081831275e+37; -1.6685349613456051e+38; -1.9901522177222775e+38,2.977868702140659e+37; 1.976796453822369e+38; 1.929534991436228e+38,-2.1285930496575386e+38; 8.709218006024979e+37; 2.0086035313869115e+38
48348,100000,1.289654099051811e+37; 1.0680225048850081e+38; -2.046097999428414e+38,-3.0849332041853352e+38; 7.97356030495357e+37; -9.39251514552384e+37,1.5474602581021467e+37; 1.917770788217918e+38; -2.5378555671219427e+38
