elapsed.ps,repeats.n,param.a.vector3
38610,100000,1.5858661922782253e+38; 3.2767005474505173e+38; 2.7088105214205296e+38
38249,100000,1.2436667522839593e+38; -1.9801819936334104e+38; -1.6157923805881733e+38
38514,100000,-1.1407904157043653e+38; 2.648859115935744e+37; 1.954257017678023e+38
38987,100000,1.3159575194173906e+38; 2.5013916483124017e+38; -3.399047895837569e+37
38908,100000,-3.2676817711961575e+38; 2.665854811769148e+38; -2.0627182171540304e+38
38807,100000,-5.077136379166734e+37; -3.119179038680621e+38; 8.338573196445927e+37
38931,100000,6.630837407938864e+37; 8.691603747404687e+37; 3.2068022933539327e+38
38893,100000,-1.2122283075139631e+38; 1.7277118323136514e+38; 9.013781710994853e+37
38794,100000,-2.0713684620258918e+38; 2.0781817290599504e+38; 4.707629919826688e+37
38404,100000,-1.5463781661967799e+38; 7.1384280330412915e+37; 2.5118399287956268e+38
38336,100000,1.9551364629584372e+38; 1.7249838482219603e+38; 1.465431170880654e+38
38485,100000,9.566457090284757e+37; -7.822171765846614e+36; -2.81182163461194e+38
38351,100000,3.1951433558414656e+38; -2.319999064964758e+35; -8.077554303714373e+37
38172,100000,-1.9445902184368265e+38; 1.410354997486274e+38; 1.4225143020436633e+38
38388,100000,5.736446019887597e+37; -2.9340420151148726e+38; -1.9885065030070372e+38
38691,100000,1.9455196598569138e+37; 2.8549250002052363e+38; -2.6358110868955467e+38
37810,100000,1.3214868085114901e+38; 1.2628318039425458e+38; -1.5724403526531361e+38
38769,100000,-2.6863585024615753e+38; 7.598899071212755e+37; 2.6989962690615147e+38
38490,100000,-2.0150283902770602e+38; 4.155175872331583e+37; 2.399483492555238e+38
38599,100000,-2.4880095172800083e+38; -3.0806956003468443e+38; -1.6520525625932456e+38
38359,100000,2.0152537278477568e+38; 2.3765682233609363e+38; 2.972512269882407e+38
37784,100000,-1.5463746421281112e+37; 2.0610851535917804e+37; 1.9972664757148544e+38
38561,100000,2.168975022942265e+37; -3.0379339933553694e+38; 2.949890689979166e+38
38484,100000,4.2024222243225694e+37; 7.516514458703923e+37; -4.385596975465188e+37
38701,100000,1.2129970108379415e+38; -1.8934079634502035e+38; -1.992853834681484e+38
38468,100000,-2.9275488045043596e+38; 5.358575094827005e+37; -2.184544510438364e+38
38393,100000,1.0352888254377227e+38; 9.766171892929034e+37; 2.631691932329141e+38
38660,100000,2.116054666864657e+38; -2.1919459673509287e+38; -1.986106485478637e+38
37754,100000,3.1391318591282132e+38; -1.4790649052041807e+38; -4.706280125467565e+37
38278,100000,-3.0080064866887973e+38; -3.4588531158551362e+37; 3.3699681938924293e+38
34423,100000,-1.5653273116051355e+38; 1.7319553180509274e+38; 1.6488870869264037e+38
38392,100000,-2.162614763526704e+38; 2.995929528714399e+38; 3.031767329539475e+38
38613,100000,3.1454425280522934e+38; -9.616525232511851e+37; 7.896518079134339e+37
38426,100000,4.878446345267682e+37; -3.1874275215800444e+38; 1.41969636546538e+38
38568,100000,-2.549175991218125e+38; -1.5867547646429613e+38; -1.6052366033340488e+38
38247,100000,-3.24681218583448e+38; 1.8963008435319724e+38; -2.3347217586907782e+38
38379,100000,2.952933862716098e+38; 9.355885113779645e+37; 2.292857445500169e+38
34228,100000,-6.524465803712273e+37; 1.6223010058299851e+38; -2.1422226260870964e+38
36368,100000,-3.1414602797507124e+38; 8.964883863801889e+37; 9.20372444869209e+37
35468,100000,1.6110318962301002e+38; 2.2923767523925624e+38; -5.915607135699773e+37
32227,100000,2.6682645648541577e+38; -3.094363307706457e+38; 3.001007432782769e+38
36147,100000,-3.307902803560679e+38; 2.9248774083354626e+38; 2.672226125097943e+38
38790,100000,2.313685451922159e+38; 1.9043117868531267e+38; 2.0470240942509168e+38
34090,100000,-4.894198171626118e+37; -3.009321800951594e+38; -3.3168479546681775e+38
35465,100000,2.4577295023345247e+38; 2.9051748728223793e+38; -1.8398968821928893e+38
37288,100000,8.803628566248056e+37; 1.3209961263171538e+37; 3.361724814157217e+38
38832,100000,-1.915772159575574e+38; -4.2318005340430987e+37; 2.0869289238497173e+38
38718,100000,3.525725487968976e+37; 3.0329907644867675e+38; -9.659643607088254e+37
37653,100000,-4.47064416129474e+37; 5.53784167916912e+37; 3.0470328851276636e+38
38443,100000,-3.1756973674568565e+36; 1.1954306187043148e+38; 2.7257017121384507e+38
38456,100000,2.7068536745419693e+38; 5.714651303117873e+36; 3.256763952930608e+38
38368,100000,-1.3173053869476013e+38; 2.652419946471785e+38; 1.4815027494264916e+38
38300,100000,-2.9607358972183346e+38; 1.5008624108052251e+38; -2.9871066805368104e+38
38528,100000,1.2735953744830597e+38; -2.872935374285087e+38; 2.1521105035929727e+38
38389,100000,1.8176740544624563e+38; 2.9348841407616162e+38; 2.9644236449324705e+38
38320,100000,-7.643269377521944e+37; 1.8803284459690967e+38; -8.166365397706123e+37
38576,100000,2.2182984965007612e+38; 2.179405283772208e+36; -1.317621981100445e+35
38368,100000,-1.470863002996608e+38; 1.179507507396776e+38; 1.123648230167599e+38
38430,100000,1.5095971319130858e+38; -9.619877914819335e+37; -1.3690800911187469e+38
34952,100000,-1.161661116598571e+38; 2.323034831453058e+38; -1.1743219037334104e+38
38034,100000,-3.162197015329486e+37; -1.4448544635136534e+38; 1.2272978336133322e+38
38225,100000,1.0543741672265668e+38; 2.9420010354674416e+37; 5.165615348701224e+37
34924,100000,3.5570161753850096e+36; 1.11584376177621e+38; 1.5769301682550485e+38
35652,100000,-1.9768173447042607e+38; -2.2203504678803627e+38; 1.0423672849773491e+38
38096,100000,-3.1400666753868455e+38; -3.0617719093625412e+38; -9.172212683011377e+37
38029,100000,-1.6686470216586653e+38; -5.139483999228119e+37; -1.5546420311656917e+38
37589,100000,1.6368107374242935e+38; 2.8460518009458067e+37; -6.9676947654796725e+37
38516,100000,-2.7225234585535585e+38; -1.0902460424997773e+38; -6.366950582489354e+37
39602,100000,2.3194781081049617e+38; -2.3500631704908843e+38; -3.251316503359259e+38
38622,100000,-2.950469144301062e+38; 2.394984651281052e+38; 2.9581095279987577e+38
38907,100000,-2.582670159613499e+38; 9.68389427013086e+37; 3.206903299753759e+38
38789,100000,-1.3367973910489987e+38; 6.567677477372853e+37; -3.577990468686266e+37
38894,100000,1.3605752711237437e+38; 1.9586365983837394e+38; -5.59954989626775e+37
38928,100000,1.2300326123122406e+38; -2.983326850683074e+38; 6.216825257205525e+37
38187,100000,-7.774195373874956e+37; 7.042368512917437e+37; 1.7512639691695078e+38
38914,100000,3.039209351271247e+38; 2.8721820855924073e+38; -2.7793286059546018e+38
38687,100000,-2.8664253292746028e+38; 1.698055298639384e+38; 1.3350844401459223e+38
35694,100000,7.284026831561825e+37; -8.919600342000296e+37; -2.2840173572744173e+38
38002,100000,-5.289325877837737e+37; 1.7509339743652563e+38; -2.364602818639358e+38
38607,100000,3.011383355769733e+37; 1.9215504152475583e+38; -1.799942157866464e+38
34648,100000,1.728282579319898e+38; -1.673571590710432e+38; -2.4723245214612164e+38
32021,100000,-5.4029859659554e+37; 3.171611907043405e+38; 1.0312043537917393e+38
39638,100000,2.081334223984646e+38; -3.064092622669391e+38; -1.559792039200203e+38
37088,100000,2.8479715817208164e+38; -8.805753148654039e+37; -1.6141820333246794e+37
38673,100000,1.522450906175304e+37; -2.922364620609666e+38; -1.4060067531033952e+38
35191,100000,-1.6480021653953964e+38; -2.683317966437892e+38; 1.2544614563232148e+38
37562,100000,-3.9498484198897357e+37; -2.7887627659576443e+38; -5.836646193932037e+37
38466,100000,-3.2404774822550196e+37; 1.02717545594807e+38; 1.7276968233305447e+38
38533,100000,3.2378883312570655e+38; -1.7812486722311622e+38; -2.1169631920498407e+37
38501,100000,-3.3883858387571212e+38; 2.82033172803344e+38; -2.5678491944438228e+38
38607,100000,-3.2988428540148238e+38; 1.1636522407493614e+38; -2.4144170250982147e+38
38734,100000,2.4325882386862222e+38; -3.288941590118609e+38; -1.2638184417577155e+38
36437,100000,1.397396667402549e+38; -2.877257555771625e+38; -1.3377950827774023e+38
38540,100000,-2.5964587501343497e+37; 1.6325494031665662e+38; 7.129350640623177e+37
37135,100000,3.1320403174343925e+38; 3.091357454603196e+38; 3.099438930003747e+37
38733,100000,-2.038982930139453e+38; 3.089263295811619e+38; -6.797976632518716e+37
38538,100000,2.1986446387707267e+37; -2.4168168398025187e+38; -2.7139080994262154e+38
38615,100000,1.209234116796224e+38; -1.6799399630898345e+38; 1.0570331911256056e+38
37296,100000,1.5766929654747338e+38; 2.273500522246732e+38; 2.1183660502630893e+38
38296,100000,-2.069797792226185e+38; -1.9976394692274655e+38; -3.0254974282586983e+38
38367,100000,7.440723150496997e+37; 5.55222545699979e+37; 3.0061297553281714e+38
38492,100000,-2.2943194015844e+38; -1.6016922522558107e+38; 1.415992188999465e+38
38609,100000,-7.884795353443668e+37; 1.3453265499355263e+38; -2.3112937501816962e+38
38547,100000,-2.4836321676393482e+38; -3.036238181088408e+38; -2.9458847112583488e+38
38524,100000,2.7040482116455922e+38; -1.9298430812381074e+38; -2.9406843014359725e+38
38481,100000,2.746194146093548e+37; -2.515679997405886e+38; -1.8869202290902835e+38
38181,100000,1.843972632402743e+38; 2.8413390309563262e+38; 1.2638867934780798e+38
38493,100000,-1.1668294802137734e+38; 2.6346775030227986e+38; -3.125833291623387e+38
39933,100000,1.591074208004203e+38; 2.252688944576521e+38; -2.527632624209414e+38
38541,100000,-6.757511704178711e+37; -7.187193537511591e+37; 1.2850520963717784e+38
38851,100000,-1.0817731672998998e+38; 1.651827453199657e+37; 2.9453170066135426e+38
38681,100000,6.089090190943407e+37; 1.7175211637854047e+37; 2.0158396866612063e+38
38411,100000,1.8180541468184287e+38; 1.4877357367217898e+38; -1.0388742483954082e+38
38499,100000,-2.183859776290145e+38; -2.784956366147327e+38; -1.0595581482971642e+38
38720,100000,-2.4683755363113854e+38; 3.157715008455271e+38; -3.1874601762595063e+38
38460,100000,1.8049569836409667e+38; 5.947254793524831e+37; -1.3802368361694276e+38
38561,100000,3.897518028401474e+37; -1.1436305108151407e+37; 1.4576234573037284e+38
38600,100000,-1.3942893008392216e+38; 3.156969984844505e+37; 9.322284259909756e+37
38570,100000,2.2850848204918575e+38; -2.6389688552467393e+38; -1.7115094322258703e+38
38649,100000,2.772636424905877e+38; -2.2775316511554577e+38; -9.69333066119896e+37
38782,100000,3.0011663454620137e+37; -2.1939948963690896e+37; -1.084228860042662e+38
39092,100000,-2.033550692375307e+38; 2.10810578771689e+38; 1.2062394190182449e+38
38680,100000,2.390814186972039e+35; -3.0326646233403407e+38; -9.998772594504672e+37
38502,100000,-2.0451384386300653e+38; 1.008018720077421e+38; -1.775036981465948e+38
38259,100000,1.1286125527421888e+38; -1.705714342153915e+38; -2.466339790859467e+38
36496,100000,-3.584506763214209e+36; -1.2977180048150428e+37; -3.2340438005166933e+38
37435,100000,-2.3824292312641035e+38; -1.0902212979600608e+38; -3.276820416491275e+38
38677,100000,3.0523381550076908e+38; -1.4666569383050508e+38; -8.866844780500718e+37
37322,100000,-2.0129457924589573e+38; -1.3795133626188653e+38; 2.5983342645503994e+38
38415,100000,-2.805241412464227e+38; 3.358780213930959e+38; -1.0928586196808236e+38
38317,100000,-1.1564823075424225e+38; 5.4508423114152165e+37; -2.77863991673651e+37
38365,100000,-6.795100079776678e+37; 1.0020409869069847e+38; -7.284765618331638e+37
38540,100000,-4.676588706048779e+37; -2.8210625032514596e+38; 2.130450677523619e+36
38285,100000,-2.9702544320453283e+38; 2.3233150329417325e+37; 5.926413603536599e+37
32017,100000,-6.464473985526352e+37; -1.1951050860301762e+38; 4.997203402918743e+37
34975,100000,1.9996159900433414e+38; 3.1937377848559326e+38; -1.8315228837398297e+37
39410,100000,5.208290552627787e+37; -2.019504109604298e+38; -4.430868834881259e+37
38364,100000,2.9072595495874666e+37; 2.0904357524701887e+38; 2.8015492026199784e+38
33888,100000,-4.940324934606982e+37; 1.816610850551033e+38; 3.2621114102226106e+38
35444,100000,-2.4702853279996653e+38; -1.1606993247351658e+38; 3.1195753569642763e+38
39499,100000,-1.2893230647740673e+38; 2.0099202654183806e+38; -6.535950211090101e+37
38448,100000,1.8352690447936241e+37; 9.377929050657374e+37; 6.751226692502779e+37
38649,100000,-2.6724910133673666e+38; -1.881790199229232e+38; -1.7577208742668303e+38
38759,100000,1.937938805031405e+38; -2.7785613223992957e+38; 1.1611979677752715e+38
38310,100000,-9.247007871376643e+36; 1.7156494776741677e+38; 1.4284328105780568e+38
38336,100000,2.9271926453917194e+38; 1.3976840691466328e+38; 2.2291856883278094e+38
36232,100000,-2.065964619635191e+38; 2.0571490731250597e+38; 3.1495188867344353e+38
38017,100000,-3.0518463065748022e+38; 1.265665763624416e+38; 1.1560826426611826e+38
39972,100000,-3.105026581731481e+38; 1.1036342582550517e+38; 2.2053972614000705e+38
31825,100000,-9.255345209374344e+36; -1.148947164197558e+37; 1.9645957731493883e+38
35173,100000,-1.4677229817538187e+38; -1.8450190019141955e+38; -1.0060341877097517e+38
37100,100000,1.3994045245412625e+38; -2.4550794026957116e+38; 3.087852654223685e+38
32220,100000,2.1114728705351922e+38; 1.1657242917144705e+38; 2.526087104597616e+38
32015,100000,2.6185422377108056e+38; -2.607308825151823e+38; 2.166868948235046e+37
32022,100000,9.170758434242795e+37; -1.3285857532848162e+38; -2.6270855942840558e+38
39049,100000,-5.233620239861308e+37; 1.596745473965528e+38; -2.7624925833908026e+38
37390,100000,-9.780005510399204e+37; 2.7041386711924245e+38; -2.826891464947453e+38
37934,100000,-6.50239955618398e+37; -4.795871078108575e+37; 6.310284192123011e+36
35411,100000,2.5557069271105007e+38; -9.271468710888767e+37; 5.233107601958575e+37
38562,100000,-6.022037051853975e+37; -2.6608927202596145e+38; -2.527548249385463e+38
38057,100000,-3.4655240003737773e+37; 1.8287295902892148e+38; -1.3760728574777979e+38
38228,100000,-1.4299086601128665e+38; 7.8707710813232235e+37; -2.589345506262253e+38
38687,100000,-2.1534213557256567e+38; -1.4881353001909817e+38; 2.524072452851685e+38
38168,100000,-8.558283412597964e+37; 9.139171623646548e+37; -1.492502711450936e+38
38297,100000,3.1688425468361224e+37; -8.673113288689518e+37; -2.1602739706343464e+38
38300,100000,-7.0644058580120445e+37; -4.267311483837412e+37; -1.727109647572519e+38
38344,100000,-2.9966834258793666e+38; 1.5642256725275131e+38; -1.1186254942533507e+38
36530,100000,2.637590868338267e+38; -1.243503377474602e+37; -2.9244230823603408e+38
35302,100000,-7.609816078181921e+37; -2.5019749704126027e+38; -3.2648156638950655e+38
36989,100000,2.067647856808198e+38; -2.24141963215254e+38; -2.9088072495582973e+38
38306,100000,2.4058075478696566e+38; 2.8086488572776407e+38; 3.3899155380894286e+38
38225,100000,-7.963632572512822e+37; 7.022643869577886e+37; 3.2611786222049387e+38
38273,100000,1.1402602335173259e+38; 6.442382892046295e+37; -4.036507550222538e+37
38594,100000,1.5699270578670996e+38; 2.3139955699649987e+38; -9.197081959546894e+37
38227,100000,-3.2839281841127785e+38; 2.0385314437016758e+38; 2.3595119338288415e+38
38308,100000,-1.874414095328672e+38; -1.5253410481317763e+38; -3.0576588395190167e+38
38304,100000,-1.4388854517793467e+38; 1.9469287802641275e+38; 3.2297008675898294e+36
38232,100000,2.2380071167367256e+38; -8.223098846789217e+37; 4.502094065626163e+37
42822,100000,-1.0603414549560572e+38; -3.303004398817301e+38; -2.420011927787382e+38
38849,100000,7.568124571121135e+37; 2.1599642582396987e+38; 1.7155523249321662e+38
38374,100000,-3.271900512393717e+38; -6.174824950458523e+37; 8.610331118002375e+37
38325,100000,1.7973007796637803e+38; -1.9529828767067215e+38; -1.8679180451808143e+38
37946,100000,1.384316440037106e+38; -3.3487231811289883e+38; 1.6943350990698822e+38
35759,100000,2.5401762804287925e+38; -2.3486707830715936e+38; 2.397154919814667e+37
38626,100000,2.3095243127678736e+38; 1.2752332804706026e+38; -8.058387426638922e+37
37628,100000,-1.0241641265942158e+38; 3.33108113560754e+38; 2.2819449006611162e+38
38229,100000,6.180325286412914e+36; 1.4293973405667585e+38; -2.059288892691257e+37
38405,100000,3.0738158070092856e+38; -3.3335606601815864e+38; -3.8465764749108224e+37
38527,100000,-5.510659193818306e+37; -2.842821472274257e+38; 3.8222718099526466e+37
38414,100000,-8.89923376039679e+37; -1.6235247450134214e+38; -7.438712149584795e+37
38695,100000,-2.584668382607651e+38; 6.342283496224573e+36; -4.854954244344252e+37
38578,100000,-1.740812037852554e+38; -2.2411299993434e+38; 2.75158105267223e+38
38761,100000,-1.2695955818971716e+38; 9.69783335613097e+37; 9.209936950753689e+37
38832,100000,-3.0038542717947377e+37; 2.8285379909590775e+38; 3.295661355244395e+38
36302,100000,2.4666444326517138e+38; 2.075780291762878e+38; 1.2042258828048423e+38
38783,100000,2.4797781041664624e+38; -5.997885265558187e+37; 3.2050963398821696e+38
38482,100000,1.299646709850278e+38; -2.2980221582816428e+38; 6.663789478231557e+36
38569,100000,3.2749252281379096e+38; -1.3331064995613742e+37; 2.456009351176039e+38
38284,100000,-1.762484198162248e+38; -2.3471303340621963e+38; 2.5801565605913186e+38
38518,100000,1.577043851160877e+38; -2.081096311319995e+38; 7.743914750457184e+37
38540,100000,-2.825708797643464e+38; 2.6051822145048803e+38; 1.1657680003071663e+38
38719,100000,5.293435094023437e+37; 3.1790512920619284e+38; 1.598389160439808e+38
38678,100000,-2.0480110363022305e+38; 5.642643424892389e+37; 2.8163573898716045e+38
38648,100000,6.582470959877516e+37; 2.1840254835766067e+38; 5.408342043271485e+37
38666,100000,2.8913791834581675e+38; -2.773087302871366e+38; -3.1396764418260713e+37
38627,100000,-2.9105022505288745e+38; 1.2374311282754126e+38; -2.3323799516779406e+38
38697,100000,-3.31124128818144e+38; 2.158011265018963e+38; 3.122556871176013e+38
38639,100000,2.34818380241701e+38; 3.859903792731262e+37; 2.662095162912967e+37
39110,100000,-3.381357375357168e+38; -1.2421346190624995e+38; -3.3698862529576305e+38
38392,100000,1.3005210845282914e+38; 5.041423619396864e+37; 3.711826230227042e+37
38456,100000,-1.060717896478301e+38; 1.3600075664789375e+38; 2.489028911186688e+38
38488,100000,2.3661175089885588e+38; -2.0299714555525506e+38; -1.4952785620292918e+37
38491,100000,-2.7351198490379064e+38; 3.360925078746545e+38; 9.50304008017702e+37
38173,100000,-2.9764245438708552e+38; 1.159478830737266e+38; -1.2918454866444255e+38
38327,100000,-2.4643701660628563e+38; -2.0086467329193673e+38; -1.6751340461342492e+38
38373,100000,-6.127272841142762e+37; -2.2749379366153427e+38; 1.0210649744067778e+38
38601,100000,-2.9946941271454405e+38; -2.1215067813902147e+38; 1.9897638095783676e+38
38458,100000,2.1198324684774333e+38; 1.8860271692424227e+37; -3.2681401536532e+38
35903,100000,-1.066350423037283e+38; 1.108307122603637e+38; -6.36992854727941e+37
38544,100000,-8.972200869831466e+36; -1.4049483155582287e+38; 2.5768235522211505e+38
38931,100000,-2.401476644946989e+38; -2.423815690884451e+38; -8.606726933815806e+37
38982,100000,-6.966718167457257e+37; -1.604676301768748e+38; 1.6934701557123345e+38
38754,100000,6.74339818945601e+37; -6.1433892438138235e+37; 2.2862719499259593e+38
38687,100000,9.728933135366609e+36; 1.4369349938598116e+38; -1.9054703180896873e+38
39039,100000,-1.1694398263297634e+38; 1.1629380971072168e+38; 5.759244969462822e+37
38867,100000,2.513524585737306e+38; -1.3374571778334055e+38; 2.100423622255411e+38
38761,100000,1.9894569367210643e+38; 1.6771251702850397e+38; -1.9126659592507988e+37
38353,100000,-2.073386764605551e+38; 1.2809307107403164e+38; 3.256964545961588e+38
38032,100000,1.4564528580334536e+38; -1.8035846758071836e+38; -1.8779172731154146e+38
38685,100000,1.1997569580848217e+38; 1.6269867495086687e+38; -2.987166107996949e+38
38605,100000,-3.3041341290322244e+38; -5.455147379618652e+36; 2.8441329328792293e+38
38293,100000,-9.843034112363032e+37; 7.995519055710963e+37; 4.966350308489908e+37
38262,100000,1.3556914697152804e+38; -2.8330033662574175e+38; -1.0785089162982881e+38
33867,100000,1.9968604218745893e+38; -2.424184019442853e+38; 7.270300203802314e+37
35593,100000,-3.376232416098517e+38; -8.082229906188255e+37; -1.1439016359255175e+38
35942,100000,-3.3475482211406488e+38; 1.709879943438313e+38; 3.2356331301332354e+38
34962,100000,-1.69076843734108e+38; 4.655789602060474e+37; 1.8192479694476997e+38
33698,100000,-1.2972296550978109e+38; 3.2586169538719975e+38; 2.761594833235721e+37
33944,100000,6.891302083827999e+37; -1.5352728370544444e+38; 2.52877553799058e+38
38499,100000,-2.349322862540351e+38; 3.1969095480697516e+38; -2.115448222817508e+38
38587,100000,-1.1518612647503745e+38; 5.18475782350262e+36; -1.000132412163281e+38
