elapsed.ps,repeats.n,param.a.vector2,param.b.vector2
61662,100000,3.1741105e+38; -1.36450042e+38,-9.61155807e+37; -1.50616261e+38
60690,100000,2.68092464e+38; -2.9243957e+38,2.32122645e+38; -2.80666078e+38
62423,100000,-5.0970963e+37; 4.74294514e+37,-5.55396366e+37; 1.22884548e+38
60737,100000,2.71386551e+38; -1.81127597e+38,-3.26942119e+38; 9.74602335e+37
60396,100000,-2.79792474e+38; 7.64866703e+37,8.82080878e+37; 2.64514749e+38
60301,100000,2.14861544e+38; 1.37394929e+38,-8.06986981e+37; -8.74601435e+37
59893,100000,1.10628324e+37; -1.29729243e+38,8.38129201e+37; 2.47186229e+38
59586,100000,5.27097993e+37; 1.75138303e+37,1.89192149e+37; 5.52098193e+37
59565,100000,7.37566377e+37; -2.94007887e+38,-2.49796002e+37; 3.27542478e+38
60004,100000,-1.43500238e+38; -1.7618094e+38,-2.21632421e+38; -2.34784225e+38
59777,100000,2.73836321e+38; 3.19616721e+38,-1.45784261e+38; -2.62243585e+38
59986,100000,-9.07067793e+37; 1.65184822e+38,-8.1147705e+37; 8.62428744e+37
60954,100000,-1.51003756e+38; -2.94895587e+37,-1.5593652e+38; -1.79229812e+38
60466,100000,-5.98175619e+37; -1.67980387e+38,-2.58376582e+38; -2.38563e+38
59662,100000,-2.9343712e+38; -1.29403284e+38,2.45440339e+38; -2.53474648e+38
60840,100000,-1.91775801e+38; 2.39066227e+38,3.27581339e+38; -9.44110774e+37
59844,100000,-1.12940481e+37; -2.3278949e+38,-3.38655434e+38; 1.65982549e+38
60880,100000,4.60792869e+37; -7.72031617e+37,4.7638487e+37; 1.15735335e+36
60120,100000,2.51872702e+38; 2.62775086e+38,-2.91093067e+37; 2.07842045e+38
62485,100000,2.54920601e+38; 3.2092875e+38,2.41718152e+38; 2.22230427e+38
60260,100000,8.09972805e+37; 1.4516137e+37,1.63396978e+38; 5.02762271e+36
60001,100000,-2.79408284e+38; -1.85223244e+38,-4.59432072e+37; 2.5465985e+38
60477,100000,-2.97741995e+37; -7.34252029e+37,2.85021629e+37; -1.46791059e+38
60547,100000,2.30709955e+38; 3.12439304e+38,1.16934754e+38; -2.22629626e+38
60342,100000,2.42358143e+38; -5.39047476e+37,-2.48167755e+38; 2.68849059e+38
60412,100000,3.3938842e+38; -2.93941259e+38,-7.62966343e+37; 6.80359131e+37
60991,100000,1.17975434e+38; -6.85756192e+36,2.87608929e+38; -2.19403526e+38
60293,100000,7.86172158e+37; 2.06613114e+38,1.53825891e+38; -2.59104294e+38
59360,100000,9.35114309e+37; -2.55015989e+38,2.47267095e+38; 3.12154458e+38
59977,100000,2.82643136e+37; -4.20620388e+37,3.03288104e+38; 2.32061291e+38
59506,100000,2.18229823e+38; 1.80419518e+38,2.1483688e+38; -2.99724586e+38
59737,100000,-8.62988437e+37; -3.33064202e+38,6.56804459e+37; -2.72271269e+37
60672,100000,2.05897895e+38; -2.51015304e+38,-1.45488594e+38; 1.14997054e+38
60257,100000,-1.9609131e+38; -4.44483936e+37,-2.72780535e+37; -2.17056694e+37
62494,100000,-8.38513654e+37; 2.98716834e+38,-1.97798191e+37; 1.073236e+38
60286,100000,8.55412146e+37; 1.503562e+38,1.79224437e+38; -8.75483213e+37
60128,100000,-2.70111639e+38; 2.01620903e+38,1.15141475e+38; -6.91316703e+37
60811,100000,2.6966788e+38; -1.67678179e+38,6.47426684e+37; 1.53051702e+38
68164,100000,-8.57219715e+37; -1.51065881e+38,1.23719818e+38; 2.76449598e+37
63439,100000,6.25505354e+37; -9.60673289e+37,-2.49897033e+38; 1.8781278e+38
69735,100000,3.44870557e+37; 1.04010945e+38,-2.70149222e+38; -1.02440437e+38
62173,100000,2.64191467e+38; -2.22592625e+37,-1.35678003e+38; 1.31605356e+38
