runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.image.editableimage,param.start.vector2,param.finish.vector2,param.color3.color3,param.transparency.float,param.imagecombinetype.enumitem
8,400004,36699989,1,EditableImage[2048][2048],Vector2(330;1189),Vector2(1707;682),Color3(239;25;113),0.6000000000000001,ImageCombineType(Multiply)
8,400004,10299992,1,EditableImage[512][512],Vector2(511;164),Vector2(511;260),Color3(117;247;202),0.9,ImageCombineType(AlphaBlend)
8,700006,13599988,1,EditableImage[1024][1024],Vector2(1023;693),Vector2(1023;611),Color3(127;124;51),0.1,ImageCombineType(Multiply)
8,500004,39399980,1,EditableImage[2048][2048],Vector2(1069;1999),Vector2(1388;1181),Color3(15;87;227),0.8,ImageCombineType(Overwrite)
8,400004,9300013,1,EditableImage[256][256],Vector2(255;255),Vector2(255;163),Color3(252;217;8),0.4,ImageCombineType(AlphaBlend)
8,400004,40799991,1,EditableImage[2048][2048],Vector2(1173;118),Vector2(1022;1892),Color3(246;8;42),0.6000000000000001,ImageCombineType(Multiply)
8,700006,24900015,1,EditableImage[2048][2048],Vector2(1765;941),Vector2(1951;1947),Color3(76;104;146),0.8,ImageCombineType(AlphaBlend)
8,300003,11299999,1,EditableImage[512][512],Vector2(510;510),Vector2(511;511),Color3(68;128;154),0.5,ImageCombineType(BlendSourceOver)
8,299974,33699995,1,EditableImage[2048][2048],Vector2(471;1078),Vector2(1506;1543),Color3(126;16;168),0.2,ImageCombineType(Overwrite)
8,500004,43600012,1,EditableImage[1024][1024],Vector2(1023;282),Vector2(610;759),Color3(138;13;86),0.9,ImageCombineType(AlphaBlend)
8,300003,18499996,1,EditableImage[2048][2048],Vector2(141;681),Vector2(520;218),Color3(219;154;229),0.30000000000000004,ImageCombineType(BlendSourceOver)
8,300003,27899980,1,EditableImage[2048][2048],Vector2(422;1119),Vector2(1868;1004),Color3(211;245;244),0.2,ImageCombineType(Multiply)
8,300003,17900020,1,EditableImage[1024][1024],Vector2(1023;271),Vector2(323;1023),Color3(51;202;128),0.9,ImageCombineType(BlendSourceOver)
8,300003,17499988,1,EditableImage[1024][1024],Vector2(1023;816),Vector2(566;1023),Color3(196;242;2),0.5,ImageCombineType(Overwrite)
8,400004,13800018,1,EditableImage[2048][2048],Vector2(470;943),Vector2(513;1251),Color3(215;91;155),0.4,ImageCombineType(Multiply)
8,300003,18599997,1,EditableImage[2048][2048],Vector2(1510;1513),Vector2(1001;1297),Color3(4;193;119),0.7000000000000001,ImageCombineType(Multiply)
8,300003,12399979,1,EditableImage[2048][2048],Vector2(177;926),Vector2(356;895),Color3(16;88;48),0.4,ImageCombineType(BlendSourceOver)
8,900007,110399997,1,EditableImage[2048][2048],Vector2(651;186),Vector2(199;1796),Color3(245;248;115),0.30000000000000004,ImageCombineType(BlendSourceOver)
8,300003,12200006,1,EditableImage[2048][2048],Vector2(991;1550),Vector2(1062;1430),Color3(30;249;99),0.1,ImageCombineType(Multiply)
8,700006,40400017,1,EditableImage[2048][2048],Vector2(1976;218),Vector2(1805;1820),Color3(248;206;76),0.1,ImageCombineType(AlphaBlend)
8,300003,27000002,1,EditableImage[2048][2048],Vector2(1741;1153),Vector2(901;762),Color3(38;143;4),0.8,ImageCombineType(Multiply)
8,300003,28700015,1,EditableImage[1024][1024],Vector2(819;1023),Vector2(1023;181),Color3(172;156;2),0.30000000000000004,ImageCombineType(Multiply)
8,200002,26399998,1,EditableImage[2048][2048],Vector2(428;1668),Vector2(932;976),Color3(11;137;177),0.5,ImageCombineType(Multiply)
8,300003,9600015,1,EditableImage[1024][1024],Vector2(1023;684),Vector2(1023;1023),Color3(203;219;153),0.7000000000000001,ImageCombineType(Add)
8,200002,12899982,1,EditableImage[2048][2048],Vector2(1393;1194),Vector2(1096;1327),Color3(145;211;226),0.30000000000000004,ImageCombineType(Overwrite)
8,200002,121299993,1,EditableImage[2048][2048],Vector2(557;395),Vector2(1614;1854),Color3(140;86;240),0.9,ImageCombineType(Add)
8,300003,12800011,1,EditableImage[2048][2048],Vector2(1249;1520),Vector2(769;1031),Color3(238;164;54),0.4,ImageCombineType(Multiply)
8,400004,78200014,1,EditableImage[2048][2048],Vector2(387;39),Vector2(1205;1625),Color3(22;14;106),0.4,ImageCombineType(AlphaBlend)
8,300003,29999996,1,EditableImage[1024][1024],Vector2(321;19),Vector2(984;1023),Color3(197;78;246),0.4,ImageCombineType(Overwrite)
8,300003,59000013,1,EditableImage[2048][2048],Vector2(1399;99),Vector2(695;1620),Color3(52;143;44),0,ImageCombineType(Multiply)
8,200002,27899980,1,EditableImage[2048][2048],Vector2(1764;300),Vector2(592;753),Color3(184;164;107),0.5,ImageCombineType(Multiply)
8,200002,25199989,1,EditableImage[2048][2048],Vector2(205;766),Vector2(1394;1130),Color3(21;8;76),0.6000000000000001,ImageCombineType(Multiply)
8,400004,25500020,1,EditableImage[1024][1024],Vector2(1023;943),Vector2(605;1023),Color3(59;142;67),0.8,ImageCombineType(Add)
8,200002,6399991,1,EditableImage[256][256],Vector2(254;254),Vector2(255;255),Color3(123;76;145),0.8,ImageCombineType(AlphaBlend)
8,300003,22900000,1,EditableImage[2048][2048],Vector2(177;56),Vector2(941;394),Color3(138;95;177),0.4,ImageCombineType(Multiply)
8,200002,13999991,1,EditableImage[2048][2048],Vector2(1965;959),Vector2(1760;536),Color3(178;238;64),0.4,ImageCombineType(Multiply)
8,199973,5000009,1,EditableImage[512][512],Vector2(510;510),Vector2(511;511),Color3(235;165;237),0.6000000000000001,ImageCombineType(Multiply)
8,200002,56399993,1,EditableImage[2048][2048],Vector2(121;311),Vector2(1789;1292),Color3(94;155;151),0.9,ImageCombineType(Multiply)
8,200002,43000008,1,EditableImage[2048][2048],Vector2(1889;1740),Vector2(797;259),Color3(128;73;208),0.9,ImageCombineType(AlphaBlend)
8,200002,5500013,1,EditableImage[512][512],Vector2(510;510),Vector2(511;511),Color3(235;181;236),0.8,ImageCombineType(BlendSourceOver)
8,200002,28500014,1,EditableImage[2048][2048],Vector2(266;1538),Vector2(1044;788),Color3(131;158;165),0.7000000000000001,ImageCombineType(Overwrite)
8,200002,28500014,1,EditableImage[2048][2048],Vector2(1077;1318),Vector2(2008;2003),Color3(226;130;130),0.6000000000000001,ImageCombineType(Overwrite)
8,300003,12000005,1,EditableImage[1024][1024],Vector2(1023;451),Vector2(1023;1023),Color3(198;15;188),0.4,ImageCombineType(AlphaBlend)
8,300003,36099984,1,EditableImage[2048][2048],Vector2(831;1448),Vector2(1163;1000),Color3(153;241;218),0.2,ImageCombineType(Add)
8,300003,10199991,1,EditableImage[2048][2048],Vector2(883;57),Vector2(898;235),Color3(224;184;194),0,ImageCombineType(BlendSourceOver)
8,200002,27100003,1,EditableImage[2048][2048],Vector2(1725;207),Vector2(458;1626),Color3(23;74;31),0.1,ImageCombineType(AlphaBlend)
8,200002,17200015,1,EditableImage[2048][2048],Vector2(173;1744),Vector2(950;1530),Color3(60;139;176),0.1,ImageCombineType(Multiply)
8,800007,37799997,1,EditableImage[1024][1024],Vector2(1023;193),Vector2(98;1023),Color3(221;149;0),0.1,ImageCombineType(Multiply)
8,300003,53299999,1,EditableImage[2048][2048],Vector2(573;102),Vector2(401;1515),Color3(109;180;14),0.30000000000000004,ImageCombineType(Add)
8,199973,8600008,1,EditableImage[512][512],Vector2(511;511),Vector2(44;511),Color3(92;254;227),0,ImageCombineType(AlphaBlend)
8,200002,24599984,1,EditableImage[2048][2048],Vector2(1055;1172),Vector2(65;847),Color3(253;234;78),0.1,ImageCombineType(Multiply)
8,200002,13799989,1,EditableImage[2048][2048],Vector2(692;250),Vector2(417;101),Color3(205;167;210),0.1,ImageCombineType(Overwrite)
8,300003,22699999,1,EditableImage[2048][2048],Vector2(1405;1000),Vector2(338;1317),Color3(97;103;49),0,ImageCombineType(Multiply)
8,400004,32099983,1,EditableImage[2048][2048],Vector2(697;1245),Vector2(1578;536),Color3(251;43;242),0.4,ImageCombineType(AlphaBlend)
8,200002,30399999,1,EditableImage[2048][2048],Vector2(1226;1353),Vector2(768;323),Color3(190;13;114),0.2,ImageCombineType(AlphaBlend)
8,300003,13300014,1,EditableImage[2048][2048],Vector2(225;721),Vector2(301;1211),Color3(164;84;253),0.30000000000000004,ImageCombineType(Multiply)
8,200002,33699995,1,EditableImage[2048][2048],Vector2(582;694),Vector2(1046;1651),Color3(30;79;133),0.9,ImageCombineType(AlphaBlend)
8,200002,18699997,1,EditableImage[2048][2048],Vector2(928;827),Vector2(302;165),Color3(14;231;176),0,ImageCombineType(Multiply)
8,200002,55100013,1,EditableImage[2048][2048],Vector2(2025;224),Vector2(872;1940),Color3(42;156;14),0.30000000000000004,ImageCombineType(Multiply)
8,200002,17299987,1,EditableImage[2048][2048],Vector2(1505;418),Vector2(1524;1585),Color3(104;214;56),0,ImageCombineType(BlendSourceOver)
8,300003,6799994,1,EditableImage[1024][1024],Vector2(1023;608),Vector2(1023;448),Color3(219;6;84),0,ImageCombineType(Overwrite)
8,300003,20699983,1,EditableImage[2048][2048],Vector2(1826;625),Vector2(1921;1756),Color3(82;127;36),0.8,ImageCombineType(BlendSourceOver)
8,300003,35700010,1,EditableImage[2048][2048],Vector2(1382;1160),Vector2(234;642),Color3(209;111;68),0.1,ImageCombineType(Add)
8,200002,44500019,1,EditableImage[2048][2048],Vector2(82;865),Vector2(1911;1606),Color3(26;11;121),0.30000000000000004,ImageCombineType(BlendSourceOver)
8,200002,27300005,1,EditableImage[2048][2048],Vector2(1093;1795),Vector2(787;331),Color3(235;31;139),0.8,ImageCombineType(AlphaBlend)
8,200002,26200025,1,EditableImage[2048][2048],Vector2(1461;665),Vector2(141;453),Color3(130;9;12),0.4,ImageCombineType(BlendSourceOver)
