runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.image.editableimage,param.position.vector2,param.size.vector2,param.color3.color3,param.transparency.float,param.imagecombinetype.enumitem
1,399974,3747700016,1,EditableImage[2048][2048],Vector2(193;1),Vector2(1025;1424),Color3(157;154;133),0,ImageCombineType(Multiply)
1,200002,29400021,1,EditableImage[2048][2048],Vector2(1;731),Vector2(778;231),Color3(155;139;32),0,ImageCombineType(BlendSourceOver)
1,400004,5985800003,1,EditableImage[2048][2048],Vector2(754;348),Vector2(808;1700),Color3(75;46;87),0.5,ImageCombineType(Add)
1,300003,3083899996,1,EditableImage[2048][2048],Vector2(848;1082),Vector2(1200;966),Color3(44;145;221),0.8,ImageCombineType(BlendSourceOver)
1,299974,478100003,1,EditableImage[2048][2048],Vector2(490;1),Vector2(1223;1718),Color3(70;29;83),0.5,ImageCombineType(Overwrite)
1,200002,4549799982,1,EditableImage[2048][2048],Vector2(1;164),Vector2(963;1801),Color3(30;65;114),0.8,ImageCombineType(AlphaBlend)
1,299974,1322700002,1,EditableImage[2048][2048],Vector2(1419;1020),Vector2(534;946),Color3(212;160;173),0.9,ImageCombineType(BlendSourceOver)
1,300003,487500016,1,EditableImage[2048][2048],Vector2(786;1),Vector2(427;494),Color3(80;16;169),0.6000000000000001,ImageCombineType(AlphaBlend)
1,200002,24800015,1,EditableImage[256][256],Vector2(169;135),Vector2(87;100),Color3(159;75;161),0.4,ImageCombineType(AlphaBlend)
1,199973,1730899996,1,EditableImage[2048][2048],Vector2(1;1),Vector2(395;1014),Color3(255;22;120),0.5,ImageCombineType(Add)
1,200002,465499994,1,EditableImage[2048][2048],Vector2(1963;954),Vector2(79;1094),Color3(241;170;246),0.4,ImageCombineType(Add)
1,300003,160299999,1,EditableImage[2048][2048],Vector2(225;1496),Vector2(1645;552),Color3(90;165;59),0,ImageCombineType(BlendSourceOver)
1,400004,12653099985,1,EditableImage[2048][2048],Vector2(1;428),Vector2(1497;1620),Color3(214;67;193),0.1,ImageCombineType(Add)
1,700006,238799985,1,EditableImage[2048][2048],Vector2(1515;1457),Vector2(341;121),Color3(97;130;197),0.5,ImageCombineType(Multiply)
1,900007,43000008,1,EditableImage[256][256],Vector2(1;1),Vector2(143;63),Color3(169;142;28),0.4,ImageCombineType(Add)
1,300003,13499987,1,EditableImage[512][512],Vector2(102;1),Vector2(348;146),Color3(72;120;210),0.30000000000000004,ImageCombineType(Overwrite)
1,400004,9299984,1,EditableImage[1024][1024],Vector2(183;1),Vector2(107;220),Color3(20;251;188),0.8,ImageCombineType(Overwrite)
1,600005,333600009,1,EditableImage[2048][2048],Vector2(1531;721),Vector2(489;255),Color3(23;85;6),0.4,ImageCombineType(BlendSourceOver)
1,200002,17999992,1,EditableImage[256][256],Vector2(87;1),Vector2(169;28),Color3(209;197;47),0,ImageCombineType(Multiply)
1,299974,2135500021,1,EditableImage[2048][2048],Vector2(554;747),Vector2(1023;485),Color3(41;103;143),0.4,ImageCombineType(Add)
1,200002,4934300000,1,EditableImage[2048][2048],Vector2(1;741),Vector2(1505;1307),Color3(143;232;110),0.7000000000000001,ImageCombineType(Multiply)
1,200002,7994499989,1,EditableImage[2048][2048],Vector2(1098;87),Vector2(950;1901),Color3(63;171;28),0.8,ImageCombineType(Add)
1,300003,15600003,1,EditableImage[2048][2048],Vector2(353;1572),Vector2(343;243),Color3(70;219;161),0,ImageCombineType(Overwrite)
1,200002,215700013,1,EditableImage[2048][2048],Vector2(1293;425),Vector2(742;1623),Color3(198;158;215),0.5,ImageCombineType(Overwrite)
1,100001,1204900007,1,EditableImage[2048][2048],Vector2(941;90),Vector2(1107;402),Color3(122;178;219),0.30000000000000004,ImageCombineType(AlphaBlend)
1,200002,2727300016,1,EditableImage[2048][2048],Vector2(496;1331),Vector2(1526;717),Color3(122;39;216),0,ImageCombineType(Multiply)
1,200002,504299999,1,EditableImage[2048][2048],Vector2(428;1727),Vector2(737;263),Color3(157;143;27),0.8,ImageCombineType(Multiply)
1,200002,32900018,1,EditableImage[1024][1024],Vector2(157;140),Vector2(352;525),Color3(166;93;140),0,ImageCombineType(BlendSourceOver)
1,500004,1489000017,1,EditableImage[1024][1024],Vector2(564;112),Vector2(460;780),Color3(43;227;170),0.6000000000000001,ImageCombineType(Add)
1,199973,1162400004,1,EditableImage[2048][2048],Vector2(1;651),Vector2(606;816),Color3(78;72;92),0,ImageCombineType(AlphaBlend)
1,300003,1817399986,1,EditableImage[2048][2048],Vector2(1163;1),Vector2(727;1001),Color3(40;182;18),0.4,ImageCombineType(Multiply)
1,200002,364099979,1,EditableImage[1024][1024],Vector2(779;1),Vector2(226;649),Color3(169;189;49),0.30000000000000004,ImageCombineType(BlendSourceOver)
1,200002,904699992,1,EditableImage[2048][2048],Vector2(934;47),Vector2(1114;327),Color3(131;139;156),0.6000000000000001,ImageCombineType(Multiply)
1,300003,153999980,1,EditableImage[1024][1024],Vector2(111;142),Vector2(119;297),Color3(50;220;215),0.2,ImageCombineType(Add)
1,300003,3749500029,1,EditableImage[2048][2048],Vector2(1;881),Vector2(835;1167),Color3(34;196;133),0.1,ImageCombineType(Add)
1,200002,4688999994,1,EditableImage[2048][2048],Vector2(763;1),Vector2(1267;1493),Color3(167;81;103),0.9,ImageCombineType(Multiply)
1,200002,123100007,1,EditableImage[2048][2048],Vector2(315;750),Vector2(940;827),Color3(54;211;113),0.1,ImageCombineType(Overwrite)
