elapsed.ps,repeats.n,param.array.array
21279,100000,array<integer>[3]
22775,100000,array<integer>[3]
21797,100000,array<integer>[3]
21959,100000,array<integer>[3]
21455,100000,array<integer>[3]
21812,100000,array<integer>[3]
21704,100000,array<integer>[3]
21419,100000,array<integer>[3]
21939,100000,array<integer>[3]
21432,100000,array<integer>[3]
21559,100000,array<integer>[3]
22650,100000,array<integer>[3]
22828,100000,array<integer>[3]
21850,100000,array<integer>[3]
22032,100000,array<integer>[3]
22045,100000,array<integer>[3]
21720,100000,array<integer>[3]
21732,100000,array<integer>[3]
23158,100000,array<integer>[3]
22165,100000,array<integer>[3]
21790,100000,array<integer>[3]
21620,100000,array<integer>[3]
21528,100000,array<integer>[3]
21475,100000,array<integer>[3]
21756,100000,array<integer>[3]
21552,100000,array<integer>[3]
22039,100000,array<integer>[3]
21921,100000,array<integer>[3]
21697,100000,array<integer>[3]
21400,100000,array<integer>[3]
21629,100000,array<integer>[3]
21847,100000,array<integer>[3]
21684,100000,array<integer>[3]
21758,100000,array<integer>[3]
21753,100000,array<integer>[3]
21459,100000,array<integer>[3]
22619,100000,array<integer>[3]
21370,100000,array<integer>[3]
22432,100000,array<integer>[3]
21849,100000,array<integer>[3]
21759,100000,array<integer>[3]
21836,100000,array<integer>[3]
22213,100000,array<integer>[3]
21488,100000,array<integer>[3]
21767,100000,array<integer>[3]
21495,100000,array<integer>[3]
21556,100000,array<integer>[3]
22082,100000,array<integer>[3]
21846,100000,array<integer>[3]
21806,100000,array<integer>[3]
21629,100000,array<integer>[3]
21577,100000,array<integer>[3]
21707,100000,array<integer>[3]
22227,100000,array<integer>[3]
22062,100000,array<integer>[3]
21674,100000,array<integer>[3]
21656,100000,array<integer>[3]
21587,100000,array<integer>[3]
21703,100000,array<integer>[3]
22984,100000,array<integer>[3]
21811,100000,array<integer>[3]
21642,100000,array<integer>[3]
22130,100000,array<integer>[3]
21692,100000,array<integer>[3]
22265,100000,array<integer>[3]
21445,100000,array<integer>[3]
21528,100000,array<integer>[3]
21557,100000,array<integer>[3]
21545,100000,array<integer>[3]
21634,100000,array<integer>[3]
21661,100000,array<integer>[3]
21406,100000,array<integer>[3]
21387,100000,array<integer>[3]
21718,100000,array<integer>[3]
21669,100000,array<integer>[3]
21954,100000,array<integer>[3]
21697,100000,array<integer>[3]
21923,100000,array<integer>[3]
21898,100000,array<integer>[3]
21573,100000,array<integer>[3]
21874,100000,array<integer>[3]
26546,100000,array<integer>[3]
23482,100000,array<integer>[3]
21361,100000,array<integer>[3]
21552,100000,array<integer>[3]
21953,100000,array<integer>[3]
23446,100000,array<integer>[3]
21825,100000,array<integer>[3]
21438,100000,array<integer>[3]
21800,100000,array<integer>[3]
21664,100000,array<integer>[3]
21295,100000,array<integer>[3]
24001,100000,array<integer>[3]
21921,100000,array<integer>[3]
27321,100000,array<integer>[3]
27009,100000,array<integer>[3]
27015,100000,array<integer>[3]
26330,100000,array<integer>[3]
26341,100000,array<integer>[3]
27184,100000,array<integer>[3]
27478,100000,array<integer>[3]
27230,100000,array<integer>[3]
26277,100000,array<integer>[3]
26409,100000,array<integer>[3]
21596,100000,array<integer>[3]
21246,100000,array<integer>[3]
21538,100000,array<integer>[3]
22087,100000,array<integer>[3]
22014,100000,array<integer>[3]
21395,100000,array<integer>[3]
21612,100000,array<integer>[3]
21876,100000,array<integer>[3]
21691,100000,array<integer>[3]
24053,100000,array<integer>[3]
26931,100000,array<integer>[3]
27392,100000,array<integer>[3]
27761,100000,array<integer>[3]
21812,100000,array<integer>[3]
24682,100000,array<integer>[3]
23016,100000,array<integer>[3]
21482,100000,array<integer>[3]
21688,100000,array<integer>[3]
21450,100000,array<integer>[3]
21467,100000,array<integer>[3]
21696,100000,array<integer>[3]
22194,100000,array<integer>[3]
21496,100000,array<integer>[3]
21303,100000,array<integer>[3]
21508,100000,array<integer>[3]
21766,100000,array<integer>[3]
21506,100000,array<integer>[3]
21864,100000,array<integer>[3]
21752,100000,array<integer>[3]
22363,100000,array<integer>[3]
21631,100000,array<integer>[3]
21898,100000,array<integer>[3]
21384,100000,array<integer>[3]
21446,100000,array<integer>[3]
21430,100000,array<integer>[3]
21545,100000,array<integer>[3]
