elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
14582,100000,2280958717854600,4359389454601866,952039972657199
14302,100000,1922435233541318,2017323943117837,8097437586971035
14765,100000,7385290647057754,6181106257865196,3768845342827824
20583,100000,529148085914844,3117303260560250,541236193686692
14557,100000,5024657175147020,4007784701127663,6127142721802161
14510,100000,4459515631373331,7566468446268798,7100063328679415
19585,100000,1260091908142623,93137838808105,7242587081752547
14371,100000,8717850761861445,8204377289150881,3654774870435148
14469,100000,4321163477778659,693084750306368,5977549188246457
14482,100000,4127762011079416,1601330028433887,1573381024643849
14508,100000,1397534667974435,6977775838832720,8595495954241564
14420,100000,4746486227479274,8558070622445648,2378940793941846
14305,100000,840951966610724,7604836489309145,295086223950074
14286,100000,1911928428165909,6329695306698150,4885721028989736
14340,100000,3886006648537722,8902907482142791,7542135506479526
14301,100000,6624543220588962,3881269058901078,6658032842307940
23408,100000,6522881664918021,7934434747329529,7722295624852122
23218,100000,5223570095971322,4987444918678201,4642673049481107
14323,100000,6230677454308746,1048431450943174,8760855491579799
14431,100000,2516436966655872,3985153561305238,8195794182369957
14663,100000,5747921616175545,8498993039638158,4019299055058458
15063,100000,8218026596324883,2495860156759207,7048287922744170
14993,100000,782542489853910,7039840490218681,3935337033506741
15098,100000,3103529101892977,6022378106283143,5056140183324881
21897,100000,926804429779305,4888910591791886,8244877339281768
14451,100000,5276871536876055,7751845959765306,8854857411764593
20129,100000,3885420770618871,6878277789855464,7102094427490618
14320,100000,4081974656893911,1313902633981048,4590770848740913
14491,100000,963872963186967,5205745297307882,518698294688136
14699,100000,384849690088420,1392306644689179,1087478329879074
14513,100000,4522659566607346,2128982820950266,5583122336045529
14400,100000,7660779965513806,3080872741795493,6667644998336335
14885,100000,8225196718906560,2666800829862713,7680059034502915
14559,100000,2788983358711948,7377494227305165,8651306458218574
14353,100000,6279889481760201,6793387745051454,5926942276757271
14271,100000,7995629459745806,8473144962874657,3479172332225482
19898,100000,5164500144711059,1830119538578616,2824581037992792
14440,100000,4506293579613061,2049154069281714,8111950954880596
14411,100000,4056893638402744,7231331598144362,6270291045425002
14445,100000,8228822161828631,2958778280279286,8181413916823589
14261,100000,8283542550812732,1758418812326054,4359886007875126
14294,100000,199493094695614,5773756935600166,786965357151615
16849,100000,2151760162328450,6962946024319796,2233176114132550
14585,100000,3122706018205563,512981399416386,2817796576901420
14912,100000,3540201999172639,6708455467914062,8048642250560109
18598,100000,4316122918577208,4133115570456467,4240356253963869
18723,100000,1314228399174439,2729173472569098,8132121727295003
14466,100000,4211067665789363,8494293820546188,7045080017130653
14286,100000,3499095952479621,5079120482225115,7476625969415166
14458,100000,3473256858814213,999958837889189,168234256477129
14602,100000,892185865336874,2453560165799330,2757012702428906
14629,100000,1754876770396288,1931825592375622,7951034256663296
14372,100000,576707555362126,7302158766456450,1374414435069185
14374,100000,7633433476485802,3268025392274955,5848433261952653
14563,100000,2925979093999282,7072625586670523,8353777927425073
14554,100000,4379144423329373,5948701525042029,3516795604083300
18640,100000,1419092400908209,2727404503211456,3639383487111153
14397,100000,6619395327968839,157377150932883,374144053173261
15013,100000,6534467106749069,7133665515621224,785300960793148
17378,100000,2331320561269245,1865049671084715,3958054823133839
15407,100000,6181283196769197,8113239550955548,8767365561116643
14595,100000,1907440218339734,7398688673244260,1525348789650407
14304,100000,5703590185408241,6337482491941796,6243814660308066
16454,100000,5770416567380393,8873621228603019,2232989786952408
14870,100000,8415102827683179,2375155965848951,921581949538653
14316,100000,5277350262381731,4986006504511577,1171316092533528
17702,100000,6846877280836026,8604007508690234,4538324467986990
14621,100000,8092991597906548,785068822153361,8903131530763900
14374,100000,938997200211669,7143217076244896,5102050298521372
18247,100000,2119439747551680,3458072719069780,7189608546392885
14577,100000,3087050278544036,8888519042891331,1317364898093831
14687,100000,8226136580934085,3005542706622157,2654304402193938
15766,100000,3182800766466758,786800526506913,7067915010429341
16425,100000,2860198606940492,8314006157730091,1256534962803431
14613,100000,6558771181713201,1679099106228862,3326275222169568
14751,100000,2357566289634219,1738376749229187,5872096678523765
19146,100000,494796415762531,6054670141887244,4500563890705257
17921,100000,7503689642286667,348644206043298,4053356542785909
18516,100000,1636329398467148,1962073930919348,6249066094674142
14610,100000,5469355195713798,8733345071139356,2676527906432367
14528,100000,2918366051236961,7164771221107960,7249132422812827
14482,100000,2669781045104852,998792140181223,2233143123341797
14590,100000,7978582878211877,8246052855052981,986083131829714
14514,100000,3166337052150601,5585938352280577,89937884791500
16098,100000,5603811198626246,4694737157989662,4604056028485981
14579,100000,5568228418156595,2005915238210105,6843949608279650
19705,100000,6073119677434832,8009076783567409,7378748182214639
15227,100000,8632965029721582,1611096779348315,1293401146329653
15137,100000,6423532477437695,7193363951397084,7882411702905000
15383,100000,598279581146832,4574799278738235,521485137587877
14876,100000,2335058473658060,290710534243204,7953630771015589
14576,100000,2660975352654206,5734725220314301,2082007724495478
15085,100000,6307981719727644,2454361580356882,4944090820721536
14523,100000,3317727323107911,2525632246640270,1283465985403648
14844,100000,3443232464651697,1345470019395657,6498233179898664
14460,100000,7146325997528120,1837046313263520,5780281605439811
19139,100000,4081339928673534,1325297200881512,8571968741504969
14505,100000,324513435385029,3767797740348513,4259751450858482
14410,100000,8951987748218976,5048372901078557,2151450580480389
15914,100000,1480542134208870,1908433454002470,1114353406852900
14478,100000,487620052996641,1787296166645110,5794549487747414
14396,100000,4473271445589544,6261338536747712,7858388103031725
14489,100000,3146186961093954,226138218515061,5332484328595003
14595,100000,7893872301433898,3756414540506092,8384046648473542
14474,100000,649756944092451,2244482848981749,5215778780314243
14551,100000,6959929582530855,8531281795628103,1324850172518662
15691,100000,919975508978545,6468483911125543,3865795520654138
14818,100000,4574012263633984,3502223325676534,4830886587459718
14441,100000,3173147748799051,6362052086824189,5155613151478510
14577,100000,3299603644000878,1930955655999335,5262244000819819
14464,100000,5694498380226199,2512359042779534,7056523016552242
16073,100000,5923876574828739,1103495118865657,7460249976169694
18735,100000,2325411845359912,2814843548335537,1743496344210609
26074,100000,7518067543397177,5319248875460094,305392397256393
17728,100000,8648241697479436,3396010830978487,7480208775655672
14408,100000,3464454601666123,7781056610538095,5626094348238546
19503,100000,8911140430864918,5090908823356128,496253468278406
14423,100000,8875315405616221,8166133442186932,344576198883978
14398,100000,2905947625850578,5838774314403693,8651529517805577
16392,100000,5559690295388340,827661702991708,3949127373152210
14439,100000,1985539921191393,5440027489934644,6607186306464687
14526,100000,7495380456456229,977229432006809,7251944526703977
14568,100000,2676338073182668,2118208729345581,6519097242064782
14646,100000,8448217539447974,8618145122752068,3450495157560250
14393,100000,311272418619559,2998064988507821,7171553533528091
14336,100000,2294664205081865,4630844860592208,7188854729789923
17812,100000,1764781674760376,5726972037388286,1437103568082389
14710,100000,7036178242132053,8559347731799391,865907673043108
14467,100000,155700481296802,2267633417892570,5466183467009208
14660,100000,6538902865682867,2061761443388282,6179619036027446
14385,100000,5414268573761797,3771055134124644,3609838103144009
14399,100000,802793803495878,2934714995669579,2823677319214104
14738,100000,8956569108667414,4919133028424489,1437534157556225
14403,100000,1982694783097788,4423907778345913,351891921499870
14777,100000,7724603872569624,3733388166371572,3374635638349112
14954,100000,3575712156777804,5549643214866674,673756392143166
19986,100000,4552451901205919,5401706616663981,2099174033374926
14617,100000,7961808698864263,3617588438423335,1187655358217286
14339,100000,7283766411414908,7410773356596759,4151462623464336
14497,100000,8478400334040155,441729288704793,2265663834992032
16074,100000,7377922931695023,4427383062491926,797560052100616
14448,100000,7302095294184443,4595565403470012,3220232437042490
14396,100000,5584109885575939,4347422124419756,955431656070128
14688,100000,965963454189861,7226076067194779,3560525960602417
14630,100000,3179652565733158,4668579703014912,8925014896261812
14394,100000,1549760306895656,3007627791666993,8787300739243711
20357,100000,2335478939582477,7683558041506468,5141174043140791
14651,100000,785409436120361,2373889498906634,1828266550283869
14766,100000,2948601504661822,1646222594458400,4978994185510592
14602,100000,5633988531727636,7407109312915156,2614926494631645
14334,100000,3863131580232775,7497830680644263,7323867415763762
14438,100000,4533426370691222,2663437101621395,6402477559673640
14442,100000,6185203238995663,829364865033319,5683447827676980
14345,100000,8165580942674072,5777312497480126,2272992481400031
14854,100000,6902786486809878,2420855733259407,160512798370052
14488,100000,4536329969339248,7694409786765507,3998385232444484
19941,100000,5031183774332707,8026573152513846,6205855820763000
14564,100000,4161154065218236,1530160698437507,5480510822165781
14335,100000,1070098549446809,2007351103799587,3201083394067169
14650,100000,3912607157967697,3258791111204496,7185188986165091
14401,100000,8682322328274513,7215054668608396,4250419654813903
14673,100000,8611827985084378,5847911775816272,1962958168181820
16371,100000,1012192940083360,880211904826871,3944277826239526
14731,100000,4775490648061157,8739338770182711,6565184627899534
18302,100000,5572023556179333,7418741435307462,5175177316111434
23360,100000,4186185113908426,3211370836790924,3970736360655351
19516,100000,401027178245172,4333167106772832,1817635001237769
15905,100000,5184563995552823,7876666834156182,2957077291579922
14431,100000,3153032531890685,2643051588884156,4839448329154660
14746,100000,8991638745729484,4768727069359879,4425847790058250
14448,100000,3152944342725100,6466620851607752,5835037933433840
14292,100000,364809464835767,4475913145202768,3782828321745114
14631,100000,5120496463605645,7130957581272662,3500535287056483
14379,100000,6472862899355167,943827275373541,4645225129366522
14426,100000,4801407655599976,6159460826253558,5711714054497934
15070,100000,4542948420881750,4332715126380723,4383065032121347
21030,100000,8780638649778618,4098055360138258,2247157597537445
14372,100000,576568688239354,7983863954663216,8381776932959338
15280,100000,5536543336710019,7959192662760480,5977828136100993
21981,100000,6767240544125736,3720456117876495,3455734511554843
14338,100000,864293266392821,5716718447777049,2957694006145922
14389,100000,1306973662826843,8614641554053899,1759372969876008
14499,100000,5069430283939925,3058275261854490,664187270321627
14565,100000,5955043528350130,698756886169915,1757365494915157
14537,100000,4760771862557029,3356697118056661,1378749670418304
22222,100000,5798118915247293,2203325388071725,7405707548155205
18675,100000,1610495262954217,7635176787584747,6421540724194255
14603,100000,2518712529137289,4067431121073857,7342198760575723
15403,100000,5998422541693119,2218050663677037,6972424534805120
14392,100000,5056402672739427,4133575410537554,2278909614675319
14788,100000,7877648317751634,6001325136909346,1126901867854396
14597,100000,5441205613524123,1950554179505016,2450584475309952
14741,100000,5585085317765141,1087859388883486,2370037095011746
14675,100000,7913771824855716,2159609823506417,791012950335975
14595,100000,1844000053836225,7624770642848465,2347634637295790
14565,100000,742624190031595,5084536550463498,7056794470741906
20822,100000,3921889903374480,8053543896723406,7580337644850033
14475,100000,8751442819492603,174022458360757,7068094805997847
14543,100000,2730248459042382,5562243680617172,2353539225411034
14817,100000,8918790059416558,3193435966018692,4589446896241094
20084,100000,5889854244200243,8505877946791243,145871138496761
14483,100000,2201202003309640,4584348892895408,7110768445793276
14601,100000,8607340448145366,1478077440454647,7541284793478332
14348,100000,8455084642570521,8631917408812389,1730739745804690
14602,100000,427065699609366,8754569130410866,2650479504826472
14484,100000,8314056455936845,4969722594410656,2130386917415955
19354,100000,965119175745418,31390227147017,4279590986755456
14655,100000,1933997790106611,9004809981102540,2169493044635303
14613,100000,5250276683477519,1510568584586455,7515903932286910
14463,100000,1520285256739105,1336721216812056,2767267146530345
14420,100000,2929647514334732,870935552088751,8839074659325298
14690,100000,1766575418312065,116724241128707,5282211939988031
14519,100000,435559234107861,6336973745288302,7961981513942552
14399,100000,2454662330413214,4016814566719126,3553040805256226
14661,100000,2976611937362305,4326862776115865,7225978650494823
14377,100000,2712284163585014,1383708862997067,4765893858183956
19025,100000,1456664478115189,8122474380913086,2019961171767499
14664,100000,646474324848266,892408871711322,7604711286381531
14721,100000,8246253935686294,1984174609624311,2860955605539709
14457,100000,4941315935874967,2223986560353039,2227706995220681
14549,100000,305439061068294,8058299523246319,3682570154127599
14844,100000,1311732635138730,4039122169432224,1489187960229480
14557,100000,6890427076727315,1577097605651665,8602586695943492
14684,100000,613160457363659,2450074550334503,3056863121486828
14923,100000,5219725253450268,8643660302757167,8127217033708934
15975,100000,3623249603487948,168963040776381,2753391711564071
18799,100000,3758541779349825,3758285887582510,185486002859316
17064,100000,4909681524372498,6756080353059596,2046408678327428
16486,100000,4516379106590561,5668793786540802,5177876046952375
14387,100000,529841914559017,7994251743942461,1606100607015785
14526,100000,5363555480403235,889401894251263,2716793440488924
14457,100000,2750531290622841,4656375683139426,4640791628825959
14546,100000,5069870026957982,6722867812702999,1230113275652248
14265,100000,7930477278006584,8635312641028218,4672434358420839
14397,100000,1432572670046787,6021448253558779,6809142721088391
18304,100000,2737734666979936,3558816946227957,3375533407737300
19293,100000,2483613519828751,6906336090318413,5971559103886628
14696,100000,6632034525768865,1798621755557284,6421745468109960
14785,100000,2635034631577869,5090554692704186,6037741716277687
18378,100000,3103934337669977,5423701080552712,1176480582538799
14517,100000,2066469072519486,2893661199016003,1785138726768056
14982,100000,2357173869841156,5238869681376257,8448250963520945
