runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.field.integer,param.width.integer
2,4345,32523,250000,2662378184,11,10
2,4107,34718,250000,3937153546,7,14
2,4099,33671,250000,1467034927,14,16
2,4246,32855,250000,718482554,10,9
2,4164,32227,250000,2154017334,13,4
2,4974,31641,250000,786060409,8,16
2,4426,33420,250000,543868728,3,13
2,4189,32917,250000,2106342842,14,4
2,3968,32161,250000,1253194678,12,15
2,4330,31460,250000,3024935719,9,3
2,4142,32114,250000,3488240722,2,15
2,4390,34733,250000,247935750,5,4
2,3979,32510,250000,4260376636,10,7
2,3981,40686,250000,3470829642,1,8
2,4168,31190,250000,2568148535,9,2
2,4037,32602,250000,2098523103,10,9
2,3946,32590,250000,1321333805,7,8
2,3952,33174,250000,617860771,5,15
2,4097,32833,250000,81569529,12,2
2,4368,37697,250000,2416837436,13,1
2,4056,30058,250000,381135734,2,2
2,3939,33143,250000,2914686419,7,11
2,3998,43301,250000,1877623659,9,13
2,4620,33045,250000,3325809184,12,14
2,4137,44354,250000,788511226,5,14
2,3939,37775,250000,4207312494,5,14
2,4335,39069,250000,3440640574,7,16
2,4218,41755,250000,3189701447,0,9
2,3976,41661,250000,1526620036,14,8
2,4034,39117,250000,1175364150,12,14
2,4003,37962,250000,2553180304,6,14
2,4444,36221,250000,1706976742,0,3
2,4090,46246,250000,614301148,6,11
2,4371,33816,250000,50017927,1,16
2,4268,33208,250000,2978138222,6,2
2,3968,30333,250000,1167533010,11,2
2,4111,36103,250000,2885618900,11,11
2,4059,39431,250000,299171717,9,10
2,3979,43243,250000,2245092349,6,12
2,4392,35377,250000,617103226,15,11
2,4261,39307,250000,969924863,7,13
2,4230,34640,250000,1476094674,9,9
2,4515,40378,250000,420107681,9,12
2,4243,32865,250000,3728901675,10,12
2,4220,43763,250000,617275817,5,2
2,4257,37131,250000,2921999741,0,9
2,3962,31640,250000,2674099816,0,1
2,4199,30936,250000,3451036088,13,2
2,4230,32937,250000,1072444530,4,10
2,5214,35747,250000,1539203722,8,16
2,4766,32828,250000,3814217815,12,15
2,4215,32511,250000,3475420084,10,5
2,4022,35160,250000,1193884494,13,4
2,4072,32224,250000,1060766643,15,13
2,4281,36247,250000,2999135107,6,10
2,4728,34062,250000,3942384510,13,11
2,3993,31413,250000,3315158381,6,3
2,4324,30832,250000,3210205214,6,3
2,4333,31874,250000,1255417699,11,3
2,4422,31037,250000,226180375,12,11
2,4045,30509,250000,2844163544,12,6
3,3531,25602,250000,3591976180,9,3
3,3436,24357,250000,3656669194,13,12
3,3288,24197,250000,1842908146,0,13
3,3636,24613,250000,1199464936,4,7
3,3283,24595,250000,667310908,10,5
3,3287,24455,250000,1974924502,5,10
3,3278,24482,250000,2828982292,1,3
3,3304,25303,250000,2471919853,9,3
3,3277,25308,250000,104769446,2,15
3,3364,25209,250000,1465054186,13,10
3,3318,24759,250000,3122114410,14,1
3,3292,24666,250000,2105774559,9,6
3,3273,25239,250000,3817197002,0,11
3,3273,25310,250000,1001125348,0,3
3,3277,25340,250000,3052309210,8,9
3,3359,25346,250000,1732421878,8,4
3,3250,24736,250000,4181451054,1,10
3,3277,25524,250000,1291302656,11,14
3,3325,25969,250000,2959794551,5,3
3,3318,24725,250000,4286845059,8,1
3,3279,25440,250000,945115894,4,13
3,3363,24711,250000,1759940755,15,10
3,3311,25055,250000,2828867626,9,16
3,3277,24284,250000,971955954,12,4
3,3275,24316,250000,3756890128,9,7
3,3278,24098,250000,1818241161,0,12
3,3289,24210,250000,4199961412,12,9
3,3270,24179,250000,3871621140,9,10
3,3271,25002,250000,3247942196,14,16
3,3283,25541,250000,4157711207,2,9
3,3406,24974,250000,1534597127,0,2
3,3290,24948,250000,814243948,0,14
3,3483,24655,250000,1786653485,11,3
3,3488,25009,250000,7824369,1,13
3,3401,24814,250000,1280699028,11,9
3,3281,24649,250000,874847366,10,5
3,3552,24651,250000,2803902258,12,10
3,3386,24610,250000,4182469608,8,7
3,3297,24800,250000,1611372116,13,6
3,3462,28160,250000,1153771188,13,10
3,3376,31881,250000,3670550825,9,9
3,3526,32253,250000,1361254915,0,16
3,3318,24508,250000,3872287045,7,11
3,3284,24630,250000,2077268010,5,7
3,3287,24745,250000,592995389,15,12
3,3378,25490,250000,659498876,1,11
3,3287,24531,250000,4121921822,2,10
3,3353,24354,250000,2118449245,0,10
3,3285,24478,250000,2091229053,6,11
3,3300,24264,250000,1093025417,0,14
3,3317,24291,250000,1633818444,6,15
3,3539,31837,250000,3376769337,3,14
3,3321,26698,250000,2126176394,7,3
3,3271,30562,250000,3046424174,8,13
3,3335,30856,250000,3508695864,15,11
3,3419,24716,250000,2457864866,2,9
3,3267,24139,250000,770074482,8,16
3,3369,24058,250000,3256221595,12,9
3,3259,25324,250000,2028214672,7,8
3,3327,24522,250000,3438056575,14,11
3,3317,24247,250000,590974371,10,16
3,3298,24146,250000,2427819417,12,12
3,3323,25600,250000,2717806577,15,16
3,3413,25007,250000,300175540,6,3
3,3249,25311,250000,1244434144,14,5
3,3291,24008,250000,121255816,8,15
3,3321,25167,250000,2348415252,14,5
3,3254,23912,250000,2478812277,8,5
3,3269,24328,250000,994324246,14,8
3,3356,26042,250000,370385210,2,10
3,3250,24557,250000,1502108623,11,1
3,3287,24173,250000,817177401,12,15
3,3305,24238,250000,112148639,11,5
3,3249,24219,250000,3248598265,14,4
3,3271,25469,250000,1838235980,2,7
3,3360,24933,250000,4133169727,13,3
3,3249,24320,250000,1776570459,10,4
3,3265,24269,250000,4196184445,12,1
3,3269,24089,250000,534924486,3,13
3,3254,24220,250000,864307029,14,9
3,3289,24112,250000,992419030,0,10
3,3369,24120,250000,411111163,6,13
3,3255,24300,250000,2423490762,15,10
3,3303,24225,250000,1423368714,2,12
3,3275,24108,250000,64243849,11,14
3,3248,24390,250000,1493489008,14,6
3,3300,24189,250000,3598840842,9,2
3,3368,24133,250000,3636571078,6,11
3,3273,25658,250000,3895351250,7,11
3,3346,25572,250000,1804115154,15,15
3,3460,24892,250000,1544645730,7,7
3,3267,24811,250000,4204306556,8,1
3,3301,24046,250000,3905430767,2,11
3,3431,24024,250000,3989221485,7,5
3,3286,24012,250000,3663166771,15,6
3,3345,24009,250000,2316506488,8,4
3,3294,24004,250000,712135701,5,14
3,3308,24206,250000,1829193220,8,8
3,3285,24170,250000,3719282358,7,1
3,3436,24062,250000,3488641432,2,13
4,3862,31940,250000,1086042705,4,12
4,4213,34045,250000,364290026,8,3
4,3772,30749,250000,2859821049,3,11
4,4010,31112,250000,2590734136,8,3
4,4226,32210,250000,2032187465,2,4
4,3817,35116,250000,914554137,3,10
4,4149,31239,250000,2965553391,13,3
4,3878,32167,250000,1190794323,2,1
4,3923,31889,250000,2336805309,5,2
4,4129,32815,250000,1733676722,0,13
4,4050,32414,250000,467570727,10,15
4,3928,30795,250000,2365493067,1,8
4,4047,29693,250000,1364835282,13,4
4,4375,34406,250000,354330621,3,8
4,3778,32125,250000,1764175343,3,12
4,3789,32669,250000,877782089,10,15
4,3936,32801,250000,3564755385,8,11
4,3981,30776,250000,4159388687,10,14
4,3960,31517,250000,3689010153,13,15
4,3741,31453,250000,1432832250,15,4
4,4108,31854,250000,3506807276,9,9
4,3891,34531,250000,2730311724,11,3
4,4088,30175,250000,103426551,13,9
4,3771,31656,250000,1566269538,2,15
4,4068,32671,250000,1000856596,13,5
4,3889,32359,250000,2901975169,6,5
4,3740,32735,250000,923056960,0,5
4,4224,30678,250000,642281659,7,15
4,3851,32672,250000,1117703303,1,1
4,4119,31778,250000,3495535837,14,1
4,3864,31503,250000,868248958,11,7
4,3906,32861,250000,4178650242,1,10
4,4073,30906,250000,1139822573,3,12
4,3881,31817,250000,14533370,11,3
4,3980,31918,250000,4008017176,1,14
4,3909,31974,250000,1919665151,14,1
4,3819,35375,250000,3151288905,1,13
4,3916,32711,250000,1891897046,5,6
4,3920,31966,250000,428056753,7,9
4,3926,31611,250000,3571507054,1,16
4,4175,31276,250000,2890997763,2,11
4,4083,34040,250000,780529012,8,1
4,3833,30574,250000,2957564493,2,15
4,4033,32284,250000,2882042606,4,2
4,4023,32339,250000,234672461,13,12
4,3988,30585,250000,3397998652,5,11
4,4091,31212,250000,276600828,7,3
4,3985,31789,250000,2037428014,14,9
4,3962,32851,250000,1707303370,10,5
4,3984,33268,250000,1358853343,12,13
4,4450,36667,250000,2868948909,5,5
4,4094,39630,250000,25367501,12,15
4,4241,37707,250000,3097007260,6,7
4,4263,39684,250000,456787331,1,5
4,4007,33020,250000,1682367336,11,14
4,3883,34428,250000,3008640056,15,9
4,3832,33304,250000,1166417748,10,14
4,3906,31199,250000,2828393596,7,6
4,3765,31171,250000,1424892453,0,7
4,3777,31966,250000,3247231257,11,1
4,3807,31972,250000,1581467170,3,5
4,3994,32000,250000,314688561,3,15
4,3860,30700,250000,452213779,0,14
4,3909,29433,250000,97090190,2,14
4,3838,29521,250000,3895271140,5,2
4,3946,29975,250000,2284354055,8,4
4,4092,31366,250000,2218904757,9,7
4,3821,30630,250000,4220695883,0,10
4,3881,31077,250000,1856462990,6,9
4,4080,35273,250000,1530848001,4,11
4,4146,29483,250000,3896472302,5,3
4,3879,36053,250000,3281387266,8,8
4,4117,32170,250000,4088397860,9,15
4,3991,33417,250000,2973888932,6,8
4,4020,32712,250000,3494129650,10,16
4,4292,31145,250000,2753359921,4,11
4,4058,30285,250000,1461957609,15,5
4,4303,32147,250000,977934119,9,1
4,3981,29737,250000,2691411940,6,11
4,4238,30814,250000,4010692929,13,14
4,3924,31436,250000,2989514245,5,12
4,3988,29452,250000,85720027,7,15
4,3905,31775,250000,2159171080,13,10
4,3906,31003,250000,171901815,13,7
4,3843,30069,250000,3017309010,4,1
4,3848,30073,250000,2188528020,3,1
4,4033,30540,250000,527254299,8,7
4,4115,34688,250000,2301194462,13,11
4,4129,34005,250000,2848266537,1,16
4,3810,29825,250000,3713113920,3,15
4,4049,29119,250000,3742336141,8,16
4,4233,30713,250000,2867030439,2,1
4,4259,35574,250000,3881055844,8,8
4,3831,36997,250000,2970193116,6,9
4,4155,29876,250000,282504052,13,8
4,4134,34836,250000,1476168225,5,5
4,3735,29178,250000,660666066,13,14
4,4291,33813,250000,4257470273,2,14
4,3799,29448,250000,662051970,4,12
4,3714,32820,250000,1207753965,9,7
5,3274,25201,250000,1265663373,4,13
5,3312,26425,250000,762607598,9,7
5,3281,24805,250000,69102634,0,3
5,3389,25436,250000,895458988,4,5
5,3354,29856,250000,1539863149,15,10
5,3276,26152,250000,109067521,14,7
5,3287,25523,250000,4206567552,3,4
5,3333,25031,250000,882413490,11,2
5,3374,24968,250000,4046201485,5,16
5,3282,25147,250000,867403178,9,1
5,3473,25036,250000,2898753942,12,12
5,3356,25272,250000,1295371380,2,11
5,3308,26265,250000,113209420,10,4
5,3370,26120,250000,2502243249,4,6
5,3277,26435,250000,3109304765,12,6
5,3272,25726,250000,3977932610,5,7
5,3277,26098,250000,1759112173,0,3
5,3276,28319,250000,1406903967,0,15
5,3302,27836,250000,3777556044,3,16
5,3273,28209,250000,1616156299,1,4
5,3273,27829,250000,2400041358,14,12
5,3300,28010,250000,3893890401,10,11
5,3278,27800,250000,2628047586,14,1
5,3273,27675,250000,3613201397,4,7
5,3295,24842,250000,2999976597,4,16
5,3274,24663,250000,2784322203,4,13
5,3371,24828,250000,3546387256,15,6
5,3285,25716,250000,2377452502,8,6
5,3295,24794,250000,951654068,11,16
5,3295,24906,250000,196541541,1,15
5,3276,25101,250000,419437204,2,16
5,3284,24782,250000,3451118277,11,1
5,3351,24861,250000,3417850980,12,3
5,3371,27982,250000,429404467,12,10
5,3296,28168,250000,2708913307,7,6
5,3271,28090,250000,56796637,3,11
5,3301,28086,250000,2409372675,14,16
5,3270,27873,250000,2354505366,5,9
5,3292,28124,250000,662196404,14,12
5,3244,27747,250000,778845002,12,13
5,3397,28031,250000,3796736718,6,3
5,3280,27951,250000,1244266114,13,7
5,3389,24809,250000,404842540,7,9
5,3270,25074,250000,624109144,8,4
5,3292,25436,250000,4199737954,10,16
5,3275,25090,250000,805551783,3,3
5,3282,25010,250000,3766359924,9,15
5,3274,25090,250000,3794920189,11,3
5,3291,24911,250000,1521177463,1,8
5,3293,24868,250000,196458400,1,13
5,3276,24933,250000,1413732838,12,12
5,3266,25021,250000,1253123146,10,4
5,3287,25079,250000,3038353800,4,4
5,3340,25346,250000,1076814574,4,7
5,3324,24850,250000,1435620419,2,6
5,3271,24701,250000,3098943244,3,10
5,3279,25721,250000,2659339036,5,4
5,3353,24784,250000,1690281738,2,14
5,3289,25680,250000,3822777946,10,5
5,3337,26032,250000,1694995127,12,8
5,3329,25799,250000,3945009904,12,8
5,3273,28126,250000,2828629011,8,8
5,3285,25814,250000,3799351282,4,2
5,3302,27435,250000,3486357286,7,7
5,3267,26157,250000,339868049,2,5
5,3272,26754,250000,415433363,9,9
5,3276,27386,250000,2493610725,8,1
5,3271,27313,250000,2827818097,6,8
5,3268,27956,250000,3110414640,11,15
5,3298,24898,250000,3777386628,15,10
5,3283,25139,250000,511346896,12,15
5,3313,25034,250000,1305397447,13,9
5,3290,25567,250000,2172830430,12,11
5,3271,24701,250000,4038051771,5,11
5,3287,25348,250000,1531713463,14,3
5,3287,25464,250000,4015487269,14,8
5,3274,24566,250000,2576103694,1,6
5,3276,24784,250000,2934543466,7,9
5,3290,26092,250000,4049651403,13,5
5,3300,25193,250000,2555438319,4,13
5,3254,25295,250000,3631190938,11,14
5,3273,27289,250000,1718630917,10,4
5,3271,24680,250000,587389337,8,1
5,3357,24887,250000,4105334097,11,2
5,3312,25831,250000,3062472213,15,1
5,3268,25809,250000,357710008,12,16
5,3296,26665,250000,538914201,0,7
5,3276,26565,250000,519222593,6,6
5,3470,25001,250000,3095177862,10,3
5,3293,24949,250000,3833611608,13,15
5,3322,25275,250000,3399304550,12,11
5,3285,24788,250000,294455305,13,8
5,3248,25205,250000,1972567515,9,7
5,3286,24931,250000,3564574036,5,10
5,3291,25799,250000,1334714843,8,3
5,3248,26660,250000,1082423135,2,13
5,3320,27577,250000,3521455022,15,13
5,3428,24856,250000,3797178067,13,2
5,3377,24843,250000,3415118352,1,7
5,3464,25009,250000,1610772098,13,8
6,3264,25979,250000,3833751987,10,15
6,3271,25738,250000,2472038995,1,11
6,3272,25796,250000,4291916698,11,16
6,3278,24906,250000,4115504279,13,6
6,3271,24900,250000,1812655745,4,10
6,3266,25844,250000,1011057912,2,3
6,3272,25778,250000,2078327480,14,4
6,3267,24791,250000,4087378072,4,6
6,3261,24814,250000,4068039476,14,3
6,3265,24888,250000,2813483186,0,5
6,3390,25676,250000,2795301405,10,10
6,3267,25689,250000,1382428994,9,1
6,3275,25700,250000,3173834931,2,7
6,3267,25758,250000,2592343273,7,9
6,3267,25636,250000,628368595,14,8
6,3277,25513,250000,3319837390,1,8
6,3268,24547,250000,1874242828,8,6
6,3270,24713,250000,2379951088,15,4
6,3271,24458,250000,2226889921,8,1
6,3293,24695,250000,1989731000,10,14
6,3271,24672,250000,3980206920,3,8
6,3268,24534,250000,3449330915,1,4
6,3389,24821,250000,3366181418,4,8
6,3267,24567,250000,965720147,3,7
6,3271,24526,250000,1441869993,2,11
6,3271,24693,250000,4029290959,12,6
6,3275,24572,250000,4083319290,0,8
6,3276,24667,250000,3391652279,14,15
6,3263,24561,250000,120716384,8,14
6,3271,24594,250000,2356989522,11,1
6,3244,24545,250000,141736446,10,3
6,3263,24722,250000,1515083356,9,14
6,3281,24558,250000,1488793554,3,5
6,3382,24526,250000,2098408581,4,5
6,3325,24655,250000,3446116959,0,14
6,3268,24415,250000,3018801966,5,11
6,3245,24683,250000,2861353961,12,6
6,3269,24620,250000,4196413501,0,4
6,3378,24493,250000,542153386,6,6
6,3245,24574,250000,3027833978,3,15
6,3275,24653,250000,2480063730,1,6
6,3286,24565,250000,787304289,15,7
6,3245,24533,250000,3467296337,15,4
6,3273,24549,250000,2160133971,6,13
6,3268,24483,250000,3477453868,10,6
6,3244,24535,250000,4090873360,12,4
6,3263,24531,250000,3477518129,2,1
6,3265,24798,250000,3588155266,13,3
6,3247,24397,250000,646744811,2,7
6,3268,24704,250000,2986991976,0,11
6,3280,24535,250000,3849082421,6,4
6,3257,24524,250000,2920219362,3,6
6,3274,24660,250000,1951270274,0,5
6,3283,24399,250000,1620212200,2,12
6,3244,24769,250000,572093231,4,8
