elapsed.ps,repeats.n,param.a.color3,param.b.color3,param.alpha.float
71049,100000,0.952941; 0.937255; 0.6,0.152941; 0.72549; 0.654902,0.17590090848477025
74626,100000,0.32549; 0.129412; 0.952941,0.152941; 0.0666667; 0.027451,0.15136419551649352
78499,100000,0.486275; 0.654902; 0.286275,0.494118; 0.890196; 0.647059,0.42136963646303544
76915,100000,0.576471; 0.34902; 0.819608,0.529412; 0.6; 0.94902,0.41754992416979597
71400,100000,0.890196; 0.956863; 0.25098,0.25098; 0.964706; 0.0196078,0.3809743868296555
106798,100000,0.737255; 0.392157; 0.278431,0.729412; 0.968627; 0.741176,0.6649874578945997
94024,100000,0.360784; 0.290196; 0.176471,0.592157; 0.698039; 0.0352941,0.4323713144621988
69128,100000,0.85098; 0.737255; 0.623529,0.380392; 0.192157; 0.858824,0.8267325152584315
73839,100000,0.301961; 0.823529; 0.607843,0.556863; 0.666667; 0.972549,0.09088735296803563
77106,100000,0.313726; 0.803922; 0.0784314,0.0666667; 0.498039; 0.941176,0.6313721370616925
68258,100000,0.713726; 0.486275; 0.321569,0.862745; 0.321569; 0.168627,0.6177742622682284
74913,100000,0.521569; 0.643137; 0.701961,0.0862745; 0.976471; 0.580392,0.0483057376010282
69906,100000,0.972549; 0.94902; 0.168627,0.886275; 0.54902; 0.956863,0.8815385407853139
80228,100000,0.623529; 0.54902; 0.686275,0.192157; 0.972549; 0.2,0.22187583893024507
83192,100000,0.380392; 0.0862745; 0.501961,0.705882; 0.239216; 0.741176,0.3431416213620407
82004,100000,0.670588; 0.466667; 0.917647,0.823529; 0.898039; 0.482353,0.8624947303146631
75468,100000,0.65098; 0.4; 0.447059,0.258824; 0.603922; 0.835294,0.7294463851316555
78308,100000,0.0705882; 0.776471; 0.584314,0.0784314; 0.698039; 0.768627,0.44353852885842254
74347,100000,0.698039; 0.364706; 0.65098,0.0627451; 0.756863; 0.258824,0.29209170975536297
77241,100000,0.101961; 0.843137; 0.831373,0.258824; 0.0156863; 0.14902,0.5523663903408462
76301,100000,0.533333; 0.780392; 0.886275,0.00392157; 0.392157; 0.847059,0.8494017163498779
72475,100000,0.929412; 0.454902; 0.937255,0.211765; 0.603922; 0.894118,0.22938171077970415
83514,100000,0.0980392; 0.607843; 0.113725,0.623529; 0.788235; 0.745098,0.6015953817661019
76278,100000,0.705882; 0.45098; 0.305882,1; 0.564706; 0.741176,0.5678841540687493
78838,100000,0.372549; 0.301961; 0.964706,0.827451; 0.443137; 0.447059,0.7360027488284882
71057,100000,0.588235; 0.113725; 0.529412,0.458824; 0.203922; 0.34902,0.30780460622924194
78181,100000,0.772549; 0.192157; 0.847059,0.360784; 0.94902; 0.815686,0.9040804441458725
72369,100000,0.364706; 0.109804; 0.917647,0.670588; 0.0235294; 0.0862745,0.11632349774001705
81793,100000,0.0823529; 0.368627; 0.756863,0.4; 0.0313726; 0.611765,0.9873151981566834
70428,100000,0.247059; 0.909804; 0.8,0.337255; 0.8; 0.407843,0.9543912773689197
78726,100000,0.137255; 0.0470588; 0.607843,0.988235; 0.827451; 0.741176,0.08388807688082525
74690,100000,0.109804; 0.411765; 0.411765,0.870588; 0.0352941; 0.752941,0.477481649041437
77890,100000,0.760784; 0.972549; 0.992157,0.682353; 0.721569; 0.235294,0.0044311338247874366
82224,100000,0.576471; 0.901961; 0.286275,0.0705882; 0.490196; 0.541176,0.3661523362380464
80382,100000,0.945098; 0.0901961; 0.462745,0.486275; 0.478431; 0.258824,0.49394803428940365
75642,100000,0.890196; 0.392157; 0.909804,0.290196; 0.447059; 0.898039,0.643202387549482
74255,100000,0.227451; 0.92549; 0.764706,0.976471; 0.454902; 0.827451,0.6850515757728105
84311,100000,0.286275; 0.921569; 0.25098,0.192157; 0.992157; 0.109804,0.09112544677398801
81764,100000,0.235294; 0.584314; 0.0823529,0.341176; 0.815686; 0.14902,0.6253487106090244
67311,100000,0.984314; 0.87451; 0.137255,0.4; 0.909804; 0.745098,0.15308414286817223
69951,100000,0.890196; 0.188235; 0.92549,0.133333; 0.619608; 0.92549,0.17474659427230152
70578,100000,0.447059; 0.486275; 0.556863,0.733333; 0.956863; 0.647059,0.5608262617173336
73187,100000,0.0196078; 0.388235; 0.172549,0.45098; 0.678431; 0.537255,0.5043931750263241
86853,100000,0.6; 0.815686; 0.411765,0.956863; 0.0705882; 0.247059,0.40322528711188027
80654,100000,0.305882; 0.682353; 0.866667,0.545098; 0.415686; 0.027451,0.2193140178747556
88312,100000,0.0862745; 0.823529; 0.556863,0.219608; 0.301961; 0.470588,0.5434205143848342
86099,100000,0.972549; 0.827451; 0.87451,0.2; 0.27451; 0.223529,0.3666816535370015
