runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.len.integer
9,3391,131185,10000,432
9,3410,153328,10000,592
9,3397,134256,10000,414
9,3430,181146,10000,719
9,3511,150730,10000,429
9,3508,148559,10000,554
9,3416,206214,10000,975
9,3871,224031,10000,990
9,3798,214200,10000,895
9,3428,144598,10000,453
9,3409,129849,10000,392
9,3379,158237,10000,581
9,3404,103753,10000,216
9,3581,105540,10000,166
9,3429,73843,10000,50
9,3525,78258,10000,52
9,3379,89964,10000,151
9,3751,140946,10000,484
9,3480,118556,10000,331
9,3454,192068,10000,936
9,3429,151740,10000,677
9,3404,128864,10000,422
9,3391,193446,10000,568
9,3507,103393,10000,100
9,3406,61918,10000,23
9,3378,63598,10000,41
9,3450,130087,10000,229
9,3405,199333,10000,838
9,3450,175897,10000,757
9,3450,101550,10000,190
9,3448,169704,10000,671
9,3454,81284,10000,102
9,3491,215145,10000,1011
9,3404,137757,10000,432
9,3516,122488,10000,352
9,3457,125120,10000,381
9,3402,156165,10000,679
9,3456,178931,10000,859
9,3885,196764,10000,523
9,3766,162933,10000,326
9,3598,300993,10000,1009
9,3506,93922,10000,147
9,3404,168721,10000,704
9,3499,164234,10000,510
9,3405,77207,10000,108
9,3546,201776,10000,975
9,3405,162979,10000,731
9,3465,65913,10000,45
10,3262,65511,10000,185
10,3299,179763,10000,1017
10,3263,72053,10000,289
10,3492,132559,10000,894
10,3262,101384,10000,651
10,3257,80931,10000,387
10,3272,136124,10000,958
10,3285,144052,10000,1014
10,3261,100278,10000,620
10,3260,51735,10000,72
10,3284,127978,10000,880
10,3308,71861,10000,295
10,3272,109296,10000,705
10,3257,108294,10000,711
10,3262,58464,10000,183
10,3291,101205,10000,328
10,3263,181361,10000,1022
10,3296,103496,10000,626
10,3264,60191,10000,119
10,3262,54224,10000,86
10,3260,74168,10000,269
10,3326,101257,10000,456
10,3261,81418,10000,376
10,3258,112504,10000,694
10,3315,61531,10000,86
10,3257,73394,10000,280
10,3298,122599,10000,664
10,3358,85242,10000,332
10,3263,53180,10000,95
10,3258,49936,10000,83
10,3356,138032,10000,958
10,3261,83372,10000,368
10,3260,127133,10000,772
10,3258,74176,10000,270
10,3277,66091,10000,199
10,3359,75483,10000,287
10,3264,73003,10000,258
10,3373,94458,10000,449
10,3259,75381,10000,296
10,3259,114567,10000,708
10,3261,86430,10000,349
10,3258,123273,10000,850
10,3259,109066,10000,708
10,3286,105316,10000,632
10,3313,123143,10000,736
10,3267,137719,10000,958
10,3274,96912,10000,494
10,3266,132085,10000,941
10,3260,53629,10000,111
10,3306,150780,10000,725
10,3309,64396,10000,66
10,3258,129284,10000,796
10,3263,141763,10000,1010
10,3259,99273,10000,498
10,3540,110108,10000,669
10,4061,115918,10000,379
10,3260,75852,10000,318
10,3257,153907,10000,897
10,3260,40251,10000,5
10,3261,69139,10000,236
10,3259,143557,10000,852
10,3328,65333,10000,202
10,3260,50001,10000,90
10,3341,61763,10000,121
10,3258,119942,10000,858
10,3261,71743,10000,289
10,3298,51678,10000,103
10,3332,124294,10000,737
10,3356,52098,10000,27
10,3342,117862,10000,401
10,3260,94218,10000,513
10,3257,78841,10000,317
10,3260,133330,10000,925
10,3269,68644,10000,252
10,3258,78167,10000,333
10,3346,128294,10000,742
10,3274,138140,10000,923
10,3257,117626,10000,768
10,3265,96771,10000,473
10,3258,91637,10000,472
10,3259,98156,10000,454
10,3277,164697,10000,879
10,3260,131992,10000,918
10,3314,94050,10000,534
10,3259,101182,10000,640
10,3258,104848,10000,412
10,3259,152944,10000,842
10,3258,124647,10000,445
10,3302,131675,10000,523
10,3312,184330,10000,942
10,3533,43788,10000,17
10,3269,137815,10000,1014
10,3260,45863,10000,53
10,3258,119620,10000,824
10,3259,115919,10000,789
10,3263,126485,10000,650
10,3258,117547,10000,601
10,3258,100034,10000,583
10,3258,66536,10000,130
10,3258,141675,10000,995
11,3010,97672,10000,815
11,3050,65095,10000,346
11,3051,129845,10000,964
11,3230,31486,10000,7
11,3091,84536,10000,642
11,3053,100160,10000,884
11,6220,103177,10000,904
11,3071,92488,10000,629
11,3052,45163,10000,117
11,3083,100229,10000,892
11,3088,59285,10000,261
11,3324,87151,10000,559
11,3125,40684,10000,53
11,3061,121877,10000,852
11,3048,103805,10000,802
11,3075,88310,10000,653
11,3061,57401,10000,272
11,3073,54207,10000,214
11,3093,100090,10000,559
11,3030,105227,10000,669
11,2987,77840,10000,464
11,3847,44027,10000,65
11,3070,65001,10000,380
11,3118,104533,10000,591
11,3052,77095,10000,570
11,3066,85215,10000,487
11,3013,104993,10000,937
11,3076,113585,10000,614
11,3036,36782,10000,38
11,3032,56618,10000,258
11,3061,86033,10000,757
11,3061,70648,10000,413
11,3009,68786,10000,416
11,3070,40690,10000,29
11,3035,51350,10000,204
11,3044,72483,10000,413
11,3050,59226,10000,339
11,3082,66781,10000,400
11,3107,99972,10000,895
11,3103,105258,10000,508
11,3045,40030,10000,60
11,3070,109264,10000,959
11,3060,80144,10000,439
11,3088,82249,10000,348
11,3041,114159,10000,654
11,4272,102034,10000,618
11,3045,116413,10000,725
11,3035,52691,10000,169
