runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer
1,3422,23832,10000,Buffer[566],98
1,3402,23658,10000,Buffer[837],127
1,3377,27120,10000,Buffer[609],60
1,3385,23471,10000,Buffer[1005],194
1,3383,23293,10000,Buffer[554],81
1,3391,28198,10000,Buffer[911],211
1,3389,23951,10000,Buffer[567],97
1,3406,26301,10000,Buffer[581],45
1,3552,35806,10000,Buffer[629],221
1,3419,29936,10000,Buffer[1008],251
1,3411,23367,10000,Buffer[848],61
1,3520,30372,10000,Buffer[916],22
1,3466,24105,10000,Buffer[988],224
1,3437,25871,10000,Buffer[581],107
1,3420,28355,10000,Buffer[577],235
1,3519,28810,10000,Buffer[926],54
1,3492,30135,10000,Buffer[700],9
1,3423,24418,10000,Buffer[522],198
1,3467,29636,10000,Buffer[995],10
1,3446,26756,10000,Buffer[526],64
1,3605,34874,10000,Buffer[845],201
1,3456,28294,10000,Buffer[548],156
1,3795,23330,10000,Buffer[597],182
1,3370,24232,10000,Buffer[618],35
1,3404,23633,10000,Buffer[641],57
1,3414,28880,10000,Buffer[995],79
1,3414,26425,10000,Buffer[759],134
1,3363,23898,10000,Buffer[746],76
1,3439,24023,10000,Buffer[818],80
1,3489,30265,10000,Buffer[572],103
1,3417,23836,10000,Buffer[863],61
1,3445,23916,10000,Buffer[991],47
1,3484,28204,10000,Buffer[794],12
1,3414,23346,10000,Buffer[790],164
1,3432,25161,10000,Buffer[788],77
1,3484,25918,10000,Buffer[642],185
1,3424,23254,10000,Buffer[773],92
1,3421,23936,10000,Buffer[813],91
1,3446,26619,10000,Buffer[755],67
1,3421,24788,10000,Buffer[603],135
1,3398,23680,10000,Buffer[657],77
1,3421,25095,10000,Buffer[956],242
1,6174,28673,10000,Buffer[608],132
1,3414,23188,10000,Buffer[856],184
1,3509,27629,10000,Buffer[619],137
1,3429,30335,10000,Buffer[696],130
1,3434,23463,10000,Buffer[710],202
1,3453,26103,10000,Buffer[512],102
1,3460,27271,10000,Buffer[646],14
1,3422,23612,10000,Buffer[599],169
1,3461,26423,10000,Buffer[590],24
1,3544,30964,10000,Buffer[686],180
1,3463,23712,10000,Buffer[653],104
1,3466,26535,10000,Buffer[652],152
1,3439,23665,10000,Buffer[599],64
1,3425,24009,10000,Buffer[926],206
1,3485,29225,10000,Buffer[1014],84
1,3435,24481,10000,Buffer[684],127
1,3436,23454,10000,Buffer[999],141
1,3447,28770,10000,Buffer[555],28
1,3461,23865,10000,Buffer[715],250
1,3447,24857,10000,Buffer[820],48
1,3471,29242,10000,Buffer[626],178
1,3461,33191,10000,Buffer[985],126
1,3475,31035,10000,Buffer[857],45
1,3442,23273,10000,Buffer[890],39
1,3387,24416,10000,Buffer[753],45
1,3385,23954,10000,Buffer[901],80
1,3407,24970,10000,Buffer[591],199
1,3375,24112,10000,Buffer[633],183
1,3452,25192,10000,Buffer[956],121
1,3417,24146,10000,Buffer[966],194
1,3478,31838,10000,Buffer[714],210
1,3410,23276,10000,Buffer[904],213
1,3460,23698,10000,Buffer[750],18
1,3461,24932,10000,Buffer[1008],8
1,3499,24221,10000,Buffer[843],30
1,3820,27409,10000,Buffer[722],23
1,3412,24520,10000,Buffer[663],39
1,3388,23155,10000,Buffer[1012],214
1,3483,36400,10000,Buffer[591],153
1,3379,27662,10000,Buffer[785],211
1,3485,39002,10000,Buffer[657],164
1,3465,23862,10000,Buffer[561],184
1,3479,34284,10000,Buffer[873],91
1,3631,37423,10000,Buffer[1022],251
1,3528,32457,10000,Buffer[892],196
1,3503,31477,10000,Buffer[758],129
1,3463,23721,10000,Buffer[951],85
1,3437,23558,10000,Buffer[927],121
1,3365,24373,10000,Buffer[595],9
1,3379,22881,10000,Buffer[518],160
1,3441,26469,10000,Buffer[714],90
1,3363,23465,10000,Buffer[986],236
1,3373,22990,10000,Buffer[813],89
1,3446,23444,10000,Buffer[559],97
1,3601,29028,10000,Buffer[635],38
1,3459,29551,10000,Buffer[937],73
1,10226,38113,10000,Buffer[559],196
1,3530,25108,10000,Buffer[983],66
2,3511,26107,10000,Buffer[513],238
2,3531,26822,10000,Buffer[812],59
2,4036,35448,10000,Buffer[833],230
2,3510,28241,10000,Buffer[525],5
2,3707,37321,10000,Buffer[861],203
2,3579,33116,10000,Buffer[761],18
2,3583,35199,10000,Buffer[707],51
2,3560,32214,10000,Buffer[822],129
2,3559,24958,10000,Buffer[596],245
2,3564,28965,10000,Buffer[519],247
2,3597,34767,10000,Buffer[594],55
2,3491,25599,10000,Buffer[550],95
2,3566,25301,10000,Buffer[518],97
2,3675,26333,10000,Buffer[516],122
2,3538,28622,10000,Buffer[666],70
2,3563,31811,10000,Buffer[643],30
2,3717,37555,10000,Buffer[653],253
2,3486,25155,10000,Buffer[575],37
2,3678,26585,10000,Buffer[826],108
2,3557,29290,10000,Buffer[584],86
2,3544,32969,10000,Buffer[589],109
2,3561,35001,10000,Buffer[1011],77
2,3434,24359,10000,Buffer[605],181
2,3532,30643,10000,Buffer[855],115
2,3618,32464,10000,Buffer[653],241
2,3893,26520,10000,Buffer[968],219
2,3586,30598,10000,Buffer[529],217
2,3533,31968,10000,Buffer[619],211
2,3593,30847,10000,Buffer[569],64
2,3576,25944,10000,Buffer[530],60
2,3610,34038,10000,Buffer[667],200
2,3543,24584,10000,Buffer[811],241
2,3566,24919,10000,Buffer[1021],249
2,3561,25173,10000,Buffer[586],146
2,3535,24781,10000,Buffer[628],35
2,3559,24501,10000,Buffer[740],52
2,3536,26866,10000,Buffer[843],83
2,3511,24660,10000,Buffer[535],220
2,3579,28108,10000,Buffer[837],22
2,3563,29490,10000,Buffer[643],250
2,3540,24199,10000,Buffer[704],30
2,3514,24752,10000,Buffer[586],11
2,3894,32587,10000,Buffer[631],150
2,3486,23700,10000,Buffer[517],211
2,3586,27103,10000,Buffer[804],248
2,6913,25132,10000,Buffer[925],74
2,3849,29230,10000,Buffer[651],23
2,3510,33030,10000,Buffer[528],70
2,3731,31462,10000,Buffer[987],184
2,3484,25648,10000,Buffer[958],52
2,3512,24944,10000,Buffer[678],39
2,3508,28470,10000,Buffer[540],57
2,3562,26292,10000,Buffer[747],58
2,3611,26509,10000,Buffer[943],34
2,4212,24918,10000,Buffer[932],172
2,3511,28931,10000,Buffer[685],59
2,3605,24967,10000,Buffer[953],159
2,3489,28293,10000,Buffer[663],182
2,3534,24920,10000,Buffer[761],175
2,3576,35052,10000,Buffer[649],196
2,3531,25436,10000,Buffer[966],159
2,3596,25473,10000,Buffer[860],132
2,3533,24502,10000,Buffer[577],70
2,3578,28468,10000,Buffer[685],96
2,3509,24649,10000,Buffer[735],233
2,3592,32735,10000,Buffer[645],78
2,3459,27479,10000,Buffer[792],7
2,3459,24137,10000,Buffer[756],194
2,3521,32332,10000,Buffer[823],84
2,3506,28323,10000,Buffer[1001],114
2,3539,26952,10000,Buffer[755],137
2,3461,24316,10000,Buffer[952],102
2,4389,33960,10000,Buffer[543],90
2,3487,24725,10000,Buffer[820],95
2,3589,24260,10000,Buffer[910],170
2,3496,29560,10000,Buffer[948],102
2,3460,25808,10000,Buffer[544],25
2,3505,27158,10000,Buffer[728],173
2,3472,25305,10000,Buffer[638],34
2,3496,26375,10000,Buffer[714],11
2,3567,24279,10000,Buffer[757],67
2,3969,35038,10000,Buffer[798],12
2,3508,24615,10000,Buffer[890],146
2,3459,23665,10000,Buffer[613],89
2,3516,28351,10000,Buffer[828],59
2,3507,34235,10000,Buffer[692],142
2,3603,33150,10000,Buffer[587],222
2,3574,28564,10000,Buffer[872],116
2,3578,28060,10000,Buffer[989],34
2,3593,30805,10000,Buffer[657],3
2,3550,31892,10000,Buffer[779],158
2,3488,23723,10000,Buffer[871],84
2,3650,28846,10000,Buffer[548],139
2,3512,31216,10000,Buffer[833],213
2,3591,29766,10000,Buffer[932],71
2,3539,29645,10000,Buffer[659],81
2,3497,24842,10000,Buffer[999],162
2,3492,27686,10000,Buffer[553],172
2,3556,24703,10000,Buffer[734],94
2,3540,28877,10000,Buffer[733],188
3,3461,31975,10000,Buffer[589],67
3,3490,31267,10000,Buffer[998],89
3,3496,32624,10000,Buffer[993],164
3,3471,27732,10000,Buffer[860],72
3,3604,29503,10000,Buffer[1015],188
3,3508,32099,10000,Buffer[654],37
3,3490,27204,10000,Buffer[1016],22
3,3693,23458,10000,Buffer[516],171
3,3840,30883,10000,Buffer[709],251
3,3365,28759,10000,Buffer[736],133
3,3400,23341,10000,Buffer[699],229
3,3465,30056,10000,Buffer[633],117
3,3406,27300,10000,Buffer[870],190
3,3429,31723,10000,Buffer[717],18
3,3416,30263,10000,Buffer[816],101
3,3466,34439,10000,Buffer[633],243
3,3443,27067,10000,Buffer[668],227
3,3481,28697,10000,Buffer[563],115
3,3391,31251,10000,Buffer[643],92
3,3440,34240,10000,Buffer[517],72
3,5263,31999,10000,Buffer[593],105
3,3414,23653,10000,Buffer[610],208
3,3451,23738,10000,Buffer[858],171
3,3454,24729,10000,Buffer[918],172
3,3460,24700,10000,Buffer[656],198
3,3436,23926,10000,Buffer[655],254
3,3387,23195,10000,Buffer[694],151
3,3967,25011,10000,Buffer[767],63
3,3476,32595,10000,Buffer[695],39
3,3450,26069,10000,Buffer[896],110
3,3446,24067,10000,Buffer[646],236
3,3476,24752,10000,Buffer[649],2
3,3430,24808,10000,Buffer[734],114
3,3430,32309,10000,Buffer[939],55
3,3454,25081,10000,Buffer[604],230
3,3460,27333,10000,Buffer[959],87
3,3463,27326,10000,Buffer[922],2
3,3478,24995,10000,Buffer[960],56
3,3421,23888,10000,Buffer[988],49
3,3432,34154,10000,Buffer[952],204
3,3421,23796,10000,Buffer[846],43
3,3461,26253,10000,Buffer[735],26
3,3617,27499,10000,Buffer[781],190
3,3409,26594,10000,Buffer[782],233
3,3389,24132,10000,Buffer[560],180
3,3412,28127,10000,Buffer[669],187
3,3466,25835,10000,Buffer[817],9
3,3406,30574,10000,Buffer[588],140
3,3387,25008,10000,Buffer[637],106
3,3464,34556,10000,Buffer[846],51
3,3551,30845,10000,Buffer[574],211
3,3511,27689,10000,Buffer[893],140
3,3436,23761,10000,Buffer[744],18
3,3810,24070,10000,Buffer[684],129
3,3390,24244,10000,Buffer[990],82
3,3435,24379,10000,Buffer[900],99
3,3557,32214,10000,Buffer[535],155
3,3494,38677,10000,Buffer[524],107
3,3387,23973,10000,Buffer[619],64
3,3428,23918,10000,Buffer[805],243
3,3365,23632,10000,Buffer[803],26
3,3509,29542,10000,Buffer[925],15
3,3373,24015,10000,Buffer[949],163
3,3379,30840,10000,Buffer[641],177
3,3409,24017,10000,Buffer[710],134
3,3479,25267,10000,Buffer[784],195
3,3392,23430,10000,Buffer[903],97
3,3387,24291,10000,Buffer[817],88
3,3389,23633,10000,Buffer[983],177
3,3387,23301,10000,Buffer[688],56
3,3436,25318,10000,Buffer[642],131
3,3415,24082,10000,Buffer[936],188
3,3773,23776,10000,Buffer[766],35
3,3410,24080,10000,Buffer[699],218
3,3389,23328,10000,Buffer[666],120
3,3436,27888,10000,Buffer[681],237
3,3420,28610,10000,Buffer[969],79
3,3425,23385,10000,Buffer[838],24
3,3465,28240,10000,Buffer[693],211
3,3435,25094,10000,Buffer[999],181
3,3449,24325,10000,Buffer[962],169
3,3436,23840,10000,Buffer[989],65
3,3444,23615,10000,Buffer[955],196
3,3438,23630,10000,Buffer[537],167
3,3391,24086,10000,Buffer[604],26
3,3440,25525,10000,Buffer[538],60
3,3471,24711,10000,Buffer[838],132
3,3449,23876,10000,Buffer[952],186
3,3427,24138,10000,Buffer[954],179
3,3459,24143,10000,Buffer[905],136
3,3411,24191,10000,Buffer[993],206
3,3546,25791,10000,Buffer[513],143
3,3466,27044,10000,Buffer[863],27
3,3503,34871,10000,Buffer[758],152
3,3465,27361,10000,Buffer[911],64
3,3469,24548,10000,Buffer[712],182
3,3453,30622,10000,Buffer[566],18
3,3430,25291,10000,Buffer[811],101
3,3456,26546,10000,Buffer[821],168
3,3505,33658,10000,Buffer[658],220
4,3918,28149,10000,Buffer[849],162
4,3906,32130,10000,Buffer[699],162
4,3913,32102,10000,Buffer[647],166
4,4953,34303,10000,Buffer[697],161
4,3908,32072,10000,Buffer[952],244
4,3909,33699,10000,Buffer[540],2
4,3898,32758,10000,Buffer[720],174
4,4872,33247,10000,Buffer[662],72
4,3906,33526,10000,Buffer[676],40
4,3908,38419,10000,Buffer[819],178
4,3899,33499,10000,Buffer[898],132
4,3904,32175,10000,Buffer[888],191
4,3899,33418,10000,Buffer[681],39
4,3898,32987,10000,Buffer[707],58
4,3897,32298,10000,Buffer[895],40
4,3933,33423,10000,Buffer[556],139
4,3903,32171,10000,Buffer[629],73
4,3922,32273,10000,Buffer[1005],199
4,3902,32818,10000,Buffer[803],18
4,4235,32109,10000,Buffer[763],178
4,3907,32220,10000,Buffer[656],44
4,3906,32764,10000,Buffer[680],230
4,3914,32106,10000,Buffer[548],197
4,3941,26830,10000,Buffer[767],28
4,3905,33090,10000,Buffer[905],190
4,5006,26164,10000,Buffer[703],34
4,3917,32120,10000,Buffer[632],169
4,3906,33249,10000,Buffer[993],35
4,4919,33155,10000,Buffer[533],175
4,3906,32013,10000,Buffer[881],131
4,3905,29208,10000,Buffer[514],115
