runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer
1,3418,26932,10000,Buffer[654],23
1,3387,23218,10000,Buffer[975],62
1,3400,24986,10000,Buffer[1019],73
1,3387,24312,10000,Buffer[897],11
1,3390,23944,10000,Buffer[562],28
1,3389,23285,10000,Buffer[623],3
1,3353,26460,10000,Buffer[586],47
1,3365,23132,10000,Buffer[889],98
1,3437,23284,10000,Buffer[656],34
1,3482,24774,10000,Buffer[630],44
1,3615,23959,10000,Buffer[654],62
1,3363,22824,10000,Buffer[715],87
1,3681,26413,10000,Buffer[701],97
1,3450,29437,10000,Buffer[914],63
1,3371,23496,10000,Buffer[975],112
1,3319,23569,10000,Buffer[782],103
1,3318,23121,10000,Buffer[951],37
1,3407,24101,10000,Buffer[780],14
1,3342,25433,10000,Buffer[917],76
1,3390,23622,10000,Buffer[905],51
1,3700,23979,10000,Buffer[1009],40
1,3435,26917,10000,Buffer[914],94
1,3365,23369,10000,Buffer[542],36
1,3319,24778,10000,Buffer[815],47
1,3363,29774,10000,Buffer[694],7
1,3360,23588,10000,Buffer[776],43
1,3356,23163,10000,Buffer[586],93
1,3357,23417,10000,Buffer[892],85
1,3387,23500,10000,Buffer[625],37
1,3345,23252,10000,Buffer[707],20
1,3342,26455,10000,Buffer[512],30
1,3364,23314,10000,Buffer[997],89
1,3421,29902,10000,Buffer[932],74
1,3404,24371,10000,Buffer[696],47
1,3437,23809,10000,Buffer[906],112
1,3388,23096,10000,Buffer[549],12
1,3369,25983,10000,Buffer[581],78
1,3352,22680,10000,Buffer[762],51
1,3375,22866,10000,Buffer[525],108
1,3363,23756,10000,Buffer[566],97
1,3365,23252,10000,Buffer[996],24
1,3343,22873,10000,Buffer[806],64
1,3373,30220,10000,Buffer[873],105
1,3350,24922,10000,Buffer[658],37
1,3366,25235,10000,Buffer[676],116
1,3321,24256,10000,Buffer[662],45
1,3346,23176,10000,Buffer[631],67
1,3365,23267,10000,Buffer[959],104
1,3417,27871,10000,Buffer[779],107
1,3325,22912,10000,Buffer[686],83
1,3385,24561,10000,Buffer[696],121
1,3387,24974,10000,Buffer[851],95
1,3389,24098,10000,Buffer[689],7
1,3327,23611,10000,Buffer[645],116
1,3367,25949,10000,Buffer[856],88
1,3343,23598,10000,Buffer[823],2
1,3752,25327,10000,Buffer[876],63
1,3338,24743,10000,Buffer[818],91
1,3345,23238,10000,Buffer[868],53
1,3344,22653,10000,Buffer[632],20
1,3392,26061,10000,Buffer[576],0
1,3387,25284,10000,Buffer[650],110
