runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
2,4195,37752,250000,2506184608,1310271383,1086373646
2,4136,35925,250000,785211346,1621351017,2994905454
2,4610,33841,250000,73055132,3585292529,1805521991
2,4460,36128,250000,1983821858,2929231007,2176927351
2,4474,31485,250000,3610340907,4213793990,1105268865
2,4094,35913,250000,85824334,487569766,1386752283
2,4462,33036,250000,942834073,928130823,1334286108
2,4142,33311,250000,2092867622,4085981229,3017116769
2,5772,37419,250000,2974422505,3680024316,1166295018
2,4670,39569,250000,1457354140,3124543972,2034992792
2,4378,34492,250000,1549402349,4289550557,1963155155
2,4224,37951,250000,1244140314,2089522275,695222909
2,4167,33259,250000,347392381,319115680,350093140
2,4134,32073,250000,3777120534,1958946316,2538479919
2,4254,39938,250000,1616389629,17298567,200197219
2,5189,35636,250000,2944700634,2437843953,4253708498
2,4317,45095,250000,4233131726,3697479756,467184708
2,4743,35821,250000,1811496231,2800299538,3929955860
2,4318,33236,250000,2679746498,596999560,2366944032
2,4217,36321,250000,2858160371,1629228110,4149287190
2,4527,34121,250000,489333027,4252456136,4183237778
2,4571,38916,250000,2013652310,3856447080,1891419793
2,4866,36722,250000,844129166,670818358,1911496047
2,4498,36443,250000,2681491085,2894747128,2283720526
2,4430,40540,250000,2702242367,2018926367,1515901314
2,4396,35431,250000,3913520799,4093475490,578552903
2,4789,37596,250000,1062149383,1239848965,2765472505
2,4431,37233,250000,1962229760,2690573548,1089182022
2,4658,36409,250000,1921150731,899304326,2389420129
2,4691,36522,250000,2604471895,3478912579,1725652046
2,4600,34254,250000,308759631,30815668,3957197572
2,4283,35203,250000,3387330288,3531333269,2624364416
2,4425,37784,250000,145534082,805272662,4150401854
2,4444,36805,250000,1634066094,817631596,1289144841
2,4345,39937,250000,2854973605,833129840,655880690
2,4686,33125,250000,3635819848,3617294134,3299186178
2,4276,36517,250000,833336782,1863668173,3494415997
2,4735,36969,250000,2612758676,139360688,754606106
2,5003,36976,250000,4226812577,2551522768,1869866968
2,4432,36623,250000,3545972998,1917479486,223451569
2,4283,34180,250000,3722537379,2482775814,1171116360
2,4572,37998,250000,4229857654,3226823856,3770443895
2,4440,35776,250000,154188297,3359530550,1208069032
2,5111,41472,250000,4147072327,144773933,1806588744
2,5131,37024,250000,2354162640,1054427204,1245185386
2,4396,36109,250000,2503325212,2424779,2384594455
2,4143,37831,250000,99464936,1246679264,684009289
2,4267,33243,250000,742312025,2834964812,4088136795
2,4278,37128,250000,1258704004,548462130,2088013412
2,4648,32271,250000,3138462336,3799420219,4184086706
2,5017,33757,250000,2152947586,4201814507,1880662060
2,4451,36471,250000,2632075099,2689849225,3959047187
2,4077,52392,250000,1246897375,3887632886,2341113052
2,4077,32038,250000,4066824334,1733301554,1666134857
2,4050,33736,250000,3882193600,2542288900,2233987464
2,4152,30837,250000,2516835603,1311873182,3804634023
2,3930,31058,250000,1678440376,1473075147,2409390192
2,5398,31662,250000,4222617100,2505237836,3842196075
2,4226,31683,250000,2597117082,101577949,2634881480
2,4179,32629,250000,142992828,3861653684,2145464724
2,4247,31662,250000,3777589808,4067348563,3202611322
2,4165,34974,250000,1034516985,1827179949,3427933652
2,4177,43450,250000,3698069212,1695612450,2900650612
2,4269,31799,250000,1619573074,225650043,2879994047
2,4297,35209,250000,744417502,3537904997,3251514578
2,4758,38711,250000,3814348539,1585101028,1787103148
2,4156,38885,250000,458381588,134286063,2071329242
2,4749,38399,250000,4215448919,3146275403,2209844529
2,4367,30416,250000,792131879,4260220167,3733818037
2,4453,35455,250000,1499997077,3409159808,2305670552
2,4159,38067,250000,2015907400,3628355425,56506433
2,4329,39330,250000,4229459463,4225157381,2266872557
2,4404,36149,250000,3321159402,374315346,3248314673
2,4144,34266,250000,1650489463,2906263913,629261927
2,4882,33307,250000,1751055486,547448255,148910017
2,4090,31626,250000,2964913174,460405459,714587784
2,4455,33432,250000,2470525109,677448971,1158104584
2,4119,34136,250000,1806032312,2093831007,1774021565
2,4643,32735,250000,3172795700,2164447157,840874313
2,4143,32724,250000,2309268191,1417384457,4215354832
2,4105,31572,250000,1912983931,2158394771,1690273264
2,4425,41696,250000,648169883,106729037,2437223537
2,4647,33307,250000,1417628964,1037197841,3102254699
2,4709,40328,250000,4018095207,1127556275,3856567394
2,4008,32918,250000,330109733,1541180351,1787966313
2,3984,30281,250000,1352137472,2481808537,4110479623
2,4840,31992,250000,1159431750,253268769,4065438003
2,4489,39363,250000,2076832266,2817988588,4152701646
2,4406,34371,250000,901514200,4145114621,1618055160
2,5353,34120,250000,2346385994,2767704338,670346024
2,4082,32912,250000,352795605,2498237422,2396368495
2,4268,35782,250000,272658549,2652138407,1282268675
3,3297,24456,250000,1674840413,4095781475,1293754597
3,3299,33003,250000,4088246264,2994229198,1565275235
3,3276,24063,250000,2806147940,4243370615,4186530206
3,3289,24437,250000,838285734,4256697009,2194161305
3,3247,24484,250000,137282587,1607259927,349943662
3,3271,24287,250000,2633063581,3945541119,1557744471
3,3289,24446,250000,4261403256,2830856767,2852774431
3,3244,24378,250000,3146625351,288644540,371704106
3,3288,24278,250000,3246996184,217032417,3857146937
3,3267,24261,250000,1240443248,1639381484,1324482812
