elapsed.ps,repeats.n,param.a.integer,param.b.integer
16947,100000,3135820584939877,-8518825773811278
18346,100000,-106323420221504,1497303255967905
16022,100000,-3896252159671757,-2500151214005963
16275,100000,-1578630940700296,4184022717853977
16355,100000,-5450305195121694,5040621124446185
16928,100000,-1316183351790845,-6438250432426583
16681,100000,8947175754858019,-918506862772804
19163,100000,-1388050357889496,-5378364239917114
15933,100000,-4127125295365320,759051879113540
16129,100000,-6473395232627302,5595425043354630
16267,100000,-454416374110050,1324938953858102
16642,100000,385501084691822,-3515565857154293
17542,100000,6733351336984127,-8687296867363038
16776,100000,301918752907106,-4072082932631880
19245,100000,-7685670179933263,-2912287734659090
16672,100000,-3017291168158925,-6794241546969997
16542,100000,-6639866227828294,-5660746935077193
16206,100000,-6398412334038513,3714802468285311
16623,100000,4709395437941962,904753373072450
18002,100000,2945901985765844,4166852060518540
15823,100000,-800001983336146,4936609550582633
19152,100000,-8777623022648139,6959307783532486
18649,100000,2332234634877880,2035107925614743
16781,100000,8154917090675966,7315322638586181
15832,100000,-8153232526854506,3607892978921323
15489,100000,-8047915046781353,3947153021259627
16303,100000,-7382604341725658,6460983435385488
16561,100000,7340964917645579,-7530171275532901
17125,100000,-2604798311110323,-8764589791424717
16382,100000,-7000094838389236,-5946588845237254
16853,100000,2254232740020800,-2851568663955614
16477,100000,3661077417262287,-8508389753473302
16309,100000,-8369635422665645,-4663748486373964
16672,100000,7986008766795779,2951548797830585
16900,100000,1965255809441009,-5862620057208265
15875,100000,-3534390688604650,1838592866263124
22566,100000,1122092732851196,1765024376663936
16768,100000,-8005313308978052,-4573296970653446
17226,100000,-3871726572636338,-2525125971120915
16480,100000,-6705674930259740,1836574859672724
15797,100000,-8383402837933548,-6367879543141644
16221,100000,-8853925672121102,-3734607665281100
17068,100000,-3414127611650681,1213059808468480
22345,100000,-781267498843325,-1191069645345964
16688,100000,8540737060548419,-4824228861356955
15936,100000,-8938701975393082,376965304813474
16417,100000,-7423245714880033,3196518504980900
16539,100000,1946438070066940,511314664859627
16449,100000,-5478465680292893,375092127524969
17550,100000,7608889561853917,-3676933760814408
24068,100000,3692137874046663,-6009482880836613
23083,100000,4474356211659894,-7710292541797006
16517,100000,4744076184714751,2076693814789416
15389,100000,2024744638514550,6353767945306054
15431,100000,-1969344895039646,5184994474332250
16361,100000,-854687702843906,343034401642752
17394,100000,6124236638889583,4976790581332990
16405,100000,-1998309210361444,1295167219647551
17206,100000,315492329714449,-2325795448079425
17065,100000,4026646182796568,1015786693810134
18675,100000,-5645861529052474,1588841776296860
16702,100000,6371187612058319,5066374785401648
16595,100000,-1216208359598435,-1270128929412241
16439,100000,-4012141982697985,-4270466735396706
16136,100000,-727395531869690,891476694390667
16377,100000,-7346616734540879,-5955020923940024
17620,100000,-2799203332553377,-4402731721234002
16338,100000,-6578911171153702,4171594693272591
17178,100000,-566515709572709,617574909172019
18399,100000,-6340417207414472,4242258413673974
17630,100000,607109032114927,8458827128231307
17047,100000,-4439255027833786,-971616351051516
